mode,shuffle_id,rho_target,leak,input_scale,MC,IPC,KR,GR,meansrc
weight_test1.0,18,1.05,0.6,1.0,2.3836560249328613,3.5185250639915466,3.2968263626098633,5.570499420166016,0.002412194386124611,chunk_6
weight_test1.0,18,1.05,0.6,1.5,0.93928062915802,1.640443503856659,2.907681465148926,5.353846073150635,0.002390290144830942,chunk_6
weight_test1.0,18,1.05,0.8,0.1,4.9613237380981445,7.575066328048706,2.4806647300720215,2.817840099334717,0.0023828756529837847,chunk_6
weight_test1.0,18,1.05,0.8,0.5,3.7891387939453125,6.56167596578598,3.371105670928955,4.682605743408203,0.002387130865827203,chunk_6
weight_test1.0,18,1.05,0.8,1.0,1.9677623510360718,3.3841233253479004,4.241998195648193,7.70203161239624,0.0023833864834159613,chunk_6
weight_test1.0,18,1.05,0.8,1.5,1.9654532670974731,3.1788139939308167,4.611969947814941,9.668140411376953,0.0024250096175819635,chunk_6
weight_test1.0,18,1.05,1.0,0.1,5.847691059112549,7.334377884864807,2.510901927947998,2.847156047821045,0.0024005048908293247,chunk_6
weight_test1.0,18,1.05,1.0,0.5,5.229568958282471,7.134560823440552,3.668577194213867,5.40690803527832,0.002374471165239811,chunk_6
weight_test1.0,18,1.05,1.0,1.0,3.0607519149780273,4.755199670791626,4.696849346160889,8.867165565490723,0.0024379114620387554,chunk_6
weight_test1.0,18,1.05,1.0,1.5,3.182896852493286,4.363453149795532,4.0733137130737305,8.678567886352539,0.002368964720517397,chunk_6
weight_test5.0,18,0.6,0.6,0.1,3.946601390838623,4.315816819667816,1.546003818511963,1.5886340141296387,0.0013838517479598522,chunk_6
weight_test5.0,18,0.6,0.6,0.5,4.01906681060791,5.599706709384918,2.0402238368988037,2.6519992351531982,0.0013668821193277836,chunk_6
weight_test5.0,18,0.6,0.6,1.0,2.811873435974121,4.500678300857544,2.115102529525757,3.2778332233428955,0.0013718390837311745,chunk_6
weight_test5.0,18,0.6,0.6,1.5,2.720649003982544,3.8973788022994995,2.2581512928009033,3.9468157291412354,0.0013938244665041566,chunk_6
weight_test5.0,18,0.6,0.8,0.1,5.261577606201172,5.479593575000763,1.6315727233886719,1.6820026636123657,0.0013558990322053432,chunk_6
weight_test5.0,18,0.6,0.8,0.5,5.229304790496826,7.530869424343109,2.0630292892456055,2.696984052658081,0.0014032847248017788,chunk_6
weight_test5.0,18,0.6,0.8,1.0,2.1410417556762695,2.5069825053215027,2.1586320400238037,3.3676726818084717,0.0013049684930592775,chunk_6
weight_test5.0,18,0.6,0.8,1.5,2.359483242034912,3.2079432010650635,2.607022762298584,4.892145156860352,0.0013989867875352502,chunk_6
weight_test5.0,18,0.6,1.0,0.1,5.411759853363037,6.033315539360046,1.8045915365219116,1.864206075668335,0.001394604449160397,chunk_6
weight_test5.0,18,0.6,1.0,0.5,3.7500650882720947,5.7030380964279175,2.1804282665252686,2.9257240295410156,0.0013596361968666315,chunk_6
weight_test5.0,18,0.6,1.0,1.0,3.9427075386047363,5.974483251571655,2.513254165649414,4.149213790893555,0.0013856104342266917,chunk_6
weight_test5.0,18,0.6,1.0,1.5,3.8840272426605225,5.748527526855469,2.8871030807495117,5.228665828704834,0.0013716776156798005,chunk_6
weight_test5.0,18,0.8,0.6,0.1,4.164490699768066,4.415075659751892,2.0204429626464844,2.084904670715332,0.001860481221228838,chunk_6
weight_test5.0,18,0.8,0.6,0.5,4.969131946563721,7.553179383277893,2.603800058364868,3.643683671951294,0.0018898056587204337,chunk_6
weight_test5.0,18,0.8,0.6,1.0,2.2257115840911865,2.7096433639526367,2.7960124015808105,4.494949817657471,0.001816415460780263,chunk_6
weight_test5.0,18,0.8,0.6,1.5,2.542901039123535,3.5389195680618286,2.786461591720581,5.134802341461182,0.0018770237220451236,chunk_6
weight_test5.0,18,0.8,0.8,0.1,5.333049297332764,5.995641469955444,2.3918402194976807,2.4999964237213135,0.001859712298028171,chunk_6
weight_test5.0,18,0.8,0.8,0.5,4.623269081115723,5.085620641708374,2.541102886199951,3.389037609100342,0.0018443944863975048,chunk_6
weight_test5.0,18,0.8,0.8,1.0,3.073321580886841,4.046670973300934,2.8680419921875,4.738696575164795,0.0018054652027785778,chunk_6
weight_test5.0,18,0.8,0.8,1.5,2.791076183319092,4.619516611099243,3.583296298980713,6.793684959411621,0.0018571115797385573,chunk_6
weight_test5.0,18,0.8,1.0,0.1,6.221551418304443,6.675280451774597,2.4816737174987793,2.557682752609253,0.0018130134558305144,chunk_6
weight_test5.0,18,0.8,1.0,0.5,5.653024196624756,8.567331790924072,3.1425132751464844,4.270339488983154,0.0018412837525829673,chunk_6
weight_test5.0,18,0.8,1.0,1.0,3.8790316581726074,6.480553209781647,3.3833487033843994,5.895008087158203,0.0017943104030564427,chunk_6
weight_test5.0,18,0.8,1.0,1.5,3.4303200244903564,5.312705338001251,3.2177605628967285,6.1992268562316895,0.0018130351090803742,chunk_6
weight_test5.0,18,0.95,0.6,0.1,6.111340045928955,6.777281582355499,2.3669893741607666,2.3693392276763916,0.0022201044484972954,chunk_6
weight_test5.0,18,0.95,0.6,0.5,4.393579006195068,5.651745557785034,2.147552728652954,2.925693988800049,0.002168904058635235,chunk_6
weight_test5.0,18,0.95,0.6,1.0,2.823091983795166,3.4845118522644043,3.1090829372406006,5.227651119232178,0.0021211886778473854,chunk_6
weight_test5.0,18,0.95,0.6,1.5,2.741527557373047,3.9762725234031677,2.934380531311035,5.611167907714844,0.002150215907022357,chunk_6
weight_test5.0,18,0.95,0.8,0.1,5.655766010284424,6.568937957286835,2.352060556411743,2.4199612140655518,0.002130515407770872,chunk_6
weight_test5.0,18,0.95,0.8,0.5,4.512831687927246,5.632371127605438,3.5919902324676514,5.0606608390808105,0.002098775701597333,chunk_6
weight_test5.0,18,0.95,0.8,1.0,2.371711254119873,3.9673736095428467,4.089911937713623,7.571463584899902,0.0022097111213952303,chunk_6
weight_test5.0,18,0.95,0.8,1.5,1.6478651762008667,3.1566072702407837,4.010762691497803,8.311283111572266,0.0021798580419272184,chunk_6
weight_test5.0,18,0.95,1.0,0.1,7.2804718017578125,8.358889520168304,3.023660182952881,3.2126898765563965,0.002112734131515026,chunk_6
weight_test5.0,18,0.95,1.0,0.5,5.036283016204834,7.531724572181702,3.176943778991699,4.505273818969727,0.002176928799599409,chunk_6
weight_test5.0,18,0.95,1.0,1.0,2.2783288955688477,3.6376404762268066,5.582672595977783,11.429121971130371,0.002152028726413846,chunk_6
weight_test5.0,18,0.95,1.0,1.5,3.6609549522399902,4.851861834526062,4.181797504425049,8.77462100982666,0.0021048400085419416,chunk_6
weight_test5.0,18,1.05,0.6,0.1,4.736208438873291,6.340121030807495,3.110524892807007,3.4419074058532715,0.00241464632563293,chunk_6
weight_test5.0,18,1.05,0.6,0.5,4.604616165161133,6.260194301605225,3.7543327808380127,5.2488908767700195,0.0023421389050781727,chunk_6
weight_test5.0,18,1.05,0.6,1.0,3.4417808055877686,5.056526362895966,3.4094722270965576,5.8429484367370605,0.00242045009508729,chunk_6
weight_test5.0,18,1.05,0.6,1.5,1.9561892747879028,3.4520294666290283,3.0772907733917236,5.771430969238281,0.00238464935682714,chunk_6
weight_test5.0,18,1.05,0.8,0.1,5.159416675567627,8.302387833595276,2.524033546447754,2.8843746185302734,0.0023687202483415604,chunk_6
weight_test5.0,18,1.05,0.8,0.5,5.182246208190918,7.8986581563949585,3.402435779571533,4.770734786987305,0.0023761573247611523,chunk_6
weight_test5.0,18,1.05,0.8,1.0,3.2528645992279053,4.281329393386841,4.5696587562561035,8.440943717956543,0.0023726013023406267,chunk_6
weight_test5.0,18,1.05,0.8,1.5,1.6164939403533936,2.5733949542045593,5.023792743682861,10.792171478271484,0.0024473420344293118,chunk_6
weight_test5.0,18,1.05,1.0,0.1,6.810461044311523,9.29947018623352,2.6187729835510254,2.97174072265625,0.0024057328701019287,chunk_6
weight_test5.0,18,1.05,1.0,0.5,5.636009693145752,7.669160604476929,3.7341630458831787,5.517288684844971,0.002349985297769308,chunk_6
weight_test5.0,18,1.05,1.0,1.0,3.8903286457061768,5.781693994998932,5.2988600730896,10.312277793884277,0.0024722921662032604,chunk_6
weight_test5.0,18,1.05,1.0,1.5,2.8613784313201904,4.594392240047455,4.365084648132324,9.519561767578125,0.002341632032766938,chunk_6
weight_test10.0,18,0.6,0.6,0.1,3.9862818717956543,4.368102788925171,1.5622193813323975,1.605593204498291,0.001385509385727346,chunk_6
weight_test10.0,18,0.6,0.6,0.5,3.798643112182617,5.481112837791443,2.052657127380371,2.67055344581604,0.00136751274112612,chunk_6
weight_test10.0,18,0.6,0.6,1.0,2.584257125854492,4.453003942966461,2.1392834186553955,3.325029134750366,0.001372606959193945,chunk_6
weight_test10.0,18,0.6,0.6,1.5,2.265028238296509,3.664860248565674,2.2912466526031494,4.025548458099365,0.0013968870043754578,chunk_6
weight_test10.0,18,0.6,0.8,0.1,5.305514335632324,5.537789821624756,1.6406539678573608,1.6916704177856445,0.001354021835140884,chunk_6
weight_test10.0,18,0.6,0.8,0.5,4.800410270690918,6.274732410907745,2.096534013748169,2.746696949005127,0.001406884752213955,chunk_6
weight_test10.0,18,0.6,0.8,1.0,2.2480111122131348,3.191440522670746,2.1757469177246094,3.4043028354644775,0.0012974690180271864,chunk_6
weight_test10.0,18,0.6,0.8,1.5,2.1790101528167725,3.851558029651642,2.655457019805908,5.013199329376221,0.0014023781986907125,chunk_6
weight_test10.0,18,0.6,1.0,0.1,5.46320104598999,6.108774363994598,1.8238143920898438,1.8850966691970825,0.0013985944679006934,chunk_6
weight_test10.0,18,0.6,1.0,0.5,4.515214443206787,6.967351138591766,2.2055916786193848,2.9653570652008057,0.0013583408435806632,chunk_6
weight_test10.0,18,0.6,1.0,1.0,3.7345657348632812,6.1772119998931885,2.5658254623413086,4.265283107757568,0.0013879548059776425,chunk_6
weight_test10.0,18,0.6,1.0,1.5,3.0620718002319336,4.626570105552673,2.935459613800049,5.34728479385376,0.0013710481580346823,chunk_6
weight_test10.0,18,0.8,0.6,0.1,4.1982340812683105,4.460326731204987,2.034771680831909,2.100214958190918,0.001864657737314701,chunk_6
weight_test10.0,18,0.8,0.6,0.5,5.381791114807129,8.34229463338852,2.658329963684082,3.726644515991211,0.001897079055197537,chunk_6
weight_test10.0,18,0.8,0.6,1.0,3.167351007461548,3.977922558784485,2.8403851985931396,4.580596446990967,0.0018143266206607223,chunk_6
weight_test10.0,18,0.8,0.6,1.5,2.351621150970459,2.9089980125427246,2.8258867263793945,5.23995304107666,0.00188244238961488,chunk_6
weight_test10.0,18,0.8,0.8,0.1,5.360838890075684,6.04990553855896,2.4157962799072266,2.5266928672790527,0.0018637804314494133,chunk_6
weight_test10.0,18,0.8,0.8,0.5,3.5431528091430664,4.499422073364258,2.576292037963867,3.4468657970428467,0.0018454375676810741,chunk_6
weight_test10.0,18,0.8,0.8,1.0,2.4526731967926025,4.523050844669342,2.9109463691711426,4.830720901489258,0.0018041431903839111,chunk_6
weight_test10.0,18,0.8,0.8,1.5,2.8802998065948486,3.938654124736786,3.662721872329712,6.9893317222595215,0.0018622379284352064,chunk_6
weight_test10.0,18,0.8,1.0,0.1,6.32047176361084,6.797818541526794,2.5164954662323,2.596234083175659,0.001808862783946097,chunk_6
weight_test10.0,18,0.8,1.0,0.5,5.173733234405518,7.41731071472168,3.18953013420105,4.350918769836426,0.0018435691017657518,chunk_6
weight_test10.0,18,0.8,1.0,1.0,3.898672580718994,5.731019496917725,3.4527573585510254,6.051044940948486,0.0017903525149449706,chunk_6
weight_test10.0,18,0.8,1.0,1.5,2.6543850898742676,4.302245259284973,3.291923999786377,6.382589340209961,0.0018107965588569641,chunk_6
weight_test10.0,18,0.95,0.6,0.1,6.19990348815918,6.878958582878113,2.407438278198242,2.411120891571045,0.0022259873803704977,chunk_6
weight_test10.0,18,0.95,0.6,0.5,4.65240478515625,6.025520920753479,2.1817054748535156,2.979534864425659,0.002167664933949709,chunk_6
weight_test10.0,18,0.95,0.6,1.0,1.9407532215118408,2.653337776660919,3.133650302886963,5.288273334503174,0.002115505049005151,chunk_6
weight_test10.0,18,0.95,0.6,1.5,1.2655222415924072,2.5524309873580933,2.9824490547180176,5.7303972244262695,0.0021472759544849396,chunk_6
