dataset,summary,metric_group,sign_frac,value
removed_cel,performance_delta_pct,Kernel,0.2425287356321839,87.68212270475826
removed_cel,performance_delta_pct,Kernel,0.4,107.31310640759371
removed_cel,performance_delta_pct,Kernel,0.6,107.48970131955701
removed_cel,performance_delta_pct,Kernel,0.8,59.521763822576915
removed_cel,performance_delta_pct,Kernel,1.0,-8.947501698730708
removed_cel,cv_delta_pct,Kernel,0.0,-5.393811258243266
removed_cel,cv_delta_pct,Kernel,0.2,6.290518011991674
removed_cel,cv_delta_pct,Kernel,0.2425287356321839,7.314375589080205
removed_cel,cv_delta_pct,Kernel,0.4,8.639125336910515
removed_cel,cv_delta_pct,Kernel,0.6,9.030446474816022
removed_cel,cv_delta_pct,Kernel,0.8,5.708834178657273
removed_cel,cv_delta_pct,Kernel,1.0,-3.738551693645676
removed_cel,raw_rho_relative,diagnostic,0.0,1.0
removed_cel,raw_rho_relative,diagnostic,0.2,0.6271487169675858
removed_cel,raw_rho_relative,diagnostic,0.2425287356321839,0.5817623576782425
removed_cel,raw_rho_relative,diagnostic,0.4,0.5357437464772742
removed_cel,raw_rho_relative,diagnostic,0.6,0.5358305961020374
removed_cel,raw_rho_relative,diagnostic,0.8,0.6594637501843414
removed_cel,raw_rho_relative,diagnostic,1.0,0.9999995848748745
