config,model_a,model_b,tost_bound,tost_pval,tost_significant,n_model_a,n_model_b
t_train_x0.75,conn_shuf,local_sign+sample,0.21053788661956788,0.6166843150319778,0.0,48,48
t_train_x0.75,conn_shuf,local_sign+binary,0.21053788661956788,0.8975325417538473,0.0,48,48
t_train_x0.75,conn_shuf,global_sign_pres,0.21053788661956788,0.9723890559073527,0.0,48,48
t_train_x0.75,conn_shuf,binary+shuffle,0.21053788661956788,0.9287701364427984,0.0,48,48
t_train_x0.75,local_sign,conn_shuf_only,0.21053788661956788,0.4295864363731582,0.0,48,48
t_train_x0.75,local_sign,cel_sample,0.21053788661956788,0.5774768540518821,0.0,48,48
t_train_x0.75,local_sign,local_sign+flat,0.21053788661956788,0.47103206226351135,0.0,48,48
t_train_x0.75,local_sign,local_sign+sample,0.21053788661956788,0.460973177808876,0.0,48,48
t_train_x0.75,local_sign,local_sign+binary,0.21053788661956788,0.45200300091374124,0.0,48,48
t_train_x0.75,local_sign,global_sign_pres,0.21053788661956788,0.7207382989659223,0.0,48,48
t_train_x0.75,local_sign,binary+shuffle,0.21053788661956788,0.5081415139593575,0.0,48,48
t_train_x0.75,conn_shuf_only,cel_sample,0.21053788661956788,0.7086699293805516,0.0,48,48
t_train_x0.75,conn_shuf_only,local_sign+flat,0.21053788661956788,0.32130670685436147,0.0,48,48
t_train_x0.75,conn_shuf_only,local_sign+sample,0.21053788661956788,0.6104905078321807,0.0,48,48
t_train_x0.75,conn_shuf_only,local_sign+binary,0.21053788661956788,0.30047224491815244,0.0,48,48
t_train_x0.75,conn_shuf_only,global_sign_pres,0.21053788661956788,0.5377690027808277,0.0,48,48
t_train_x0.75,conn_shuf_only,binary+shuffle,0.21053788661956788,0.336681161412406,0.0,48,48
t_train_x0.75,cel_sample,local_sign+flat,0.21053788661956788,0.7556160551539293,0.0,48,48
t_train_x0.75,cel_sample,local_sign+sample,0.21053788661956788,0.3979232889616777,0.0,48,48
t_train_x0.75,cel_sample,local_sign+binary,0.21053788661956788,0.7517678271633814,0.0,48,48
t_train_x0.75,cel_sample,global_sign_pres,0.21053788661956788,0.9087384410258309,0.0,48,48
t_train_x0.75,cel_sample,binary+shuffle,0.21053788661956788,0.8032007276624549,0.0,48,48
t_train_x0.75,local_sign+flat,local_sign+sample,0.21053788661956788,0.6580997590089889,0.0,48,48
t_train_x0.75,local_sign+flat,local_sign+binary,0.21053788661956788,0.2734298473761706,0.0,48,48
t_train_x0.75,local_sign+flat,global_sign_pres,0.21053788661956788,0.4899467237141079,0.0,48,48
t_train_x0.75,local_sign+flat,binary+shuffle,0.21053788661956788,0.27626051727979767,0.0,48,48
t_train_x0.75,local_sign+sample,local_sign+binary,0.21053788661956788,0.6493939964920417,0.0,48,48
t_train_x0.75,local_sign+sample,global_sign_pres,0.21053788661956788,0.8493306030092498,0.0,48,48
t_train_x0.75,local_sign+sample,binary+shuffle,0.21053788661956788,0.7057370491553467,0.0,48,48
t_train_x0.75,local_sign+binary,global_sign_pres,0.21053788661956788,0.5087021149297457,0.0,48,48
t_train_x0.75,local_sign+binary,binary+shuffle,0.21053788661956788,0.2806607991872855,0.0,48,48
t_train_x0.75,global_sign_pres,binary+shuffle,0.21053788661956788,0.44306667751498996,0.0,48,48
t_test_x0.75,real,shuffle_weights,0.20694985389709475,0.6465155254277475,0.0,48,48
t_test_x0.75,real,cel_randN,0.20694985389709475,0.9999999830602418,0.0,48,48
t_test_x0.75,real,er_randN,0.20694985389709475,0.9999999999630572,0.0,48,48
t_test_x0.75,real,ws_p01_randN,0.20694985389709475,0.9999999999444694,0.0,48,48
t_test_x0.75,real,conn_shuf,0.20694985389709475,0.9395941101183609,0.0,48,48
t_test_x0.75,real,local_sign,0.20694985389709475,0.5530988442041901,0.0,48,48
t_test_x0.75,real,conn_shuf_only,0.20694985389709475,0.5185640743747142,0.0,48,48
t_test_x0.75,real,cel_sample,0.20694985389709475,0.9070464337513907,0.0,48,48
t_test_x0.75,real,local_sign+flat,0.20694985389709475,0.5806356741829081,0.0,48,48
t_test_x0.75,real,local_sign+sample,0.20694985389709475,0.7554066271354561,0.0,48,48
t_test_x0.75,real,local_sign+binary,0.20694985389709475,0.4199126778481379,0.0,48,48
t_test_x0.75,real,global_sign_pres,0.20694985389709475,0.2675550960348848,0.0,48,48
t_test_x0.75,real,binary+shuffle,0.20694985389709475,0.33039634356424213,0.0,48,48
t_test_x0.75,shuffle_weights,cel_randN,0.20694985389709475,0.9999998232080672,0.0,48,48
t_test_x0.75,shuffle_weights,er_randN,0.20694985389709475,0.9999999996341058,0.0,48,48
t_test_x0.75,shuffle_weights,ws_p01_randN,0.20694985389709475,0.999999999479347,0.0,48,48
t_test_x0.75,shuffle_weights,conn_shuf,0.20694985389709475,0.7213495858569017,0.0,48,48
t_test_x0.75,shuffle_weights,local_sign,0.20694985389709475,0.3900734461319598,0.0,48,48
t_test_x0.75,shuffle_weights,conn_shuf_only,0.20694985389709475,0.42243278657049754,0.0,48,48
t_test_x0.75,shuffle_weights,cel_sample,0.20694985389709475,0.6417247591581241,0.0,48,48
t_test_x0.75,shuffle_weights,local_sign+flat,0.20694985389709475,0.3624831670715657,0.0,48,48
t_test_x0.75,shuffle_weights,local_sign+sample,0.20694985389709475,0.4049109758593177,0.0,48,48
t_test_x0.75,shuffle_weights,local_sign+binary,0.20694985389709475,0.5061391792317227,0.0,48,48
t_test_x0.75,shuffle_weights,global_sign_pres,0.20694985389709475,0.6555871706884866,0.0,48,48
t_test_x0.75,shuffle_weights,binary+shuffle,0.20694985389709475,0.7161169821059676,0.0,48,48
t_test_x0.75,cel_randN,er_randN,0.20694985389709475,0.9135172165455195,0.0,48,48
t_test_x0.75,cel_randN,ws_p01_randN,0.20694985389709475,0.9153033628580118,0.0,48,48
t_test_x0.75,cel_randN,conn_shuf,0.20694985389709475,0.9999984369249769,0.0,48,48
t_test_x0.75,cel_randN,local_sign,0.20694985389709475,0.9999999315158579,0.0,48,48
t_test_x0.75,cel_randN,conn_shuf_only,0.20694985389709475,0.9999999353723805,0.0,48,48
t_test_x0.75,cel_randN,cel_sample,0.20694985389709475,0.9999990582580832,0.0,48,48
t_test_x0.75,cel_randN,local_sign+flat,0.20694985389709475,0.9999999457597994,0.0,48,48
t_test_x0.75,cel_randN,local_sign+sample,0.20694985389709475,0.9999997505295535,0.0,48,48
t_test_x0.75,cel_randN,local_sign+binary,0.20694985389709475,0.9999999782562101,0.0,48,48
t_test_x0.75,cel_randN,global_sign_pres,0.20694985389709475,0.9999999897102728,0.0,48,48
t_test_x0.75,cel_randN,binary+shuffle,0.20694985389709475,0.9999999923935775,0.0,48,48
t_test_x0.75,er_randN,ws_p01_randN,0.20694985389709475,0.4418678622774388,0.0,48,48
t_test_x0.75,er_randN,conn_shuf,0.20694985389709475,0.9999999969281593,0.0,48,48
t_test_x0.75,er_randN,local_sign,0.20694985389709475,0.999999999860092,0.0,48,48
t_test_x0.75,er_randN,conn_shuf_only,0.20694985389709475,0.9999999998661842,0.0,48,48
t_test_x0.75,er_randN,cel_sample,0.20694985389709475,0.9999999981531993,0.0,48,48
t_test_x0.75,er_randN,local_sign+flat,0.20694985389709475,0.9999999998917939,0.0,48,48
t_test_x0.75,er_randN,local_sign+sample,0.20694985389709475,0.9999999995028416,0.0,48,48
t_test_x0.75,er_randN,local_sign+binary,0.20694985389709475,0.999999999955271,0.0,48,48
t_test_x0.75,er_randN,global_sign_pres,0.20694985389709475,0.9999999999778542,0.0,48,48
t_test_x0.75,er_randN,binary+shuffle,0.20694985389709475,0.9999999999832535,0.0,48,48
t_test_x0.75,ws_p01_randN,conn_shuf,0.20694985389709475,0.999999995787181,0.0,48,48
t_test_x0.75,ws_p01_randN,local_sign,0.20694985389709475,0.9999999997948225,0.0,48,48
t_test_x0.75,ws_p01_randN,conn_shuf_only,0.20694985389709475,0.9999999998042177,0.0,48,48
t_test_x0.75,ws_p01_randN,cel_sample,0.20694985389709475,0.9999999974392253,0.0,48,48
t_test_x0.75,ws_p01_randN,local_sign+flat,0.20694985389709475,0.9999999998389256,0.0,48,48
t_test_x0.75,ws_p01_randN,local_sign+sample,0.20694985389709475,0.9999999992917014,0.0,48,48
t_test_x0.75,ws_p01_randN,local_sign+binary,0.20694985389709475,0.9999999999319549,0.0,48,48
t_test_x0.75,ws_p01_randN,global_sign_pres,0.20694985389709475,0.9999999999658928,0.0,48,48
t_test_x0.75,ws_p01_randN,binary+shuffle,0.20694985389709475,0.9999999999741181,0.0,48,48
t_test_x0.75,conn_shuf,local_sign,0.20694985389709475,0.8133096697485485,0.0,48,48
t_test_x0.75,conn_shuf,conn_shuf_only,0.20694985389709475,0.829683821992425,0.0,48,48
t_test_x0.75,conn_shuf,cel_sample,0.20694985389709475,0.3845776203409066,0.0,48,48
t_test_x0.75,conn_shuf,local_sign+flat,0.20694985389709475,0.8137910933433092,0.0,48,48
t_test_x0.75,conn_shuf,local_sign+sample,0.20694985389709475,0.6283978214106329,0.0,48,48
t_test_x0.75,conn_shuf,local_sign+binary,0.20694985389709475,0.9040999359846766,0.0,48,48
t_test_x0.75,conn_shuf,global_sign_pres,0.20694985389709475,0.9540474552255631,0.0,48,48
t_test_x0.75,conn_shuf,binary+shuffle,0.20694985389709475,0.9673233931003369,0.0,48,48
t_test_x0.75,local_sign,conn_shuf_only,0.20694985389709475,0.31590676817910535,0.0,48,48
t_test_x0.75,local_sign,cel_sample,0.20694985389709475,0.7430704170873522,0.0,48,48
t_test_x0.75,local_sign,local_sign+flat,0.20694985389709475,0.28847376433512184,0.0,48,48
t_test_x0.75,local_sign,local_sign+sample,0.20694985389709475,0.5026880138783131,0.0,48,48
t_test_x0.75,local_sign,local_sign+binary,0.20694985389709475,0.38683394137831917,0.0,48,48
t_test_x0.75,local_sign,global_sign_pres,0.20694985389709475,0.5550156395385938,0.0,48,48
t_test_x0.75,local_sign,binary+shuffle,0.20694985389709475,0.6288729846107268,0.0,48,48
t_test_x0.75,conn_shuf_only,cel_sample,0.20694985389709475,0.7644880313034988,0.0,48,48
t_test_x0.75,conn_shuf_only,local_sign+flat,0.20694985389709475,0.32495865194903817,0.0,48,48
t_test_x0.75,conn_shuf_only,local_sign+sample,0.20694985389709475,0.5353099452367236,0.0,48,48
t_test_x0.75,conn_shuf_only,local_sign+binary,0.20694985389709475,0.35445960592251685,0.0,48,48
t_test_x0.75,conn_shuf_only,global_sign_pres,0.20694985389709475,0.5168798962216165,0.0,48,48
t_test_x0.75,conn_shuf_only,binary+shuffle,0.20694985389709475,0.590718944256203,0.0,48,48
t_test_x0.75,cel_sample,local_sign+flat,0.20694985389709475,0.7386333096366491,0.0,48,48
t_test_x0.75,cel_sample,local_sign+sample,0.20694985389709475,0.5365322810182543,0.0,48,48
t_test_x0.75,cel_sample,local_sign+binary,0.20694985389709475,0.8532379472123985,0.0,48,48
t_test_x0.75,cel_sample,global_sign_pres,0.20694985389709475,0.9248294963275512,0.0,48,48
t_test_x0.75,cel_sample,binary+shuffle,0.20694985389709475,0.9453076731774321,0.0,48,48
t_test_x0.75,local_sign+flat,local_sign+sample,0.20694985389709475,0.47954790235932426,0.0,48,48
t_test_x0.75,local_sign+flat,local_sign+binary,0.20694985389709475,0.402839918239855,0.0,48,48
t_test_x0.75,local_sign+flat,global_sign_pres,0.20694985389709475,0.5865510087431102,0.0,48,48
t_test_x0.75,local_sign+flat,binary+shuffle,0.20694985389709475,0.6644232434301276,0.0,48,48
t_test_x0.75,local_sign+sample,local_sign+binary,0.20694985389709475,0.6355049132027839,0.0,48,48
t_test_x0.75,local_sign+sample,global_sign_pres,0.20694985389709475,0.7733518873728351,0.0,48,48
t_test_x0.75,local_sign+sample,binary+shuffle,0.20694985389709475,0.8225714282461822,0.0,48,48
t_test_x0.75,local_sign+binary,global_sign_pres,0.20694985389709475,0.4053995669542657,0.0,48,48
t_test_x0.75,local_sign+binary,binary+shuffle,0.20694985389709475,0.49318298936597427,0.0,48,48
t_test_x0.75,global_sign_pres,binary+shuffle,0.20694985389709475,0.3141692550008308,0.0,48,48
washout_x1.25,real,shuffle_weights,0.20526872873306276,0.6058565874151678,0.0,48,48
washout_x1.25,real,cel_randN,0.20526872873306276,0.9999999107473626,0.0,48,48
washout_x1.25,real,er_randN,0.20526872873306276,0.9999999999515493,0.0,48,48
washout_x1.25,real,ws_p01_randN,0.20526872873306276,0.9999999998518296,0.0,48,48
washout_x1.25,real,conn_shuf,0.20526872873306276,0.8897743350958871,0.0,48,48
washout_x1.25,real,local_sign,0.20526872873306276,0.27551335381869246,0.0,48,48
washout_x1.25,real,conn_shuf_only,0.20526872873306276,0.3982973972884142,0.0,48,48
washout_x1.25,real,cel_sample,0.20526872873306276,0.7533449492896636,0.0,48,48
washout_x1.25,real,local_sign+flat,0.20526872873306276,0.31571105183734005,0.0,48,48
washout_x1.25,real,local_sign+sample,0.20526872873306276,0.6269409403122015,0.0,48,48
washout_x1.25,real,local_sign+binary,0.20526872873306276,0.3467467378325175,0.0,48,48
washout_x1.25,real,global_sign_pres,0.20526872873306276,0.6708113866680758,0.0,48,48
washout_x1.25,real,binary+shuffle,0.20526872873306276,0.4733277483956564,0.0,48,48
washout_x1.25,shuffle_weights,cel_randN,0.20526872873306276,0.9999993563033239,0.0,48,48
washout_x1.25,shuffle_weights,er_randN,0.20526872873306276,0.999999999622814,0.0,48,48
washout_x1.25,shuffle_weights,ws_p01_randN,0.20526872873306276,0.9999999989421829,0.0,48,48
washout_x1.25,shuffle_weights,conn_shuf,0.20526872873306276,0.6511925158528653,0.0,48,48
washout_x1.25,shuffle_weights,local_sign,0.20526872873306276,0.6010990720812032,0.0,48,48
washout_x1.25,shuffle_weights,conn_shuf_only,0.20526872873306276,0.47716691822524393,0.0,48,48
washout_x1.25,shuffle_weights,cel_sample,0.20526872873306276,0.45077171971259505,0.0,48,48
washout_x1.25,shuffle_weights,local_sign+flat,0.20526872873306276,0.6527305933326801,0.0,48,48
washout_x1.25,shuffle_weights,local_sign+sample,0.20526872873306276,0.3089865536880012,0.0,48,48
washout_x1.25,shuffle_weights,local_sign+binary,0.20526872873306276,0.6966738893435152,0.0,48,48
washout_x1.25,shuffle_weights,global_sign_pres,0.20526872873306276,0.8992046935436219,0.0,48,48
washout_x1.25,shuffle_weights,binary+shuffle,0.20526872873306276,0.7980721048543549,0.0,48,48
washout_x1.25,cel_randN,er_randN,0.20526872873306276,0.9308186918991499,0.0,48,48
washout_x1.25,cel_randN,ws_p01_randN,0.20526872873306276,0.9200999055244273,0.0,48,48
washout_x1.25,cel_randN,conn_shuf,0.20526872873306276,0.9999955889804828,0.0,48,48
washout_x1.25,cel_randN,local_sign,0.20526872873306276,0.9999999020190908,0.0,48,48
washout_x1.25,cel_randN,conn_shuf_only,0.20526872873306276,0.9999998193093323,0.0,48,48
washout_x1.25,cel_randN,cel_sample,0.20526872873306276,0.9999984326043666,0.0,48,48
washout_x1.25,cel_randN,local_sign+flat,0.20526872873306276,0.9999999298304335,0.0,48,48
washout_x1.25,cel_randN,local_sign+sample,0.20526872873306276,0.9999993855847651,0.0,48,48
washout_x1.25,cel_randN,local_sign+binary,0.20526872873306276,0.9999999546291902,0.0,48,48
washout_x1.25,cel_randN,global_sign_pres,0.20526872873306276,0.9999999900588089,0.0,48,48
washout_x1.25,cel_randN,binary+shuffle,0.20526872873306276,0.9999999776814108,0.0,48,48
washout_x1.25,er_randN,ws_p01_randN,0.20526872873306276,0.4539534532505168,0.0,48,48
washout_x1.25,er_randN,conn_shuf,0.20526872873306276,0.9999999971791376,0.0,48,48
washout_x1.25,er_randN,local_sign,0.20526872873306276,0.9999999999461481,0.0,48,48
washout_x1.25,er_randN,conn_shuf_only,0.20526872873306276,0.9999999999011338,0.0,48,48
