config,model,washout,t_train,t_test,mean_score,std_score,cv_score,mean_capture_pct,std_capture_pct,n_runs
washout_x0.75,ws_p01_randN,375,1500,500,10.85521463304758,6.014682120610019,0.5540822843151291,98.22576534383063,7.016978791684822,48
washout_x0.75,conn_shuf,375,1500,500,4.0292868837714195,1.8652679078283627,0.4629275506147303,98.75086611185941,32.57129702496006,48
washout_x0.75,local_sign,375,1500,500,3.7637250125408173,1.7757164805881878,0.4717976139785612,109.7140813382327,65.68667364305072,48
washout_x0.75,conn_shuf_only,375,1500,500,3.9997712460656962,1.9034364919855389,0.4758863382144217,111.85204014784466,91.40706060654396,48
washout_x0.75,cel_sample,375,1500,500,4.170150076349576,1.8058016592051196,0.433030376879353,114.78777159617145,45.490253793264756,48
washout_x0.75,local_sign+flat,375,1500,500,3.7843765082458654,1.667941173660797,0.44074398253622,101.20809355460341,24.88020800471791,48
washout_x0.75,local_sign+sample,375,1500,500,4.067748223741849,1.8779628191816466,0.46167135129473236,108.36986604153805,38.43416962539885,48
washout_x0.75,local_sign+binary,375,1500,500,3.462772123515606,1.6340436600563477,0.4718888802874422,100.9938951446308,40.99669442422459,48
washout_x0.75,global_sign_pres,375,1500,500,3.384294331073761,1.6113791771958896,0.47613446691104877,93.64248619500772,24.970177278522343,48
washout_x0.75,binary+shuffle,375,1500,500,3.5342463813722134,1.589661996381053,0.4497881089330981,101.34196513502782,30.71318809678105,48
t_train_x0.75,real,500,1125,500,3.6029074589411416,1.644290373210562,0.4563787418769292,104.0193584395458,37.23968807843554,48
t_train_x0.75,shuffle_weights,500,1125,500,4.135870049397151,2.0560438864960915,0.4971248762508345,102.0979513041079,28.72045654124412,48
t_train_x0.75,cel_randN,500,1125,500,7.816754303872585,4.564209564088276,0.5839008604667374,98.39887020668777,20.778763194808242,48
t_train_x0.75,er_randN,500,1125,500,10.165741575260958,5.876350126330085,0.578054250427789,100.44934520196269,32.79672328142268,48
t_train_x0.75,ws_p01_randN,500,1125,500,10.625214360654354,6.014313519233161,0.5660416171465146,96.40243906487986,6.873678693442415,48
t_train_x0.75,conn_shuf,500,1125,500,4.199394675592582,1.731582185399991,0.41234090128850426,106.74249746026105,34.104648258925074,48
t_train_x0.75,local_sign,500,1125,500,3.7379551827907562,1.7032434368546374,0.45566181336154926,105.3349037168427,37.168215304090324,48
t_train_x0.75,conn_shuf_only,500,1125,500,4.185054425150156,1.8650207505054788,0.44563835043520694,107.35640394376321,26.757629587594252,48
t_train_x0.75,cel_sample,500,1125,500,4.081598483026028,1.9377671512292889,0.4747569265540939,109.76869051720833,61.998543444736754,48
t_train_x0.75,local_sign+flat,500,1125,500,3.720915388315916,1.5574293353888917,0.4185608036880901,100.53028083344559,26.73195128522433,48
t_train_x0.75,local_sign+sample,500,1125,500,4.129387977222602,1.8967389221528952,0.45932688636068264,109.8408276672914,40.266548500750126,48
t_train_x0.75,local_sign+binary,500,1125,500,3.5928870861728988,1.5239760778989677,0.42416475701781353,105.4857186529655,36.77308227328748,48
t_train_x0.75,global_sign_pres,500,1125,500,3.6051987732450166,1.4100603221037773,0.39111860698726214,104.26329295011988,26.57948720387386,48
t_train_x0.75,binary+shuffle,500,1125,500,3.62712624669075,1.2938320438047077,0.35670995598379024,109.49104849036667,31.85091756202581,48
t_test_x0.75,real,500,1500,375,3.703317324320475,1.6681982638552038,0.4504605243789912,108.09142925666504,40.2718042022894,48
t_test_x0.75,shuffle_weights,500,1500,375,4.009360363086064,1.9121081037794856,0.4769110108894546,98.01898952810457,25.997811741568164,48
t_test_x0.75,cel_randN,500,1500,375,7.832833642760913,4.640205919636044,0.5924045027975937,98.12441334993146,23.01978455127407,48
t_test_x0.75,er_randN,500,1500,375,10.50451272726059,5.9286533894511315,0.564391090132672,104.57006629109934,24.34945707148906,48
t_test_x0.75,ws_p01_randN,500,1500,375,10.899880349636078,5.89650834938335,0.5409700070313359,100.32776647981014,7.382258497670909,48
t_test_x0.75,conn_shuf,500,1500,375,4.125716273983319,1.81965710721019,0.44105241038626664,103.50152213458033,29.116093081085047,48
t_test_x0.75,local_sign,500,1500,375,3.9144723812739053,1.712083821014416,0.4373728191836787,124.31213409343293,97.13026260077255,48
t_test_x0.75,conn_shuf_only,500,1500,375,4.063978351652622,1.843160570957658,0.45353602098006607,108.06085633527067,57.97434468462668,48
t_test_x0.75,cel_sample,500,1500,375,4.07665479183197,1.801983218070338,0.4420249714743596,113.41551882876388,55.02316233112618,48
t_test_x0.75,local_sign+flat,500,1500,375,3.7990887699027858,1.7315487834126058,0.45578002733979656,101.40494367798875,29.90376252115336,48
t_test_x0.75,local_sign+sample,500,1500,375,3.985863537838062,1.879659563174653,0.4715815143521404,104.51531990277971,38.83300141282013,48
t_test_x0.75,local_sign+binary,500,1500,375,3.714801492790381,1.4786585368449767,0.39804510139094385,110.71549219483724,42.738520260812834,48
t_test_x0.75,global_sign_pres,500,1500,375,3.5910713945825896,1.490157857910271,0.414961913639002,102.16742085205942,22.04391563778764,48
t_test_x0.75,binary+shuffle,500,1500,375,3.584705274552107,1.4062655507474213,0.39229600289053834,104.29226214280273,24.68142538175736,48
washout_x1.25,real,625,1500,500,3.7322021375099816,1.595655316226008,0.4275372172876423,108.1306898692017,31.772341785926393,48
washout_x1.25,shuffle_weights,625,1500,500,4.136399082839489,1.968514884645362,0.4759006191670576,103.77226930691218,31.873983338314268,48
washout_x1.25,cel_randN,625,1500,500,7.868586579958598,4.597993005537456,0.5843480222037093,98.87090367415179,15.766360118782389,48
washout_x1.25,er_randN,625,1500,500,10.54104079057773,5.856718759149141,0.5556110516510151,106.45336799153306,38.89658866141939,48
washout_x1.25,ws_p01_randN,625,1500,500,10.985033941765627,5.9704940876080626,0.5435116649852084,99.9046420917836,11.38306649996492,48
washout_x1.25,conn_shuf,625,1500,500,4.117811905841033,1.8199356202976331,0.44196667111387267,105.96467420722014,44.59047729520229,48
washout_x1.25,local_sign,625,1500,500,3.9051842987537384,1.710739487568238,0.4380688225429428,123.08176822608812,103.14988405362242,48
washout_x1.25,conn_shuf_only,625,1500,500,4.060582235455513,1.9096882442829228,0.4702991180940079,112.19659782693437,89.89104147987067,48
washout_x1.25,cel_sample,625,1500,500,4.0742869302630424,1.8046494404069409,0.4429362662217876,109.67383995535589,38.55900484532434,48
washout_x1.25,local_sign+flat,625,1500,500,3.7793851643800735,1.634422521835908,0.4324572518408559,102.71000062468276,34.18344548913975,48
washout_x1.25,local_sign+sample,625,1500,500,4.079670415570338,1.7828267840148602,0.43700265031473645,108.16466982101754,29.185136825842918,48
washout_x1.25,local_sign+binary,625,1500,500,3.7154652488728366,1.551878994903777,0.4176809338681264,111.2525148511467,50.648229928407716,48
washout_x1.25,global_sign_pres,625,1500,500,3.5185005453725657,1.5740265446033344,0.44735719784766,99.16544368801154,31.48258558758978,48
washout_x1.25,binary+shuffle,625,1500,500,3.588858795662721,1.4441550369297416,0.40239951448495564,104.67085412480515,29.165982204641733,48
t_train_x1.25,real,500,1875,500,3.62698233127594,1.6785773872309127,0.4628027472745929,102.42565485813857,26.180748436388264,48
t_train_x1.25,shuffle_weights,500,1875,500,4.131142561634381,2.016489701569418,0.48811912721105544,102.85853694262131,28.066505750440793,48
t_train_x1.25,cel_randN,500,1875,500,8.065511912107468,4.605996371188793,0.5710730355843309,103.69522948554618,22.74644954290127,48
t_train_x1.25,er_randN,500,1875,500,10.608531566957632,5.933604835185147,0.5593238609636164,102.99579328227303,12.638600776294595,48
t_train_x1.25,ws_p01_randN,500,1875,500,11.316978787382444,5.977787901074194,0.52821411203306,105.16673901631573,7.695904725428065,48
t_train_x1.25,conn_shuf,500,1875,500,4.1705532024304075,1.899044577871313,0.45534596627724033,108.20462650203842,50.57942885762574,48
t_train_x1.25,local_sign,500,1875,500,3.6764581948518753,1.8439428568181977,0.5015541477937274,110.50511056655974,85.0824340060766,48
t_train_x1.25,conn_shuf_only,500,1875,500,4.145277198404074,1.8933502248208065,0.45674876110812174,111.29189755753282,62.6050048146243,48
t_train_x1.25,cel_sample,500,1875,500,4.11416157707572,1.8277972485469702,0.44426968029926994,111.12917116198967,39.938597684156385,48
t_train_x1.25,local_sign+flat,500,1875,500,3.779863233367602,1.639265910114535,0.433683921588364,101.42420515135704,26.248432191717374,48
t_train_x1.25,local_sign+sample,500,1875,500,3.964726564784845,1.7615293590379066,0.4443003395704541,105.66178400711355,27.996415155868526,48
t_train_x1.25,local_sign+binary,500,1875,500,3.5394950782259307,1.5322056054828253,0.4328881864841578,104.29290928326462,39.845681127756805,48
t_train_x1.25,global_sign_pres,500,1875,500,3.585333569596211,1.479816914311135,0.41274176742160024,102.41246470196307,28.316630878513664,48
t_train_x1.25,binary+shuffle,500,1875,500,3.5798999865849814,1.3860576538574925,0.3871777588903291,105.38579852340244,25.821958935975932,48
t_test_x1.25,real,500,1500,625,3.577656712383032,1.6511014070274734,0.46150358733767266,103.71020130441617,37.54971195424357,48
t_test_x1.25,shuffle_weights,500,1500,625,4.161322611073653,1.9482752109223844,0.46818653418935824,105.39954437792939,35.54064026515241,48
t_test_x1.25,cel_randN,500,1500,625,7.966332818071048,4.522716184672799,0.5677287514793941,102.32492429095923,22.92109596788196,48
t_test_x1.25,er_randN,500,1500,625,10.523477559288343,5.863153067442866,0.5571497667392152,107.22878662336825,42.49233262532809,48
t_test_x1.25,ws_p01_randN,500,1500,625,10.963864658027887,5.992982239408078,0.546612205306633,99.12359353472148,10.563029915074683,48
t_test_x1.25,conn_shuf,500,1500,625,4.248605653643608,1.8563410033224115,0.436929466901785,105.9245060450384,32.11874647987921,48
t_test_x1.25,local_sign,500,1500,625,3.7289081128935018,1.7504790367215408,0.46943474704267535,112.96447013386664,75.28799056774147,48
t_test_x1.25,conn_shuf_only,500,1500,625,4.113359003017346,1.767017545083843,0.4295801907364883,117.44549571390264,101.60687232561443,48
t_test_x1.25,cel_sample,500,1500,625,3.9536949122945466,1.9101321375211966,0.4831258303672809,105.69637401318005,40.10917040221227,48
t_test_x1.25,local_sign+flat,500,1500,625,3.6839352510869503,1.6980076671871758,0.4609222343650519,99.8744195863656,34.80410720788578,48
t_test_x1.25,local_sign+sample,500,1500,625,3.7970444771150746,1.9065660781093408,0.5021184475452642,97.5839585872619,33.81000910168114,48
t_test_x1.25,local_sign+binary,500,1500,625,3.6924849761029086,1.4641698833291688,0.39652697107909984,113.39033887230141,59.82384059345235,48
t_test_x1.25,global_sign_pres,500,1500,625,3.5905287514130273,1.4918620332320245,0.4154992583320528,102.066747123793,22.726124085040365,48
t_test_x1.25,binary+shuffle,500,1500,625,3.7215458303689957,1.306907423781063,0.35117327136381965,111.22899448563044,29.59529004871608,48
