model,seed,rho_target,leak,input_scale,d_max,mc_total,capture_pct_vs_ref
real,5,0.95,0.8,1.0,80,3.732219696044922,100.0
cel_randN,5,0.95,0.8,1.0,30,6.912221431732178,98.8069399161462
cel_randN,5,0.95,0.8,1.0,50,6.950930118560791,99.36026230772204
cel_randN,5,0.95,0.8,1.0,80,6.9956841468811035,100.0
er_randN,5,0.95,0.8,1.0,30,8.416573524475098,98.9815309751009
er_randN,5,0.95,0.8,1.0,50,8.437743186950684,99.23049281164475
er_randN,5,0.95,0.8,1.0,80,8.503175735473633,100.0
ws_p01_randN,5,0.95,0.8,1.0,30,8.871845245361328,99.06360927117763
ws_p01_randN,5,0.95,0.8,1.0,50,8.913589477539062,99.52972812147459
ws_p01_randN,5,0.95,0.8,1.0,80,8.955705642700195,100.0
local_sign,5,0.95,0.8,1.0,30,5.924665451049805,97.42146351063626
local_sign,5,0.95,0.8,1.0,50,5.968613147735596,98.14411172840063
local_sign,5,0.95,0.8,1.0,80,6.081478595733643,100.0
local_sign+flat,5,0.95,0.8,1.0,30,5.247828960418701,97.22076831959274
local_sign+flat,5,0.95,0.8,1.0,50,5.295989036560059,98.1129772006572
local_sign+flat,5,0.95,0.8,1.0,80,5.397847652435303,100.0
local_sign+binary,5,0.95,0.8,1.0,30,3.385307550430298,96.09759676299048
local_sign+binary,5,0.95,0.8,1.0,50,3.4289603233337402,97.33675347344303
local_sign+binary,5,0.95,0.8,1.0,80,3.522780656814575,100.0
global_sign_pres,5,0.95,0.8,1.0,30,4.25063419342041,97.95428637485367
global_sign_pres,5,0.95,0.8,1.0,50,4.294177532196045,98.95772644569016
global_sign_pres,5,0.95,0.8,1.0,80,4.3394060134887695,100.0
global_sign_pres_real_weight,5,0.95,0.8,1.0,30,4.871425151824951,96.84181439784781
global_sign_pres_real_weight,5,0.95,0.8,1.0,50,4.948909759521484,98.38217471610635
global_sign_pres_real_weight,5,0.95,0.8,1.0,80,5.0302910804748535,100.0
binary_base,5,0.95,0.8,1.0,30,2.73283314704895,96.47014692543794
binary_base,5,0.95,0.8,1.0,50,2.7786059379577637,98.08594548559844
binary_base,5,0.95,0.8,1.0,80,2.8328278064727783,100.0
real,6,0.95,0.8,1.0,30,4.1108503341674805,96.3098071117798
real,6,0.95,0.8,1.0,50,4.174123764038086,97.79218942462867
real,6,0.95,0.8,1.0,80,4.2683610916137695,100.0
cel_randN,6,0.95,0.8,1.0,30,8.100911140441895,98.68834883428859
cel_randN,6,0.95,0.8,1.0,50,8.159455299377441,99.40155581546357
cel_randN,6,0.95,0.8,1.0,80,8.208579063415527,100.0
er_randN,6,0.95,0.8,1.0,30,9.074383735656738,99.02901375223006
er_randN,6,0.95,0.8,1.0,50,9.108328819274902,99.39945743748386
er_randN,6,0.95,0.8,1.0,80,9.163358688354492,100.0
ws_p01_randN,6,0.95,0.8,1.0,30,8.827801704406738,98.8372981984758
ws_p01_randN,6,0.95,0.8,1.0,50,8.892468452453613,99.561316122105
ws_p01_randN,6,0.95,0.8,1.0,80,8.931650161743164,100.0
local_sign,6,0.95,0.8,1.0,30,5.487813472747803,98.44306594323723
local_sign,6,0.95,0.8,1.0,50,5.513848304748535,98.91009141635082
local_sign,6,0.95,0.8,1.0,80,5.574606418609619,100.0
local_sign+flat,6,0.95,0.8,1.0,30,5.7363810539245605,98.02720269148858
local_sign+flat,6,0.95,0.8,1.0,50,5.783945560455322,98.84001750953865
local_sign+flat,6,0.95,0.8,1.0,80,5.851825714111328,100.0
local_sign+binary,6,0.95,0.8,1.0,30,3.952420234680176,98.3599449106293
local_sign+binary,6,0.95,0.8,1.0,50,3.984236478805542,99.15172408228091
local_sign+binary,6,0.95,0.8,1.0,80,4.018322944641113,100.0
global_sign_pres,6,0.95,0.8,1.0,30,4.725465774536133,97.5038571011542
global_sign_pres,6,0.95,0.8,1.0,50,4.767414093017578,98.36940624403208
global_sign_pres,6,0.95,0.8,1.0,80,4.846439838409424,100.0
global_sign_pres_real_weight,6,0.95,0.8,1.0,30,3.2412149906158447,95.9364698201089
global_sign_pres_real_weight,6,0.95,0.8,1.0,50,3.2900607585906982,97.38225189835025
global_sign_pres_real_weight,6,0.95,0.8,1.0,80,3.3785014152526855,100.0
binary_base,6,0.95,0.8,1.0,30,3.3006365299224854,97.5078019635282
binary_base,6,0.95,0.8,1.0,50,3.3286049365997314,98.33404800267762
binary_base,6,0.95,0.8,1.0,80,3.3849973678588867,100.0
real,7,0.95,0.8,1.0,30,5.338723182678223,98.00629768960997
real,7,0.95,0.8,1.0,50,5.365739345550537,98.50225037535435
real,7,0.95,0.8,1.0,80,5.44732666015625,100.0
cel_randN,7,0.95,0.8,1.0,30,8.636019706726074,98.52791154652142
