metric,mode_a,mode_b,bound_ref,pval_v11,sig_v11,pval_frac025,sig_frac025,preserved_sig
KR,cel+randN,local_sign+sample,0.016923423084470788,1.0,False,1.0,False,False
KR,cel+randN,real,0.016923423084470788,1.0,False,1.0,False,False
KR,cel+randN,shuffle,0.016923423084470788,1.0,False,1.0,False,False
KR,cel+randN,ws_p0.1+randN,0.016923423084470788,1.0,False,1.0,False,False
KR,celW+connShuf,cel_sample,0.016923423084470788,3.177053794323341e-23,True,3.233189369031759e-07,True,True
KR,celW+connShuf,conn_shuf_only,0.016923423084470788,4.9009872874424995e-21,True,1.8566745478330587e-05,True,True
KR,celW+connShuf,er+randN,0.016923423084470788,1.0,False,1.0,False,False
KR,celW+connShuf,global_sign_pres,0.016923423084470788,1.0,False,1.0,False,False
KR,celW+connShuf,local_sign,0.016923423084470788,1.0,False,1.0,False,False
KR,celW+connShuf,local_sign+binary,0.016923423084470788,1.0,False,1.0,False,False
KR,celW+connShuf,local_sign+flat,0.016923423084470788,1.0,False,1.0,False,False
KR,celW+connShuf,local_sign+sample,0.016923423084470788,0.0006278707209163127,True,0.013742458028512528,True,True
KR,celW+connShuf,real,0.016923423084470788,1.0,False,1.0,False,False
KR,celW+connShuf,shuffle,0.016923423084470788,1.6144558596782616e-26,True,1.3339043935642951e-05,True,True
KR,celW+connShuf,ws_p0.1+randN,0.016923423084470788,1.0,False,1.0,False,False
KR,cel_sample,conn_shuf_only,0.016923423084470788,5.861047416526013e-12,True,0.0003452834467214187,True,True
KR,cel_sample,er+randN,0.016923423084470788,1.0,False,1.0,False,False
KR,cel_sample,global_sign_pres,0.016923423084470788,1.0,False,1.0,False,False
KR,cel_sample,local_sign,0.016923423084470788,1.0,False,1.0,False,False
KR,cel_sample,local_sign+binary,0.016923423084470788,1.0,False,1.0,False,False
KR,cel_sample,local_sign+flat,0.016923423084470788,1.0,False,1.0,False,False
KR,cel_sample,local_sign+sample,0.016923423084470788,1.653390586981802e-07,True,0.0024881919994408567,True,True
KR,cel_sample,real,0.016923423084470788,1.0,False,1.0,False,False
KR,cel_sample,shuffle,0.016923423084470788,8.588998975135462e-28,True,1.038515959077225e-06,True,True
KR,cel_sample,ws_p0.1+randN,0.016923423084470788,1.0,False,1.0,False,False
KR,conn_shuf_only,er+randN,0.016923423084470788,1.0,False,1.0,False,False
KR,conn_shuf_only,global_sign_pres,0.016923423084470788,1.0,False,1.0,False,False
KR,conn_shuf_only,local_sign,0.016923423084470788,1.0,False,1.0,False,False
KR,conn_shuf_only,local_sign+binary,0.016923423084470788,1.0,False,1.0,False,False
KR,conn_shuf_only,local_sign+flat,0.016923423084470788,1.0,False,1.0,False,False
KR,conn_shuf_only,local_sign+sample,0.016923423084470788,0.2020291365553442,False,0.1533524170118727,False,False
KR,conn_shuf_only,real,0.016923423084470788,1.0,False,1.0,False,False
KR,conn_shuf_only,shuffle,0.016923423084470788,7.779780169244875e-14,True,0.0027927519884930014,True,True
KR,conn_shuf_only,ws_p0.1+randN,0.016923423084470788,1.0,False,1.0,False,False
KR,er+randN,global_sign_pres,0.016923423084470788,1.0,False,1.0,False,False
