t,input_u,avg_network_signal,legendre_p2_even,legendre_p3_odd,readout_p2,readout_p3
1.700000000000000000e+01,9.976097345352172852e-01,-7.678900845348834991e-03,9.939489364624023438e-01,9.879162311553955078e-01,9.369521737098693848e-01,9.801391363143920898e-01
1.800000000000000000e+01,6.347893476486206055e-01,6.552265491336584091e-03,1.003328710794448853e-01,-3.159644901752471924e-01,1.211095005273818970e-01,-3.027582168579101562e-01
1.900000000000000000e+01,-6.912337541580200195e-01,1.259669288992881775e-02,2.405488342046737671e-01,1.867272406816482544e-01,2.424507141113281250e-01,1.861842274665832520e-01
2.000000000000000000e+01,3.912426233291625977e-01,2.108253305777907372e-03,-2.748979032039642334e-01,-4.357435703277587891e-01,-1.927480250597000122e-01,-4.485626816749572754e-01
2.100000000000000000e+01,7.551676034927368164e-01,6.885226350277662277e-03,3.524311482906341553e-01,-5.976615846157073975e-02,3.705483078956604004e-01,-5.778633058071136475e-02
2.200000000000000000e+01,9.996148347854614258e-01,1.568742282688617706e-02,1.000000000000000000e+00,1.000000000000000000e+00,9.363836050033569336e-01,9.911538362503051758e-01
2.300000000000000000e+01,8.743948936462402344e-01,2.233685553073883057e-02,6.455700397491455078e-01,3.576756417751312256e-01,6.807403564453125000e-01,3.776409626007080078e-01
2.400000000000000000e+01,7.747538089752197266e-01,2.631073631346225739e-02,3.976187109947204590e-01,-3.070160979405045509e-03,4.929929971694946289e-01,-2.494922280311584473e-02
2.500000000000000000e+01,-2.292592525482177734e-01,3.193315863609313965e-02,-4.154320061206817627e-01,3.226962089538574219e-01,-4.435693025588989258e-01,3.197104930877685547e-01
2.600000000000000000e+01,-3.509416580200195312e-01,1.896772719919681549e-02,-3.056295514106750488e-01,4.233455657958984375e-01,-3.012308776378631592e-01,4.214054048061370850e-01
2.700000000000000000e+01,8.210488557815551758e-01,9.534446522593498230e-03,5.090649724006652832e-01,1.490898132324218750e-01,3.766593933105468750e-01,1.517581939697265625e-01
2.800000000000000000e+01,5.603796243667602539e-01,1.811454631388187408e-02,-3.345201164484024048e-02,-4.028954207897186279e-01,-6.347645819187164307e-02,-4.046058654785156250e-01
2.900000000000000000e+01,-6.017789840698242188e-01,2.078560367226600647e-02,6.284250319004058838e-02,3.442146778106689453e-01,8.173079788684844971e-02,3.464256525039672852e-01
3.000000000000000000e+01,8.990172147750854492e-01,1.129397749900817871e-02,7.114951014518737793e-01,4.665682017803192139e-01,7.912115454673767090e-01,4.692569375038146973e-01
3.100000000000000000e+01,4.831585884094238281e-01,1.920249126851558685e-02,-1.544820219278335571e-01,-4.435329735279083252e-01,-2.148990631103515625e-01,-4.432967901229858398e-01
3.200000000000000000e+01,5.451354980468750000e-01,2.480462379753589630e-02,-5.878152698278427124e-02,-4.147017896175384521e-01,1.284050941467285156e-02,-4.132305979728698730e-01
3.300000000000000000e+01,-6.267763376235961914e-01,2.265138179063796997e-02,1.100502461194992065e-01,3.081829845905303955e-01,1.073850467801094055e-01,3.120156526565551758e-01
3.400000000000000000e+01,2.868998050689697266e-01,1.031284034252166748e-02,-3.804466426372528076e-01,-3.672207593917846680e-01,-4.310342967510223389e-01,-3.566131889820098877e-01
3.500000000000000000e+01,-3.505624532699584961e-01,1.057568099349737167e-02,-3.060416579246520996e-01,4.231435060501098633e-01,-3.470783233642578125e-01,4.211263656616210938e-01
3.600000000000000000e+01,7.813565731048583984e-01,6.954389158636331558e-03,4.131149351596832275e-01,1.705422438681125641e-02,5.275889635086059570e-01,1.690641045570373535e-02
3.700000000000000000e+01,-1.799405813217163086e-01,1.666263118386268616e-02,-4.471083581447601318e-01,2.651157677173614502e-01,-3.602339625358581543e-01,2.638317346572875977e-01
3.800000000000000000e+01,3.893125057220458984e-01,1.319627184420824051e-02,-2.771509885787963867e-01,-4.350047409534454346e-01,-3.037889897823333740e-01,-4.344338178634643555e-01
3.900000000000000000e+01,1.776218414306640625e-01,1.827467046678066254e-02,-4.554814696311950684e-01,-2.456315755844116211e-01,-5.024209022521972656e-01,-2.398746311664581299e-01
4.000000000000000000e+01,4.254682064056396484e-01,1.970844902098178864e-02,-2.330634593963623047e-01,-4.450967013835906982e-01,-2.306363284587860107e-01,-4.448308944702148438e-01
4.100000000000000000e+01,-3.398275375366210938e-01,2.150942198932170868e-02,-3.175276815891265869e-01,4.171001017093658447e-01,-3.384189307689666748e-01,4.077649712562561035e-01
4.200000000000000000e+01,4.875713586807250977e-01,1.268741581588983536e-02,-1.480544805526733398e-01,-4.424503743648529053e-01,-1.651073396205902100e-01,-4.434721171855926514e-01
4.300000000000000000e+01,-6.984709501266479492e-01,1.185542345046997070e-02,2.559901177883148193e-01,1.703936904668807983e-01,2.748260498046875000e-01,1.619114875793457031e-01
4.400000000000000000e+01,2.258549928665161133e-01,2.247222000733017921e-03,-4.268409311771392822e-01,-3.043400943279266357e-01,-3.677130937576293945e-01,-3.106553256511688232e-01
4.500000000000000000e+01,-6.765918731689453125e-01,2.335260622203350067e-03,2.097958326339721680e-01,2.180669456720352173e-01,2.615513801574707031e-01,2.186059355735778809e-01
4.600000000000000000e+01,-9.865375757217407227e-01,-6.557745393365621567e-03,1.000000000000000000e+00,-1.000000000000000000e+00,7.693581581115722656e-01,-9.839926958084106445e-01
4.700000000000000000e+01,-8.030557632446289062e-01,-1.595496572554111481e-02,4.969218373298645020e-01,-1.316907554864883423e-01,4.622745513916015625e-01,-1.330472826957702637e-01
4.800000000000000000e+01,7.894700765609741211e-01,-1.554913632571697235e-02,4.323382377624511719e-01,4.249192401766777039e-02,4.993843436241149902e-01,5.290031433105468750e-02
4.900000000000000000e+01,5.410356521606445312e-01,-7.269295019796118140e-05,-6.547299772500991821e-02,-4.175476133823394775e-01,3.110170364379882812e-04,-4.390479326248168945e-01
5.000000000000000000e+01,9.382157325744628906e-01,1.098522171378135681e-02,8.202523589134216309e-01,6.571155786514282227e-01,6.322383284568786621e-01,6.601480841636657715e-01
5.100000000000000000e+01,8.011212348937988281e-01,1.864868961274623871e-02,4.602940082550048828e-01,8.040428906679153442e-02,2.621784210205078125e-01,9.561324119567871094e-02
5.200000000000000000e+01,-8.930454254150390625e-01,1.594123803079128265e-02,7.308626174926757812e-01,-4.995231628417968750e-01,-2.890695631504058838e-01,-5.169619321823120117e-01
5.300000000000000000e+01,-6.824311017990112305e-01,1.164981731562875211e-04,2.219820171594619751e-01,2.058401852846145630e-01,1.522276848554611206e-01,2.124636024236679077e-01
5.400000000000000000e+01,-1.615825891494750977e-01,-1.499418448656797409e-02,-4.570096433162689209e-01,2.418100386857986450e-01,9.679547697305679321e-02,2.299483269453048706e-01
5.500000000000000000e+01,-6.494323015213012695e-01,-1.412360742688179016e-02,1.544783413410186768e-01,2.702966034412384033e-01,-3.021068572998046875e-01,3.352177739143371582e-01
5.600000000000000000e+01,6.943964958190917969e-01,-1.343895029276609421e-02,2.196536362171173096e-01,-2.081959396600723267e-01,-1.463916897773742676e-01,-1.879088580608367920e-01
5.700000000000000000e+01,-7.560077905654907227e-01,-4.154462832957506180e-03,3.844202458858489990e-01,1.993854157626628876e-02,-2.204155623912811279e-01,6.843790411949157715e-02
5.800000000000000000e+01,-4.879014492034912109e-01,-1.169568020850419998e-02,-1.281622499227523804e-01,4.382755458354949951e-01,2.290633469820022583e-01,4.494343101978302002e-01
5.900000000000000000e+01,-9.660913944244384766e-01,-1.715345680713653564e-02,9.388696551322937012e-01,-8.796249032020568848e-01,-1.135248184204101562e+00,-7.810677289962768555e-01
6.000000000000000000e+01,-5.677455663681030273e-01,-2.488826029002666473e-02,1.625772914849221706e-03,3.839584887027740479e-01,9.120474755764007568e-02,3.682932853698730469e-01
6.100000000000000000e+01,8.224774599075317383e-01,-1.957562938332557678e-02,5.126079320907592773e-01,1.542029827833175659e-01,-2.049167454242706299e-02,2.723639011383056641e-01
6.200000000000000000e+01,8.187600374221801758e-01,-2.640055958181619644e-03,5.034021139144897461e-01,1.409516334533691406e-01,-6.020448803901672363e-01,2.142432332038879395e-01
6.300000000000000000e+01,7.158377170562744141e-01,1.035393215715885162e-02,2.652175128459930420e-01,-1.604460626840591431e-01,-4.247303009033203125e-01,-1.554377079010009766e-01
