model,seed,rho_target,leak,input_scale,order,ipc_contrib
cel,7,0.95,0.8,1.0,7,0.001325368881225586
cel,7,0.95,0.8,1.0,8,0.0
cel,7,0.95,0.8,1.0,9,0.0
cel,7,0.95,0.8,1.0,10,0.0
er,7,0.95,0.8,1.0,1,4.888523995876312
er,7,0.95,0.8,1.0,2,5.799531936645508e-05
er,7,0.95,0.8,1.0,3,2.034955084323883
er,7,0.95,0.8,1.0,4,0.0
er,7,0.95,0.8,1.0,5,0.0
er,7,0.95,0.8,1.0,6,0.0002753734588623047
er,7,0.95,0.8,1.0,7,0.0001519322395324707
er,7,0.95,0.8,1.0,8,0.0
er,7,0.95,0.8,1.0,9,0.000280916690826416
er,7,0.95,0.8,1.0,10,0.0
cel,8,0.95,0.8,1.0,1,1.9939555525779724
cel,8,0.95,0.8,1.0,2,0.003898322582244873
cel,8,0.95,0.8,1.0,3,0.4822266101837158
cel,8,0.95,0.8,1.0,4,0.00010061264038085938
cel,8,0.95,0.8,1.0,5,0.04134047031402588
cel,8,0.95,0.8,1.0,6,0.0
cel,8,0.95,0.8,1.0,7,0.008454442024230957
cel,8,0.95,0.8,1.0,8,0.0018532276153564453
cel,8,0.95,0.8,1.0,9,0.0
cel,8,0.95,0.8,1.0,10,0.0
er,8,0.95,0.8,1.0,1,5.431752502918243
er,8,0.95,0.8,1.0,2,9.79304313659668e-05
er,8,0.95,0.8,1.0,3,2.1236205101013184
er,8,0.95,0.8,1.0,4,1.0132789611816406e-06
er,8,0.95,0.8,1.0,5,0.00024896860122680664
er,8,0.95,0.8,1.0,6,0.0
er,8,0.95,0.8,1.0,7,0.0
er,8,0.95,0.8,1.0,8,0.0
er,8,0.95,0.8,1.0,9,0.0001805424690246582
er,8,0.95,0.8,1.0,10,3.129243850708008e-05
cel,9,0.95,0.8,1.0,1,1.8272151947021484
cel,9,0.95,0.8,1.0,2,0.0008886456489562988
cel,9,0.95,0.8,1.0,3,0.0
cel,9,0.95,0.8,1.0,4,3.814697265625e-06
cel,9,0.95,0.8,1.0,5,0.0
cel,9,0.95,0.8,1.0,6,0.0
cel,9,0.95,0.8,1.0,7,0.004096627235412598
cel,9,0.95,0.8,1.0,8,0.0
cel,9,0.95,0.8,1.0,9,0.0023443102836608887
cel,9,0.95,0.8,1.0,10,0.0
er,9,0.95,0.8,1.0,1,5.053399205207825
er,9,0.95,0.8,1.0,2,0.0
er,9,0.95,0.8,1.0,3,1.033826231956482
er,9,0.95,0.8,1.0,4,2.2649765014648438e-06
er,9,0.95,0.8,1.0,5,1.0848045349121094e-05
er,9,0.95,0.8,1.0,6,8.940696716308594e-07
er,9,0.95,0.8,1.0,7,0.0001348257064819336
er,9,0.95,0.8,1.0,8,0.0
er,9,0.95,0.8,1.0,9,0.00013643503189086914
er,9,0.95,0.8,1.0,10,0.0
cel,10,0.95,0.8,1.0,1,1.9737942218780518
cel,10,0.95,0.8,1.0,2,0.0
cel,10,0.95,0.8,1.0,3,0.46092575788497925
cel,10,0.95,0.8,1.0,4,4.2557716369628906e-05
cel,10,0.95,0.8,1.0,5,0.002575218677520752
cel,10,0.95,0.8,1.0,6,0.0
cel,10,0.95,0.8,1.0,7,0.0
cel,10,0.95,0.8,1.0,8,0.019472599029541016
cel,10,0.95,0.8,1.0,9,0.0
cel,10,0.95,0.8,1.0,10,0.009550333023071289
er,10,0.95,0.8,1.0,1,5.025737404823303
er,10,0.95,0.8,1.0,2,0.0
er,10,0.95,0.8,1.0,3,1.2515095472335815
er,10,0.95,0.8,1.0,4,0.0
er,10,0.95,0.8,1.0,5,5.7220458984375e-05
er,10,0.95,0.8,1.0,6,0.0
er,10,0.95,0.8,1.0,7,0.0003185868263244629
er,10,0.95,0.8,1.0,8,0.0
er,10,0.95,0.8,1.0,9,0.00023871660232543945
er,10,0.95,0.8,1.0,10,0.0
cel,11,0.95,0.8,1.0,1,2.3038524389266968
cel,11,0.95,0.8,1.0,2,3.635883331298828e-06
cel,11,0.95,0.8,1.0,3,1.3879303932189941
cel,11,0.95,0.8,1.0,4,0.00010520219802856445
cel,11,0.95,0.8,1.0,5,0.5500831007957458
cel,11,0.95,0.8,1.0,6,0.0
cel,11,0.95,0.8,1.0,7,0.0
cel,11,0.95,0.8,1.0,8,0.0005598068237304688
cel,11,0.95,0.8,1.0,9,0.00100785493850708
cel,11,0.95,0.8,1.0,10,0.0
er,11,0.95,0.8,1.0,1,4.257385969161987
er,11,0.95,0.8,1.0,2,0.0
er,11,0.95,0.8,1.0,3,0.9772518873214722
er,11,0.95,0.8,1.0,4,0.0
er,11,0.95,0.8,1.0,5,0.0
er,11,0.95,0.8,1.0,6,0.0005939602851867676
er,11,0.95,0.8,1.0,7,0.0
er,11,0.95,0.8,1.0,8,0.0
er,11,0.95,0.8,1.0,9,0.0002657175064086914
er,11,0.95,0.8,1.0,10,0.0001487135887145996
cel,12,0.95,0.8,1.0,1,3.4760700464248657
cel,12,0.95,0.8,1.0,2,0.11335772275924683
cel,12,0.95,0.8,1.0,3,1.8522961139678955
cel,12,0.95,0.8,1.0,4,2.0265579223632812e-06
cel,12,0.95,0.8,1.0,5,0.6866496205329895
cel,12,0.95,0.8,1.0,6,0.0
cel,12,0.95,0.8,1.0,7,0.0
cel,12,0.95,0.8,1.0,8,0.015640854835510254
cel,12,0.95,0.8,1.0,9,0.0
cel,12,0.95,0.8,1.0,10,0.0022798776626586914
er,12,0.95,0.8,1.0,1,5.807164251804352
er,12,0.95,0.8,1.0,2,0.0
er,12,0.95,0.8,1.0,3,2.0426498651504517
er,12,0.95,0.8,1.0,4,0.0
er,12,0.95,0.8,1.0,5,0.00011706352233886719
er,12,0.95,0.8,1.0,6,0.0
er,12,0.95,0.8,1.0,7,5.513429641723633e-05
er,12,0.95,0.8,1.0,8,0.0
er,12,0.95,0.8,1.0,9,0.0001538395881652832
er,12,0.95,0.8,1.0,10,0.0
cel,13,0.95,0.8,1.0,1,2.946439266204834
cel,13,0.95,0.8,1.0,2,0.0015217065811157227
cel,13,0.95,0.8,1.0,3,0.8183206915855408
cel,13,0.95,0.8,1.0,4,0.0
cel,13,0.95,0.8,1.0,5,0.24587762355804443
cel,13,0.95,0.8,1.0,6,0.0
cel,13,0.95,0.8,1.0,7,0.0020834803581237793
cel,13,0.95,0.8,1.0,8,0.010206460952758789
cel,13,0.95,0.8,1.0,9,0.0
cel,13,0.95,0.8,1.0,10,0.0
er,13,0.95,0.8,1.0,1,5.153041899204254
er,13,0.95,0.8,1.0,2,0.0001354813575744629
er,13,0.95,0.8,1.0,3,1.584608554840088
er,13,0.95,0.8,1.0,4,0.0
er,13,0.95,0.8,1.0,5,0.0
er,13,0.95,0.8,1.0,6,0.00010991096496582031
er,13,0.95,0.8,1.0,7,0.0
er,13,0.95,0.8,1.0,8,0.00020116567611694336
er,13,0.95,0.8,1.0,9,0.0
er,13,0.95,0.8,1.0,10,0.00013625621795654297
cel,14,0.95,0.8,1.0,1,2.5601271390914917
cel,14,0.95,0.8,1.0,2,0.0015932321548461914
cel,14,0.95,0.8,1.0,3,1.468106746673584
cel,14,0.95,0.8,1.0,4,9.256601333618164e-05
cel,14,0.95,0.8,1.0,5,0.0
cel,14,0.95,0.8,1.0,6,0.0002919435501098633
cel,14,0.95,0.8,1.0,7,0.0
cel,14,0.95,0.8,1.0,8,0.01064908504486084
cel,14,0.95,0.8,1.0,9,0.0
cel,14,0.95,0.8,1.0,10,0.004332125186920166
er,14,0.95,0.8,1.0,1,5.083475828170776
er,14,0.95,0.8,1.0,2,0.0
er,14,0.95,0.8,1.0,3,1.5808822512626648
er,14,0.95,0.8,1.0,4,3.5762786865234375e-07
er,14,0.95,0.8,1.0,5,0.0
er,14,0.95,0.8,1.0,6,7.516145706176758e-05
er,14,0.95,0.8,1.0,7,1.5020370483398438e-05
er,14,0.95,0.8,1.0,8,0.0
er,14,0.95,0.8,1.0,9,3.8683414459228516e-05
er,14,0.95,0.8,1.0,10,5.364418029785156e-07
cel,15,0.95,0.8,1.0,1,3.4186479449272156
cel,15,0.95,0.8,1.0,2,0.0011820793151855469
cel,15,0.95,0.8,1.0,3,1.6553482413291931
cel,15,0.95,0.8,1.0,4,0.0
cel,15,0.95,0.8,1.0,5,0.3107801675796509
cel,15,0.95,0.8,1.0,6,0.0005027055740356445
cel,15,0.95,0.8,1.0,7,0.05242025852203369
cel,15,0.95,0.8,1.0,8,0.033519446849823
cel,15,0.95,0.8,1.0,9,0.0017983317375183105
cel,15,0.95,0.8,1.0,10,0.0
er,15,0.95,0.8,1.0,1,4.756623804569244
er,15,0.95,0.8,1.0,2,0.000253140926361084
er,15,0.95,0.8,1.0,3,1.6097455024719238
er,15,0.95,0.8,1.0,4,0.0
er,15,0.95,0.8,1.0,5,0.0
er,15,0.95,0.8,1.0,6,0.0
er,15,0.95,0.8,1.0,7,8.922815322875977e-05
er,15,0.95,0.8,1.0,8,0.00021445751190185547
er,15,0.95,0.8,1.0,9,0.0
er,15,0.95,0.8,1.0,10,0.0
cel,16,0.95,0.8,1.0,1,1.983199954032898
cel,16,0.95,0.8,1.0,2,0.0
cel,16,0.95,0.8,1.0,3,1.4136559963226318
cel,16,0.95,0.8,1.0,4,0.0
cel,16,0.95,0.8,1.0,5,0.18784946203231812
cel,16,0.95,0.8,1.0,6,8.7738037109375e-05
cel,16,0.95,0.8,1.0,7,0.00015985965728759766
cel,16,0.95,0.8,1.0,8,0.0
cel,16,0.95,0.8,1.0,9,0.00020742416381835938
cel,16,0.95,0.8,1.0,10,0.0
er,16,0.95,0.8,1.0,1,5.611269593238831
er,16,0.95,0.8,1.0,2,0.0
er,16,0.95,0.8,1.0,3,1.4379764795303345
er,16,0.95,0.8,1.0,4,0.0
er,16,0.95,0.8,1.0,5,3.0100345611572266e-05
er,16,0.95,0.8,1.0,6,0.0
er,16,0.95,0.8,1.0,7,0.0002790689468383789
er,16,0.95,0.8,1.0,8,0.0
er,16,0.95,0.8,1.0,9,0.00021463632583618164
er,16,0.95,0.8,1.0,10,0.0
cel,17,0.95,0.8,1.0,1,3.7182512283325195
cel,17,0.95,0.8,1.0,2,0.0002243518829345703
cel,17,0.95,0.8,1.0,3,1.1223841905593872
cel,17,0.95,0.8,1.0,4,4.363059997558594e-05
cel,17,0.95,0.8,1.0,5,0.0
cel,17,0.95,0.8,1.0,6,0.0
cel,17,0.95,0.8,1.0,7,0.0
cel,17,0.95,0.8,1.0,8,0.0013374686241149902
cel,17,0.95,0.8,1.0,9,0.0
cel,17,0.95,0.8,1.0,10,0.0
er,17,0.95,0.8,1.0,1,5.26097846031189
er,17,0.95,0.8,1.0,2,2.0503997802734375e-05
er,17,0.95,0.8,1.0,3,1.9001513123512268
er,17,0.95,0.8,1.0,4,0.0
er,17,0.95,0.8,1.0,5,0.0
er,17,0.95,0.8,1.0,6,0.0
er,17,0.95,0.8,1.0,7,0.0
er,17,0.95,0.8,1.0,8,0.0001519322395324707
er,17,0.95,0.8,1.0,9,0.0
er,17,0.95,0.8,1.0,10,0.0001266002655029297
cel,18,0.95,0.8,1.0,1,2.144208788871765
cel,18,0.95,0.8,1.0,2,0.0
cel,18,0.95,0.8,1.0,3,1.5792139768600464
cel,18,0.95,0.8,1.0,4,0.0
cel,18,0.95,0.8,1.0,5,0.5793790817260742
cel,18,0.95,0.8,1.0,6,0.0
cel,18,0.95,0.8,1.0,7,0.0006570816040039062
cel,18,0.95,0.8,1.0,8,0.0
cel,18,0.95,0.8,1.0,9,0.0008391141891479492
cel,18,0.95,0.8,1.0,10,0.03427773714065552
er,18,0.95,0.8,1.0,1,4.630884528160095
er,18,0.95,0.8,1.0,2,0.00010180473327636719
er,18,0.95,0.8,1.0,3,1.5732449889183044
er,18,0.95,0.8,1.0,4,5.066394805908203e-06
er,18,0.95,0.8,1.0,5,5.8710575103759766e-05
er,18,0.95,0.8,1.0,6,0.0
er,18,0.95,0.8,1.0,7,0.00044989585876464844
er,18,0.95,0.8,1.0,8,0.0
er,18,0.95,0.8,1.0,9,0.00010204315185546875
er,18,0.95,0.8,1.0,10,0.0
cel,19,0.95,0.8,1.0,1,2.694666087627411
cel,19,0.95,0.8,1.0,2,0.0
cel,19,0.95,0.8,1.0,3,1.5970905423164368
cel,19,0.95,0.8,1.0,4,0.0
cel,19,0.95,0.8,1.0,5,0.0
cel,19,0.95,0.8,1.0,6,0.0
cel,19,0.95,0.8,1.0,7,0.0016213059425354004
cel,19,0.95,0.8,1.0,8,0.0
cel,19,0.95,0.8,1.0,9,0.0015965700149536133
cel,19,0.95,0.8,1.0,10,0.0
er,19,0.95,0.8,1.0,1,5.261269152164459
er,19,0.95,0.8,1.0,2,0.0
er,19,0.95,0.8,1.0,3,1.4062439799308777
er,19,0.95,0.8,1.0,4,0.0
er,19,0.95,0.8,1.0,5,8.14199447631836e-05
er,19,0.95,0.8,1.0,6,0.00016957521438598633
er,19,0.95,0.8,1.0,7,0.0
er,19,0.95,0.8,1.0,8,1.1742115020751953e-05
er,19,0.95,0.8,1.0,9,0.0
er,19,0.95,0.8,1.0,10,0.0002651810646057129
cel,20,0.95,0.8,1.0,1,3.0348403453826904
cel,20,0.95,0.8,1.0,2,0.0008090734481811523
cel,20,0.95,0.8,1.0,3,0.372714638710022
cel,20,0.95,0.8,1.0,4,0.0
cel,20,0.95,0.8,1.0,5,0.01143568754196167
cel,20,0.95,0.8,1.0,6,0.0
cel,20,0.95,0.8,1.0,7,0.0
cel,20,0.95,0.8,1.0,8,0.0
cel,20,0.95,0.8,1.0,9,0.021908879280090332
cel,20,0.95,0.8,1.0,10,0.0
er,20,0.95,0.8,1.0,1,5.69232451915741
er,20,0.95,0.8,1.0,2,0.0
er,20,0.95,0.8,1.0,3,1.8210882544517517
er,20,0.95,0.8,1.0,4,2.205371856689453e-06
er,20,0.95,0.8,1.0,5,2.8967857360839844e-05
er,20,0.95,0.8,1.0,6,0.0
er,20,0.95,0.8,1.0,7,0.0
er,20,0.95,0.8,1.0,8,1.9311904907226562e-05
er,20,0.95,0.8,1.0,9,9.715557098388672e-06
er,20,0.95,0.8,1.0,10,0.0
cel,21,0.95,0.8,1.0,1,2.0730966925621033
cel,21,0.95,0.8,1.0,2,0.0
cel,21,0.95,0.8,1.0,3,0.9281530380249023
cel,21,0.95,0.8,1.0,4,5.841255187988281e-06
cel,21,0.95,0.8,1.0,5,0.5266076922416687
cel,21,0.95,0.8,1.0,6,0.0
cel,21,0.95,0.8,1.0,7,0.050635457038879395
cel,21,0.95,0.8,1.0,8,0.004307448863983154
