model,seed,rho_target,leak,input_scale,order,ipc_contrib
local_sign+sample,2,0.95,0.8,1.0,5,0.0
local_sign+sample,2,0.95,0.8,1.0,6,0.00045418739318847656
local_sign+sample,2,0.95,0.8,1.0,7,0.0
local_sign+sample,2,0.95,0.8,1.0,8,0.0004608631134033203
local_sign+sample,2,0.95,0.8,1.0,9,0.0
local_sign+sample,2,0.95,0.8,1.0,10,0.00035762786865234375
local_sign+binary,2,0.95,0.8,1.0,1,2.2096575498580933
local_sign+binary,2,0.95,0.8,1.0,2,0.0
local_sign+binary,2,0.95,0.8,1.0,3,0.2526295781135559
local_sign+binary,2,0.95,0.8,1.0,4,0.0
local_sign+binary,2,0.95,0.8,1.0,5,0.07376712560653687
local_sign+binary,2,0.95,0.8,1.0,6,0.01609933376312256
local_sign+binary,2,0.95,0.8,1.0,7,0.0
local_sign+binary,2,0.95,0.8,1.0,8,0.0
local_sign+binary,2,0.95,0.8,1.0,9,0.018944203853607178
local_sign+binary,2,0.95,0.8,1.0,10,0.002502262592315674
global_sign_pres,2,0.95,0.8,1.0,1,2.476884365081787
global_sign_pres,2,0.95,0.8,1.0,2,0.0
global_sign_pres,2,0.95,0.8,1.0,3,0.0
global_sign_pres,2,0.95,0.8,1.0,4,2.9385089874267578e-05
global_sign_pres,2,0.95,0.8,1.0,5,0.0
global_sign_pres,2,0.95,0.8,1.0,6,0.00046646595001220703
global_sign_pres,2,0.95,0.8,1.0,7,0.0
global_sign_pres,2,0.95,0.8,1.0,8,3.057718276977539e-05
global_sign_pres,2,0.95,0.8,1.0,9,0.0
global_sign_pres,2,0.95,0.8,1.0,10,0.0004534721374511719
binary+shuffle,2,0.95,0.8,1.0,1,2.6448628902435303
binary+shuffle,2,0.95,0.8,1.0,2,0.0
binary+shuffle,2,0.95,0.8,1.0,3,0.8641260266304016
binary+shuffle,2,0.95,0.8,1.0,4,0.0
binary+shuffle,2,0.95,0.8,1.0,5,0.7696114182472229
binary+shuffle,2,0.95,0.8,1.0,6,0.0078810453414917
binary+shuffle,2,0.95,0.8,1.0,7,0.0
binary+shuffle,2,0.95,0.8,1.0,8,0.0
binary+shuffle,2,0.95,0.8,1.0,9,0.006852388381958008
binary+shuffle,2,0.95,0.8,1.0,10,0.0014487504959106445
real,3,0.95,0.8,1.0,1,1.344635546207428
real,3,0.95,0.8,1.0,2,0.0
real,3,0.95,0.8,1.0,3,0.9452663064002991
real,3,0.95,0.8,1.0,4,0.0001760721206665039
real,3,0.95,0.8,1.0,5,0.6303567290306091
real,3,0.95,0.8,1.0,6,0.0
real,3,0.95,0.8,1.0,7,0.0
real,3,0.95,0.8,1.0,8,0.0016672015190124512
real,3,0.95,0.8,1.0,9,0.0
real,3,0.95,0.8,1.0,10,0.0007515549659729004
shuffle_weights,3,0.95,0.8,1.0,1,2.9500616788864136
shuffle_weights,3,0.95,0.8,1.0,2,0.0
shuffle_weights,3,0.95,0.8,1.0,3,0.0
shuffle_weights,3,0.95,0.8,1.0,4,1.4185905456542969e-05
shuffle_weights,3,0.95,0.8,1.0,5,0.005857110023498535
shuffle_weights,3,0.95,0.8,1.0,6,0.0
shuffle_weights,3,0.95,0.8,1.0,7,0.0
shuffle_weights,3,0.95,0.8,1.0,8,0.03504073619842529
shuffle_weights,3,0.95,0.8,1.0,9,0.0
shuffle_weights,3,0.95,0.8,1.0,10,0.011216938495635986
cel_randN,3,0.95,0.8,1.0,1,7.68426376581192
cel_randN,3,0.95,0.8,1.0,2,0.0015375018119812012
cel_randN,3,0.95,0.8,1.0,3,3.4037851691246033
cel_randN,3,0.95,0.8,1.0,4,0.0
cel_randN,3,0.95,0.8,1.0,5,0.8195272088050842
cel_randN,3,0.95,0.8,1.0,6,0.0
cel_randN,3,0.95,0.8,1.0,7,0.00043392181396484375
cel_randN,3,0.95,0.8,1.0,8,0.0009642839431762695
cel_randN,3,0.95,0.8,1.0,9,0.0
cel_randN,3,0.95,0.8,1.0,10,2.9802322387695312e-05
er_randN,3,0.95,0.8,1.0,1,8.763276100158691
er_randN,3,0.95,0.8,1.0,2,0.0
er_randN,3,0.95,0.8,1.0,3,4.329576849937439
er_randN,3,0.95,0.8,1.0,4,1.1920928955078125e-06
er_randN,3,0.95,0.8,1.0,5,0.8689144253730774
er_randN,3,0.95,0.8,1.0,6,0.0
er_randN,3,0.95,0.8,1.0,7,0.00048339366912841797
er_randN,3,0.95,0.8,1.0,8,1.3113021850585938e-06
