mode,shuffle_id,rho_target,leak,input_scale,MC,IPC,KR,GR,mean,src
weight_test5.0,0,1.05,1.0,1.0,4.717360019683838,6.57474958896637,4.68457555770874,9.132031440734863,0.0024085596669465303,chunk_0
weight_test5.0,0,1.05,1.0,1.5,3.053330898284912,4.516239047050476,5.339462757110596,11.698038101196289,0.0023243252653628588,chunk_0
weight_test10.0,0,0.6,0.6,0.1,4.462564468383789,4.81556361913681,1.5231859683990479,1.5774482488632202,0.001341143622994423,chunk_0
weight_test10.0,0,0.6,0.6,0.5,3.708765983581543,4.965077698230743,1.8867751359939575,2.415220260620117,0.0013530321884900331,chunk_0
weight_test10.0,0,0.6,0.6,1.0,2.6625046730041504,4.05557107925415,2.1383190155029297,3.3127548694610596,0.0013542526867240667,chunk_0
weight_test10.0,0,0.6,0.6,1.5,2.758236885070801,4.100811064243317,2.2935869693756104,4.090981483459473,0.001404269365593791,chunk_0
weight_test10.0,0,0.6,0.8,0.1,4.757843971252441,5.192971885204315,1.6565775871276855,1.7176011800765991,0.0013616340002045035,chunk_0
weight_test10.0,0,0.6,0.8,0.5,4.0819549560546875,5.871651291847229,1.9863232374191284,2.5862529277801514,0.0013774276012554765,chunk_0
weight_test10.0,0,0.6,0.8,1.0,1.9868638515472412,3.0246500968933105,2.2102935314178467,3.58808970451355,0.001386052928864956,chunk_0
weight_test10.0,0,0.6,0.8,1.5,2.423837184906006,3.85191810131073,2.4085986614227295,4.120182991027832,0.0013052071444690228,chunk_0
weight_test10.0,0,0.6,1.0,0.1,5.1565165519714355,5.87466561794281,1.6754318475723267,1.7441699504852295,0.001384036149829626,chunk_0
weight_test10.0,0,0.6,1.0,0.5,4.905435085296631,6.5002554059028625,2.15720534324646,2.969106674194336,0.0013610811438411474,chunk_0
weight_test10.0,0,0.6,1.0,1.0,3.1620917320251465,5.610556662082672,2.5000901222229004,4.241581439971924,0.0013588174479082227,chunk_0
weight_test10.0,0,0.6,1.0,1.5,3.640312433242798,5.600753128528595,2.6557562351226807,4.805393218994141,0.0013464819639921188,chunk_0
weight_test10.0,0,0.8,0.6,0.1,5.177986145019531,5.641133487224579,2.186878204345703,2.2419402599334717,0.0018182152416557074,chunk_0
weight_test10.0,0,0.8,0.6,0.5,4.826754093170166,6.882955968379974,2.0590217113494873,2.808608293533325,0.0018601925112307072,chunk_0
weight_test10.0,0,0.8,0.6,1.0,2.360595703125,2.9392492175102234,2.9597864151000977,4.720034122467041,0.001846900093369186,chunk_0
weight_test10.0,0,0.8,0.6,1.5,2.2503678798675537,2.47149521112442,2.867351531982422,5.170549392700195,0.0017646343912929296,chunk_0
weight_test10.0,0,0.8,0.8,0.1,5.99342679977417,6.736283898353577,2.0416908264160156,2.132845640182495,0.0018746508285403252,chunk_0
weight_test10.0,0,0.8,0.8,0.5,4.771320343017578,7.570108115673065,2.0609583854675293,2.685420513153076,0.0018259650096297264,chunk_0
weight_test10.0,0,0.8,0.8,1.0,2.3714280128479004,4.561696529388428,2.833115577697754,5.027652740478516,0.00182740215677768,chunk_0
weight_test10.0,0,0.8,0.8,1.5,1.780998706817627,2.894059658050537,3.104775905609131,6.189576625823975,0.001842277473770082,chunk_0
weight_test10.0,0,0.8,1.0,0.1,6.520013332366943,7.468688905239105,2.3406989574432373,2.426374673843384,0.0018911544466391206,chunk_0
weight_test10.0,0,0.8,1.0,0.5,4.801955699920654,7.369176149368286,2.7354001998901367,3.902839183807373,0.0018451249925419688,chunk_0
weight_test10.0,0,0.8,1.0,1.0,4.491734027862549,5.675280272960663,3.0261616706848145,5.395172119140625,0.0018895342946052551,chunk_0
weight_test10.0,0,0.8,1.0,1.5,2.463146686553955,4.347913026809692,3.5678279399871826,7.229300498962402,0.0018475031247362494,chunk_0
weight_test10.0,0,0.95,0.6,0.1,5.522968292236328,5.810413300991058,2.514537811279297,2.658273220062256,0.002246270654723048,chunk_0
weight_test10.0,0,0.95,0.6,0.5,5.114203453063965,7.681602418422699,2.495894432067871,3.3848729133605957,0.0021391233894973993,chunk_0
weight_test10.0,0,0.95,0.6,1.0,3.1207516193389893,3.4961617588996887,3.4385221004486084,5.828116416931152,0.0022473104763776064,chunk_0
weight_test10.0,0,0.95,0.6,1.5,2.363879442214966,2.983788251876831,3.140073537826538,5.670537948608398,0.0021992113906890154,chunk_0
weight_test10.0,0,0.95,0.8,0.1,7.077139854431152,7.588648855686188,2.3544821739196777,2.4145700931549072,0.002176399575546384,chunk_0
weight_test10.0,0,0.95,0.8,0.5,4.645341873168945,6.934886336326599,3.8324906826019287,5.523195743560791,0.0022718857508152723,chunk_0
