mode,shuffle_id,rho_target,leak,input_scale,MC,IPC,KR,GR,src
local_sign+sample,178,0.6,0.8,1.5,1.965890645980835,2.828901529312134,3.0624749660491943,5.833014011383057,chunk_7
local_sign+sample,178,0.6,1.0,0.1,5.93085241317749,6.833997905254364,2.0941991806030273,2.175295829772949,chunk_7
local_sign+sample,178,0.6,1.0,0.5,5.840224266052246,8.509489297866821,3.109926223754883,4.601617336273193,chunk_7
local_sign+sample,178,0.6,1.0,1.0,4.206778526306152,5.693779170513153,3.001800298690796,5.100989818572998,chunk_7
local_sign+sample,178,0.6,1.0,1.5,2.9476075172424316,4.636250197887421,3.36612868309021,6.242955207824707,chunk_7
local_sign+sample,178,0.8,0.6,0.1,6.854869842529297,6.9254056215286255,2.099731683731079,2.1675519943237305,chunk_7
local_sign+sample,178,0.8,0.6,0.5,4.6918768882751465,7.362514436244965,2.5945820808410645,3.68566632270813,chunk_7
local_sign+sample,178,0.8,0.6,1.0,2.1609253883361816,2.5191200971603394,3.6172549724578857,6.450356483459473,chunk_7
local_sign+sample,178,0.8,0.6,1.5,2.2823939323425293,2.667474925518036,3.981823444366455,7.740037441253662,chunk_7
local_sign+sample,178,0.8,0.8,0.1,7.334167957305908,8.078048944473267,2.4730138778686523,2.5764453411102295,chunk_7
local_sign+sample,178,0.8,0.8,0.5,6.0455546379089355,8.160710453987122,3.4665603637695312,5.076715469360352,chunk_7
local_sign+sample,178,0.8,0.8,1.0,3.8632214069366455,5.142417669296265,3.6291518211364746,6.6238694190979,chunk_7
local_sign+sample,178,0.8,0.8,1.5,2.581078052520752,4.086349606513977,4.279402732849121,8.78149127960205,chunk_7
local_sign+sample,178,0.8,1.0,0.1,7.852871894836426,8.993146121501923,2.6623711585998535,2.767465114593506,chunk_7
local_sign+sample,178,0.8,1.0,0.5,6.011582851409912,7.27542370557785,3.5164005756378174,5.173220634460449,chunk_7
local_sign+sample,178,0.8,1.0,1.0,3.933041572570801,6.265846371650696,4.770023822784424,8.632256507873535,chunk_7
local_sign+sample,178,0.8,1.0,1.5,4.422297954559326,5.755337417125702,4.49169397354126,9.481229782104492,chunk_7
local_sign+sample,178,0.95,0.6,0.1,5.867827415466309,7.023535668849945,2.1298937797546387,2.2280654907226562,chunk_7
local_sign+sample,178,0.95,0.6,0.5,4.149045944213867,6.33567351102829,4.035538673400879,5.858138561248779,chunk_7
local_sign+sample,178,0.95,0.6,1.0,2.7303807735443115,4.0887632966041565,3.8656671047210693,6.728358268737793,chunk_7
local_sign+sample,178,0.95,0.6,1.5,1.7130340337753296,1.7577791213989258,4.514828681945801,8.748273849487305,chunk_7
local_sign+sample,178,0.95,0.8,0.1,7.722735404968262,8.749308407306671,3.387965440750122,3.6117148399353027,chunk_7
local_sign+sample,178,0.95,0.8,0.5,5.893846035003662,8.641683638095856,4.884848594665527,7.336992263793945,chunk_7
local_sign+sample,178,0.95,0.8,1.0,3.5824546813964844,5.182763457298279,5.466774940490723,10.905208587646484,chunk_7
local_sign+sample,178,0.95,0.8,1.5,2.5307810306549072,4.04279637336731,5.743892192840576,12.45044231414795,chunk_7
local_sign+sample,178,0.95,1.0,0.1,9.712503433227539,11.603217601776123,3.9288041591644287,4.2466559410095215,chunk_7
local_sign+sample,178,0.95,1.0,0.5,5.794663429260254,9.36466097831726,3.9525108337402344,6.2405548095703125,chunk_7
local_sign+sample,178,0.95,1.0,1.0,2.9533305168151855,2.959248661994934,6.060686111450195,12.226903915405273,chunk_7
local_sign+sample,178,0.95,1.0,1.5,4.39774227142334,5.524819731712341,6.724280834197998,15.986112594604492,chunk_7
local_sign+sample,178,1.05,0.6,0.1,5.791642189025879,7.3739349246025085,3.7188267707824707,4.1855363845825195,chunk_7
local_sign+sample,178,1.05,0.6,0.5,5.318175315856934,7.86504191160202,4.745187282562256,7.0580973625183105,chunk_7
