normalization,sign_frac,raw_rho,raw_rho_std,raw_rho_n,raw_rho_sem,ref_rho,ref_rho_std,ref_rho_n,ref_rho_sem,post_rho,post_rho_std,post_rho_n,post_rho_sem,raw_fro,raw_fro_std,raw_fro_n,raw_fro_sem,ref_fro,ref_fro_std,ref_fro_n,ref_fro_sem,post_fro,post_fro_std,post_fro_n,post_fro_sem,scale_factor,scale_factor_std,scale_factor_n,scale_factor_sem
original_radius,0.9,60.364446563720705,9.028166326078937,50,1.276775526170091,67.6279525756836,0.0,50,0.0,0.8925961971282959,0.13349745886774123,50,0.018879391687310405,407.9043884277344,0.0,50,0.0,407.9043884277344,0.0,50,0.0,6.031594753265381,0.0,50,0.0,0.0147867850779732,0.0,50,0.0
original_radius,1.0,73.5141372680664,0.0,50,0.0,67.6279525756836,0.0,50,0.0,1.0870357751846311,0.0,50,0.0,407.9043884277344,0.0,50,0.0,407.9043884277344,0.0,50,0.0,6.031594753265381,0.0,50,0.0,0.0147867850779732,0.0,50,0.0
spectral_radius,0.0,73.51416778564453,0.0,50,0.0,67.6279525756836,0.0,50,0.0,0.999999701976776,0.0,50,0.0,407.9043884277344,0.0,50,0.0,407.9043884277344,0.0,50,0.0,5.54865026473999,0.0,50,0.0,0.013602820111027198,0.0,50,0.0
spectral_radius,0.1,57.38257965087891,9.466586806655632,50,1.3387775451354604,67.6279525756836,0.0,50,0.0,0.9999998331069946,1.078545300179087e-06,50,1.5252933911470257e-07,407.9043884277344,0.0,50,0.0,407.9043884277344,0.0,50,0.0,7.320739536285401,1.3277384539247414,50,0.1877705728824654,0.01794719415436567,0.003255023618716813,50,0.00046032985474340674
spectral_radius,0.2,45.423218994140626,9.595567861029874,50,1.3570182207739838,67.6279525756836,0.0,50,0.0,0.9999999010562897,1.2611102667585954e-06,50,1.7834792428979572e-07,407.9043884277344,0.0,50,0.0,407.9043884277344,0.0,50,0.0,9.38099076271057,1.9941879471312127,50,0.28202076407539217,0.022998013269793328,0.004888861029118683,50,0.0006913893571936927
spectral_radius,0.2425287356321839,41.389587478637694,8.526845178358883,50,1.2058780095490764,67.6279525756836,0.0,50,0.0,0.999999715089798,1.2692867876033652e-06,50,1.795042589569657e-07,407.9043884277344,0.0,50,0.0,407.9043884277344,0.0,50,0.0,10.230031576156616,1.9168725193170209,50,0.27108671141584134,0.025079483439429374,0.004699318385307662,50,0.0006645839794411329
spectral_radius,0.3,39.50524162292481,6.919473253854318,50,0.9785612920078666,67.6279525756836,0.0,50,0.0,1.0000001108646392,1.2854477167722208e-06,50,1.8178975947808037e-07,407.9043884277344,0.0,50,0.0,407.9043884277344,0.0,50,0.0,10.62970495223999,1.8106247599641585,50,0.2560610091909843,0.02605930446920258,0.004438846122565712,50,0.0006277476387819655
spectral_radius,0.4,37.79464374542236,6.298941349431758,50,0.8908048284959077,67.6279525756836,0.0,50,0.0,0.9999996221065521,1.1633807862959282e-06,50,1.645268886183977e-07,407.9043884277344,0.0,50,0.0,407.9043884277344,0.0,50,0.0,11.076269435882569,1.7643970888602902,50,0.24952342924778292,0.027154081816719168,0.00432551603953794,50,0.0006117203447376911
spectral_radius,0.5,39.964569664001466,6.3616502847076415,50,0.8996732111708208,67.6279525756836,0.0,50,0.0,0.9999997246265412,1.1633359135123828e-06,50,1.6452054264849057e-07,407.9043884277344,0.0,50,0.0,407.9043884277344,0.0,50,0.0,10.4719508934021,1.7204565477973344,50,0.24330929833685852,0.025672561867307236,0.004217793602774984,50,0.0005964860916334861
spectral_radius,0.6,39.48475040435791,7.371079803833269,50,1.0424281027915423,67.6279525756836,0.0,50,0.0,0.9999996888637542,1.1901017755603322e-06,50,1.683058071601723e-07,407.9043884277344,0.0,50,0.0,407.9043884277344,0.0,50,0.0,10.688897256851197,1.9887602294891398,50,0.28125316888517704,0.026204417526222382,0.004875554940344573,50,0.0006895075920730441
