mode,shuffle_id,rho_target,leak,input_scale,MC,IPC,KR,GR,wt_mean,cosine_similaritysrc
weight_test0.0,38,0.8,0.6,1.5,1.98866605758667,2.6119757890701294,2.4865081310272217,4.30575704574585,0.001826643361710012,1.0000003576278687,chunk_14
weight_test0.0,38,0.8,0.8,0.1,5.722052097320557,6.161988198757172,1.807182788848877,1.8662025928497314,0.001826643361710012,1.0000003576278687,chunk_14
weight_test0.0,38,0.8,0.8,0.5,2.621009111404419,4.163547694683075,2.3345682621002197,3.032259941101074,0.001826643361710012,1.0000003576278687,chunk_14
weight_test0.0,38,0.8,0.8,1.0,2.4424972534179688,4.332300961017609,2.470158100128174,4.046558856964111,0.001826643361710012,1.0000003576278687,chunk_14
weight_test0.0,38,0.8,0.8,1.5,2.993492364883423,4.561868846416473,2.7759060859680176,5.242624759674072,0.001826643361710012,1.0000003576278687,chunk_14
weight_test0.0,38,0.8,1.0,0.1,6.1763505935668945,7.301837861537933,2.035494804382324,2.098367691040039,0.001826643361710012,1.0000003576278687,chunk_14
weight_test0.0,38,0.8,1.0,0.5,4.537172317504883,6.472542464733124,2.8352882862091064,3.9180538654327393,0.001826643361710012,1.0000003576278687,chunk_14
weight_test0.0,38,0.8,1.0,1.0,3.580662965774536,5.507516622543335,2.574699640274048,4.234703540802002,0.001826643361710012,1.0000003576278687,chunk_14
weight_test0.0,38,0.8,1.0,1.5,3.5089540481567383,4.626307725906372,3.053600311279297,5.929651737213135,0.001826643361710012,1.0000003576278687,chunk_14
weight_test0.0,38,0.95,0.6,0.1,5.391361236572266,5.674156367778778,2.508007526397705,2.514305353164673,0.002169138751924038,1.000000238418579,chunk_14
weight_test0.0,38,0.95,0.6,0.5,3.290832281112671,3.882496476173401,2.494189500808716,3.4865972995758057,0.002169138751924038,1.000000238418579,chunk_14
weight_test0.0,38,0.95,0.6,1.0,3.3449721336364746,4.6460612416267395,2.5970895290374756,4.210964202880859,0.002169138751924038,1.000000238418579,chunk_14
weight_test0.0,38,0.95,0.6,1.5,2.45590877532959,3.0760865211486816,2.7623291015625,5.125914573669434,0.002169138751924038,1.000000238418579,chunk_14
weight_test0.0,38,0.95,0.8,0.1,6.511227130889893,7.100833356380463,3.0119402408599854,3.1479923725128174,0.002169138751924038,1.000000238418579,chunk_14
weight_test0.0,38,0.95,0.8,0.5,4.177425861358643,5.53243625164032,3.3136446475982666,4.680404186248779,0.002169138751924038,1.000000238418579,chunk_14
weight_test0.0,38,0.95,0.8,1.0,2.2425577640533447,3.6754406094551086,2.555886745452881,4.483191013336182,0.002169138751924038,1.000000238418579,chunk_14
weight_test0.0,38,0.95,0.8,1.5,2.0891997814178467,4.236347913742065,3.038010597229004,5.708341598510742,0.002169138751924038,1.000000238418579,chunk_14
weight_test0.0,38,0.95,1.0,0.1,6.660297870635986,7.355852782726288,2.671917676925659,2.7715249061584473,0.002169138751924038,1.000000238418579,chunk_14
weight_test0.0,38,0.95,1.0,0.5,5.202038288116455,7.085729539394379,3.115588665008545,4.45745849609375,0.002169138751924038,1.000000238418579,chunk_14
weight_test0.0,38,0.95,1.0,1.0,3.980698823928833,5.383349299430847,4.0771989822387695,7.3555426597595215,0.002169138751924038,1.000000238418579,chunk_14
weight_test0.0,38,0.95,1.0,1.5,3.1401548385620117,5.397692263126373,3.4192700386047363,6.8813676834106445,0.002169138751924038,1.000000238418579,chunk_14
weight_test0.0,38,1.05,0.6,0.1,2.338825225830078,3.8442153930664062,2.0034873485565186,2.3513970375061035,0.0023974692448973656,1.0000003576278687,chunk_14
weight_test0.0,38,1.05,0.6,0.5,3.7705283164978027,6.033556878566742,3.042372465133667,4.187346935272217,0.0023974692448973656,1.0000003576278687,chunk_14
weight_test0.0,38,1.05,0.6,1.0,2.438171863555908,3.6594802737236023,2.982191801071167,4.932714462280273,0.0023974692448973656,1.0000003576278687,chunk_14
weight_test0.0,38,1.05,0.6,1.5,1.919750452041626,2.7261009216308594,2.9598324298858643,5.637068748474121,0.0023974692448973656,1.0000003576278687,chunk_14
weight_test0.0,38,1.05,0.8,0.1,3.6031575202941895,5.812945067882538,2.0616209506988525,2.366161584854126,0.0023974692448973656,1.0000003576278687,chunk_14
weight_test0.0,38,1.05,0.8,0.5,3.8985846042633057,4.8384621143341064,2.681680202484131,4.046302795410156,0.0023974692448973656,1.0000003576278687,chunk_14
weight_test0.0,38,1.05,0.8,1.0,2.8254504203796387,4.5230385065078735,3.3215746879577637,5.7721405029296875,0.0023974692448973656,1.0000003576278687,chunk_14
