config,model,seed,rho_target,leak,input_scale,washout,t_train,t_test,score,capture_pct_vs_baseline
baseline,global_sign_pres,8,0.6,1.0,0.5,500,1500,500,4.676051616668701,100.0
baseline,binary+shuffle,8,0.6,1.0,0.5,500,1500,500,4.86256742477417,100.0
baseline,real,8,0.6,1.0,1.0,500,1500,500,2.7798075675964355,100.0
baseline,shuffle_weights,8,0.6,1.0,1.0,500,1500,500,3.939701557159424,100.0
baseline,cel_randN,8,0.6,1.0,1.0,500,1500,500,3.618565559387207,100.0
baseline,er_randN,8,0.6,1.0,1.0,500,1500,500,8.591045379638672,100.0
baseline,ws_p01_randN,8,0.6,1.0,1.0,500,1500,500,8.805983543395996,100.0
baseline,conn_shuf,8,0.6,1.0,1.0,500,1500,500,3.9480152130126953,100.0
baseline,local_sign,8,0.6,1.0,1.0,500,1500,500,1.995355248451233,100.0
baseline,conn_shuf_only,8,0.6,1.0,1.0,500,1500,500,4.201798915863037,100.0
baseline,cel_sample,8,0.6,1.0,1.0,500,1500,500,4.187353134155273,100.0
baseline,local_sign+flat,8,0.6,1.0,1.0,500,1500,500,3.8538026809692383,100.0
baseline,local_sign+sample,8,0.6,1.0,1.0,500,1500,500,3.3343777656555176,100.0
baseline,local_sign+binary,8,0.6,1.0,1.0,500,1500,500,3.3302645683288574,100.0
baseline,global_sign_pres,8,0.6,1.0,1.0,500,1500,500,3.625929832458496,100.0
baseline,binary+shuffle,8,0.6,1.0,1.0,500,1500,500,3.070037603378296,100.0
baseline,real,8,0.6,1.0,1.5,500,1500,500,2.491293430328369,100.0
baseline,shuffle_weights,8,0.6,1.0,1.5,500,1500,500,3.733991861343384,100.0
baseline,cel_randN,8,0.6,1.0,1.5,500,1500,500,2.9728763103485107,100.0
baseline,er_randN,8,0.6,1.0,1.5,500,1500,500,7.146042823791504,100.0
baseline,ws_p01_randN,8,0.6,1.0,1.5,500,1500,500,7.282508850097656,100.0
baseline,conn_shuf,8,0.6,1.0,1.5,500,1500,500,3.6748385429382324,100.0
baseline,local_sign,8,0.6,1.0,1.5,500,1500,500,1.749419927597046,100.0
baseline,conn_shuf_only,8,0.6,1.0,1.5,500,1500,500,2.916274070739746,100.0
baseline,cel_sample,8,0.6,1.0,1.5,500,1500,500,2.9844272136688232,100.0
baseline,local_sign+flat,8,0.6,1.0,1.5,500,1500,500,1.9945793151855469,100.0
baseline,local_sign+sample,8,0.6,1.0,1.5,500,1500,500,2.894667387008667,100.0
baseline,local_sign+binary,8,0.6,1.0,1.5,500,1500,500,2.919889211654663,100.0
baseline,global_sign_pres,8,0.6,1.0,1.5,500,1500,500,3.2933831214904785,100.0
baseline,binary+shuffle,8,0.6,1.0,1.5,500,1500,500,2.8958451747894287,100.0
baseline,real,8,0.8,0.6,0.1,500,1500,500,5.425373554229736,100.0
baseline,shuffle_weights,8,0.8,0.6,0.1,500,1500,500,6.025246620178223,100.0
baseline,cel_randN,8,0.8,0.6,0.1,500,1500,500,10.519230842590332,100.0
baseline,er_randN,8,0.8,0.6,0.1,500,1500,500,12.133474349975586,100.0
baseline,ws_p01_randN,8,0.8,0.6,0.1,500,1500,500,11.974798202514648,100.0
baseline,conn_shuf,8,0.8,0.6,0.1,500,1500,500,6.085073947906494,100.0
baseline,local_sign,8,0.8,0.6,0.1,500,1500,500,5.107313632965088,100.0
baseline,conn_shuf_only,8,0.8,0.6,0.1,500,1500,500,6.609320640563965,100.0
baseline,cel_sample,8,0.8,0.6,0.1,500,1500,500,6.7790727615356445,100.0
baseline,local_sign+flat,8,0.8,0.6,0.1,500,1500,500,5.103976249694824,100.0
baseline,local_sign+sample,8,0.8,0.6,0.1,500,1500,500,5.692769527435303,100.0
baseline,local_sign+binary,8,0.8,0.6,0.1,500,1500,500,4.416601657867432,100.0
baseline,global_sign_pres,8,0.8,0.6,0.1,500,1500,500,5.135837078094482,100.0
baseline,binary+shuffle,8,0.8,0.6,0.1,500,1500,500,4.980160713195801,100.0
baseline,real,8,0.8,0.6,0.5,500,1500,500,2.419985055923462,100.0
baseline,shuffle_weights,8,0.8,0.6,0.5,500,1500,500,3.4807708263397217,100.0
baseline,cel_randN,8,0.8,0.6,0.5,500,1500,500,7.109964847564697,100.0
baseline,er_randN,8,0.8,0.6,0.5,500,1500,500,8.969212532043457,100.0
baseline,ws_p01_randN,8,0.8,0.6,0.5,500,1500,500,9.19951057434082,100.0
baseline,conn_shuf,8,0.8,0.6,0.5,500,1500,500,3.452266216278076,100.0
baseline,local_sign,8,0.8,0.6,0.5,500,1500,500,3.888228178024292,100.0
baseline,conn_shuf_only,8,0.8,0.6,0.5,500,1500,500,3.6943631172180176,100.0
