model,seed,rho_target,leak,input_scale,neuron_bias,capacity_threshold,order,parity,ipc_contrib
global_sign_pres_real_weight,0,0.95,0.8,1.0,0.0,0.005,8,even,0.0
global_sign_pres_real_weight,0,0.95,0.8,1.0,0.0,0.005,9,odd,0.11945804208517075
global_sign_pres_real_weight,0,0.95,0.8,1.0,0.0,0.005,10,even,0.005076404195278883
global_sign_pres_real_weight,0,0.95,0.8,1.0,0.0,0.01,1,odd,3.3425198681652546
global_sign_pres_real_weight,0,0.95,0.8,1.0,0.0,0.01,2,even,0.0
global_sign_pres_real_weight,0,0.95,0.8,1.0,0.0,0.01,3,odd,1.6083278059959412
global_sign_pres_real_weight,0,0.95,0.8,1.0,0.0,0.01,4,even,0.0
global_sign_pres_real_weight,0,0.95,0.8,1.0,0.0,0.01,5,odd,0.43895093351602554
global_sign_pres_real_weight,0,0.95,0.8,1.0,0.0,0.01,6,even,0.0
global_sign_pres_real_weight,0,0.95,0.8,1.0,0.0,0.01,7,odd,0.2699299491941929
global_sign_pres_real_weight,0,0.95,0.8,1.0,0.0,0.01,8,even,0.0
global_sign_pres_real_weight,0,0.95,0.8,1.0,0.0,0.01,9,odd,0.11945804208517075
global_sign_pres_real_weight,0,0.95,0.8,1.0,0.0,0.01,10,even,0.0
global_sign_pres_real_weight,0,0.95,0.8,1.0,0.1,0.0,1,odd,3.3439637383398377
global_sign_pres_real_weight,0,0.95,0.8,1.0,0.1,0.0,2,even,1.425591163827298
global_sign_pres_real_weight,0,0.95,0.8,1.0,0.1,0.0,3,odd,1.0964957522459793
global_sign_pres_real_weight,0,0.95,0.8,1.0,0.1,0.0,4,even,0.08448646527072867
global_sign_pres_real_weight,0,0.95,0.8,1.0,0.1,0.0,5,odd,0.11832280988630561
global_sign_pres_real_weight,0,0.95,0.8,1.0,0.1,0.0,6,even,0.06520267001741331
global_sign_pres_real_weight,0,0.95,0.8,1.0,0.1,0.0,7,odd,0.07239381430721181
global_sign_pres_real_weight,0,0.95,0.8,1.0,0.1,0.0,8,even,0.04719503063219577
global_sign_pres_real_weight,0,0.95,0.8,1.0,0.1,0.0,9,odd,0.04817849963376375
global_sign_pres_real_weight,0,0.95,0.8,1.0,0.1,0.0,10,even,0.054724214203361043
global_sign_pres_real_weight,0,0.95,0.8,1.0,0.1,0.001,1,odd,3.3333126103971153
global_sign_pres_real_weight,0,0.95,0.8,1.0,0.1,0.001,2,even,1.4086755125317723
global_sign_pres_real_weight,0,0.95,0.8,1.0,0.1,0.001,3,odd,1.0823233756236732
global_sign_pres_real_weight,0,0.95,0.8,1.0,0.1,0.001,4,even,0.06775833771098405
global_sign_pres_real_weight,0,0.95,0.8,1.0,0.1,0.001,5,odd,0.10367996443528682
global_sign_pres_real_weight,0,0.95,0.8,1.0,0.1,0.001,6,even,0.04561346583068371
global_sign_pres_real_weight,0,0.95,0.8,1.0,0.1,0.001,7,odd,0.05725279508624226
global_sign_pres_real_weight,0,0.95,0.8,1.0,0.1,0.001,8,even,0.02955441363155842
global_sign_pres_real_weight,0,0.95,0.8,1.0,0.1,0.001,9,odd,0.02888723136857152
global_sign_pres_real_weight,0,0.95,0.8,1.0,0.1,0.001,10,even,0.041196570615284145
global_sign_pres_real_weight,0,0.95,0.8,1.0,0.1,0.005,1,odd,3.3021519668400288
