run_index,shuffle_seed,unknown_sign_seed,edges,max_swaps,successful_swaps,successful_fraction,failed_swap_attempts,retained_edge_fraction,reached_max_swaps,hit_failed_attempt_limit,termination_reason,in_degree_preserved,out_degree_preserved,edge_count_preserved,diagonal_clear,weight_multiset_preserved
208,20812345,43812345,3604,1802,1801,0.9994450610432852,20000,0.04134295227524972,False,True,retry_limit_reached,True,True,True,True,True
209,20912345,43912345,3604,1802,1802,1.0,415,0.05216426193118757,True,False,all_edge_pairs_swapped,True,True,True,True,True
210,21012345,44012345,3604,1802,1801,0.9994450610432852,20000,0.04911209766925638,False,True,retry_limit_reached,True,True,True,True,True
211,21112345,44112345,3604,1802,1801,0.9994450610432852,20000,0.04911209766925638,False,True,retry_limit_reached,True,True,True,True,True
212,21212345,44212345,3604,1802,1802,1.0,380,0.04911209766925638,True,False,all_edge_pairs_swapped,True,True,True,True,True
213,21312345,44312345,3604,1802,1802,1.0,369,0.054106548279689234,True,False,all_edge_pairs_swapped,True,True,True,True,True
214,21412345,44412345,3604,1802,1801,0.9994450610432852,20000,0.05715871254162042,False,True,retry_limit_reached,True,True,True,True,True
215,21512345,44512345,3604,1802,1801,0.9994450610432852,20000,0.04855715871254162,False,True,retry_limit_reached,True,True,True,True,True
216,21612345,44612345,3604,1802,1801,0.9994450610432852,20000,0.04384017758046615,False,True,retry_limit_reached,True,True,True,True,True
217,21712345,44712345,3604,1802,1802,1.0,415,0.04439511653718091,True,False,all_edge_pairs_swapped,True,True,True,True,True
