model,seed,rho_target,leak,input_scale,neuron_bias,num_streams,prefix_length,common_tail_length,total_stream_length,gr_seed,GR
real,3,0.95,0.8,1.0,0.0,300,7,10,17,23000006,2.606619119644165
cel_randN,3,0.95,0.8,1.0,0.0,300,7,0,7,23000006,16.75029182434082
cel_randN,3,0.95,0.8,1.0,0.0,300,7,1,8,23000006,21.618715286254883
cel_randN,3,0.95,0.8,1.0,0.0,300,7,2,9,23000006,18.832609176635742
cel_randN,3,0.95,0.8,1.0,0.0,300,7,3,10,23000006,15.30040454864502
cel_randN,3,0.95,0.8,1.0,0.0,300,7,4,11,23000006,12.910846710205078
cel_randN,3,0.95,0.8,1.0,0.0,300,7,5,12,23000006,11.189809799194336
cel_randN,3,0.95,0.8,1.0,0.0,300,7,7,14,23000006,8.822694778442383
cel_randN,3,0.95,0.8,1.0,0.0,300,7,10,17,23000006,7.377174377441406
er_randN,3,0.95,0.8,1.0,0.0,300,7,0,7,23000006,26.003829956054688
er_randN,3,0.95,0.8,1.0,0.0,300,7,1,8,23000006,33.206451416015625
er_randN,3,0.95,0.8,1.0,0.0,300,7,2,9,23000006,29.283002853393555
er_randN,3,0.95,0.8,1.0,0.0,300,7,3,10,23000006,24.842321395874023
er_randN,3,0.95,0.8,1.0,0.0,300,7,4,11,23000006,21.47614288330078
er_randN,3,0.95,0.8,1.0,0.0,300,7,5,12,23000006,18.885343551635742
er_randN,3,0.95,0.8,1.0,0.0,300,7,7,14,23000006,14.425944328308105
er_randN,3,0.95,0.8,1.0,0.0,300,7,10,17,23000006,10.605345726013184
ws_p01_randN,3,0.95,0.8,1.0,0.0,300,7,0,7,23000006,24.67986488342285
ws_p01_randN,3,0.95,0.8,1.0,0.0,300,7,1,8,23000006,31.98887062072754
ws_p01_randN,3,0.95,0.8,1.0,0.0,300,7,2,9,23000006,28.938425064086914
ws_p01_randN,3,0.95,0.8,1.0,0.0,300,7,3,10,23000006,24.171567916870117
ws_p01_randN,3,0.95,0.8,1.0,0.0,300,7,4,11,23000006,20.85752296447754
ws_p01_randN,3,0.95,0.8,1.0,0.0,300,7,5,12,23000006,18.06292152404785
ws_p01_randN,3,0.95,0.8,1.0,0.0,300,7,7,14,23000006,13.863848686218262
ws_p01_randN,3,0.95,0.8,1.0,0.0,300,7,10,17,23000006,10.882048606872559
local_sign,3,0.95,0.8,1.0,0.0,300,7,0,7,23000006,16.199907302856445
local_sign,3,0.95,0.8,1.0,0.0,300,7,1,8,23000006,20.67315101623535
local_sign,3,0.95,0.8,1.0,0.0,300,7,2,9,23000006,17.214982986450195
local_sign,3,0.95,0.8,1.0,0.0,300,7,3,10,23000006,13.61181354522705
local_sign,3,0.95,0.8,1.0,0.0,300,7,4,11,23000006,10.751726150512695
local_sign,3,0.95,0.8,1.0,0.0,300,7,5,12,23000006,9.031120300292969
local_sign,3,0.95,0.8,1.0,0.0,300,7,7,14,23000006,6.761601448059082
local_sign,3,0.95,0.8,1.0,0.0,300,7,10,17,23000006,5.484959602355957
local_sign+flat,3,0.95,0.8,1.0,0.0,300,7,0,7,23000006,10.59501838684082
local_sign+flat,3,0.95,0.8,1.0,0.0,300,7,1,8,23000006,13.490126609802246
local_sign+flat,3,0.95,0.8,1.0,0.0,300,7,2,9,23000006,10.619906425476074
local_sign+flat,3,0.95,0.8,1.0,0.0,300,7,3,10,23000006,7.553719997406006
local_sign+flat,3,0.95,0.8,1.0,0.0,300,7,4,11,23000006,5.447994709014893
local_sign+flat,3,0.95,0.8,1.0,0.0,300,7,5,12,23000006,4.125943183898926
local_sign+flat,3,0.95,0.8,1.0,0.0,300,7,7,14,23000006,2.7052276134490967
local_sign+flat,3,0.95,0.8,1.0,0.0,300,7,10,17,23000006,1.9560760259628296
local_sign+binary,3,0.95,0.8,1.0,0.0,300,7,0,7,23000006,8.50416374206543
local_sign+binary,3,0.95,0.8,1.0,0.0,300,7,1,8,23000006,10.310084342956543
local_sign+binary,3,0.95,0.8,1.0,0.0,300,7,2,9,23000006,7.641295909881592
local_sign+binary,3,0.95,0.8,1.0,0.0,300,7,3,10,23000006,5.375859260559082
local_sign+binary,3,0.95,0.8,1.0,0.0,300,7,4,11,23000006,3.8709399700164795
local_sign+binary,3,0.95,0.8,1.0,0.0,300,7,5,12,23000006,3.03482723236084
local_sign+binary,3,0.95,0.8,1.0,0.0,300,7,7,14,23000006,2.028160810470581
local_sign+binary,3,0.95,0.8,1.0,0.0,300,7,10,17,23000006,1.5369082689285278
global_sign_pres_real_weight,3,0.95,0.8,1.0,0.0,300,7,0,7,23000006,12.04676342010498
global_sign_pres_real_weight,3,0.95,0.8,1.0,0.0,300,7,1,8,23000006,15.578935623168945
global_sign_pres_real_weight,3,0.95,0.8,1.0,0.0,300,7,2,9,23000006,12.96069622039795
global_sign_pres_real_weight,3,0.95,0.8,1.0,0.0,300,7,3,10,23000006,9.939805030822754
global_sign_pres_real_weight,3,0.95,0.8,1.0,0.0,300,7,4,11,23000006,7.509664535522461
global_sign_pres_real_weight,3,0.95,0.8,1.0,0.0,300,7,5,12,23000006,5.500633716583252
global_sign_pres_real_weight,3,0.95,0.8,1.0,0.0,300,7,7,14,23000006,4.33795166015625
global_sign_pres_real_weight,3,0.95,0.8,1.0,0.0,300,7,10,17,23000006,2.1824445724487305
binary_base,3,0.95,0.8,1.0,0.0,300,7,0,7,23000006,3.7484991550445557
binary_base,3,0.95,0.8,1.0,0.0,300,7,1,8,23000006,4.4856486320495605
binary_base,3,0.95,0.8,1.0,0.0,300,7,2,9,23000006,3.300034284591675
binary_base,3,0.95,0.8,1.0,0.0,300,7,3,10,23000006,2.3936784267425537
binary_base,3,0.95,0.8,1.0,0.0,300,7,4,11,23000006,1.8186825513839722
binary_base,3,0.95,0.8,1.0,0.0,300,7,5,12,23000006,1.5876095294952393
binary_base,3,0.95,0.8,1.0,0.0,300,7,7,14,23000006,1.3164081573486328
binary_base,3,0.95,0.8,1.0,0.0,300,7,10,17,23000006,1.2100105285644531
real,4,0.95,0.8,1.0,0.0,300,7,0,7,23000007,6.001662254333496
real,4,0.95,0.8,1.0,0.0,300,7,1,8,23000007,8.684303283691406
real,4,0.95,0.8,1.0,0.0,300,7,2,9,23000007,7.148443698883057
real,4,0.95,0.8,1.0,0.0,300,7,3,10,23000007,5.142089366912842
real,4,0.95,0.8,1.0,0.0,300,7,4,11,23000007,4.582542896270752
real,4,0.95,0.8,1.0,0.0,300,7,5,12,23000007,4.035845756530762
real,4,0.95,0.8,1.0,0.0,300,7,7,14,23000007,3.493955612182617
real,4,0.95,0.8,1.0,0.0,300,7,10,17,23000007,2.5405800342559814
cel_randN,4,0.95,0.8,1.0,0.0,300,7,0,7,23000007,16.60032844543457
cel_randN,4,0.95,0.8,1.0,0.0,300,7,1,8,23000007,22.710411071777344
cel_randN,4,0.95,0.8,1.0,0.0,300,7,2,9,23000007,20.602380752563477
cel_randN,4,0.95,0.8,1.0,0.0,300,7,3,10,23000007,18.11499786376953
cel_randN,4,0.95,0.8,1.0,0.0,300,7,4,11,23000007,15.662982940673828
cel_randN,4,0.95,0.8,1.0,0.0,300,7,5,12,23000007,13.010247230529785
cel_randN,4,0.95,0.8,1.0,0.0,300,7,7,14,23000007,9.678306579589844
