mode,shuffle_id,rho_target,leak,input_scale,MC,IPC,KR,GR
shuffle,0,0.8,1.0,0.5,4.786821365356445,6.838728427886963,5.212041854858398,8.444146156311035
shuffle,0,0.8,1.0,1.0,3.419581890106201,5.270453453063965,7.487654209136963,16.359594345092773
shuffle,0,0.8,1.0,1.5,4.782642364501953,6.542089939117432,7.631424427032471,19.225156784057617
shuffle,0,0.95,0.6,0.1,4.155106544494629,4.053948402404785,4.037133693695068,4.313607692718506
shuffle,0,0.95,0.6,0.5,2.117943286895752,2.1179134845733643,4.484354019165039,6.772483825683594
shuffle,0,0.95,0.6,1.0,1.0491998195648193,1.1630412340164185,6.020895957946777,11.929762840270996
shuffle,0,0.95,0.6,1.5,1.3792119026184082,2.2655887603759766,6.646815299987793,15.030487060546875
shuffle,0,0.95,0.8,0.1,5.6804118156433105,5.841368675231934,4.444878101348877,4.7320876121521
shuffle,0,0.95,0.8,0.5,3.940969467163086,3.8979053497314453,6.023983478546143,9.899866104125977
shuffle,0,0.95,0.8,1.0,4.4251017570495605,5.196642875671387,8.562387466430664,18.45182991027832
shuffle,0,0.95,0.8,1.5,3.1422486305236816,4.379148483276367,8.069945335388184,20.192739486694336
shuffle,0,0.95,1.0,0.1,8.415014266967773,9.132268905639648,5.344588279724121,5.826519012451172
shuffle,0,0.95,1.0,0.5,5.198544025421143,7.473249435424805,8.494718551635742,14.975647926330566
shuffle,0,0.95,1.0,1.0,3.864640235900879,5.781327724456787,10.84815502166748,24.28761863708496
shuffle,0,0.95,1.0,1.5,4.844468593597412,6.635374069213867,11.916027069091797,31.924467086791992
shuffle,0,1.05,0.6,0.1,2.799964666366577,4.111732006072998,5.194794654846191,6.289430618286133
shuffle,0,1.05,0.6,0.5,1.8874633312225342,1.8906382322311401,6.82889986038208,10.735404968261719
shuffle,0,1.05,0.6,1.0,0.35402828454971313,0.37788814306259155,7.517333507537842,15.395453453063965
shuffle,0,1.05,0.6,1.5,1.1607375144958496,1.1875975131988525,6.997442245483398,16.996122360229492
shuffle,0,1.05,0.8,0.1,4.738281726837158,4.911523818969727,5.953976631164551,7.079009056091309
shuffle,0,1.05,0.8,0.5,4.486247539520264,5.447556495666504,8.224011421203613,13.782116889953613
shuffle,0,1.05,0.8,1.0,4.167938709259033,4.472213268280029,9.357885360717773,20.657203674316406
shuffle,0,1.05,0.8,1.5,3.290414333343506,4.919498443603516,10.596148490905762,26.917652130126953
shuffle,0,1.05,1.0,0.1,6.865143299102783,9.961152076721191,8.059237480163574,10.078926086425781
shuffle,0,1.05,1.0,0.5,6.603407382965088,8.883127212524414,11.716448783874512,21.306135177612305
shuffle,0,1.05,1.0,1.0,3.8796446323394775,4.583990097045898,13.066365242004395,29.94219970703125
shuffle,0,1.05,1.0,1.5,4.794816493988037,5.868321418762207,14.700587272644043,39.187400817871094
shuffle,1,0.6,0.6,0.1,5.5463972091674805,7.224879264831543,2.1985251903533936,2.291348934173584
shuffle,1,0.6,0.6,0.5,1.9805257320404053,2.9194111824035645,2.7125306129455566,3.731903076171875
shuffle,1,0.6,0.6,1.0,1.7359973192214966,2.6020944118499756,3.074876308441162,5.397218704223633
shuffle,1,0.6,0.6,1.5,1.575465440750122,2.5445008277893066,3.513404130935669,7.143153667449951
shuffle,1,0.6,0.8,0.1,4.26131534576416,5.171107292175293,2.242410898208618,2.3517439365386963
shuffle,1,0.6,0.8,0.5,4.024386405944824,4.172362327575684,3.050557851791382,4.343256950378418
shuffle,1,0.6,0.8,1.0,2.955366849899292,3.8899168968200684,3.7214388847351074,6.821563720703125
shuffle,1,0.6,0.8,1.5,2.8539562225341797,4.136021614074707,3.8858871459960938,7.924219608306885
shuffle,1,0.6,1.0,0.1,6.382068634033203,7.106587886810303,2.5497004985809326,2.6521308422088623
shuffle,1,0.6,1.0,0.5,4.713052272796631,6.431249618530273,3.3471240997314453,4.960602760314941
shuffle,1,0.6,1.0,1.0,3.1702113151550293,5.210136413574219,4.315415859222412,8.234166145324707
shuffle,1,0.6,1.0,1.5,2.988675355911255,5.136765003204346,4.945402145385742,11.249571800231934
shuffle,1,0.8,0.6,0.1,5.376802921295166,6.345892429351807,2.6517412662506104,2.7946441173553467
shuffle,1,0.8,0.6,0.5,1.5188288688659668,1.9465326070785522,3.6978423595428467,5.481599807739258
shuffle,1,0.8,0.6,1.0,1.7996680736541748,3.110415458679199,4.3893537521362305,8.155399322509766
shuffle,1,0.8,0.6,1.5,1.0599918365478516,1.4366930723190308,4.682740211486816,10.335878372192383
shuffle,1,0.8,0.8,0.1,5.012020111083984,5.169988632202148,3.219773292541504,3.3807265758514404
shuffle,1,0.8,0.8,0.5,3.498598575592041,4.483976364135742,4.164058685302734,6.470808982849121
shuffle,1,0.8,0.8,1.0,3.561209201812744,4.726577281951904,4.684676647186279,9.391624450683594
shuffle,1,0.8,0.8,1.5,2.9497056007385254,3.9832472801208496,5.224438667297363,11.678369522094727
shuffle,1,0.8,1.0,0.1,7.322308540344238,8.881851196289062,3.505615711212158,3.736668586730957
shuffle,1,0.8,1.0,0.5,5.620149612426758,7.666203498840332,5.808487415313721,9.88941764831543
shuffle,1,0.8,1.0,1.0,3.3931703567504883,4.359249591827393,6.162741661071777,12.857489585876465
shuffle,1,0.8,1.0,1.5,3.694912910461426,5.297708034515381,6.721309661865234,16.197717666625977
shuffle,1,0.95,0.6,0.1,3.12593936920166,3.082482099533081,3.874753713607788,4.094232082366943
shuffle,1,0.95,0.6,0.5,3.3799643516540527,4.271679878234863,4.386074542999268,6.777847766876221
shuffle,1,0.95,0.6,1.0,1.8330326080322266,1.9513226747512817,6.330453395843506,13.359095573425293
shuffle,1,0.95,0.6,1.5,1.8216650485992432,2.1431632041931152,6.058027267456055,14.047682762145996
shuffle,1,0.95,0.8,0.1,5.426923751831055,6.034185886383057,4.241252422332764,4.48917293548584
shuffle,1,0.95,0.8,0.5,4.685789585113525,5.540141582489014,6.350180149078369,10.468827247619629
shuffle,1,0.95,0.8,1.0,3.925366163253784,3.9194862842559814,7.044055461883545,15.350730895996094
shuffle,1,0.95,0.8,1.5,2.8577489852905273,2.900317668914795,7.7565155029296875,19.245830535888672
shuffle,1,0.95,1.0,0.1,7.663707733154297,7.666790008544922,4.621370315551758,5.094350814819336
shuffle,1,0.95,1.0,0.5,4.192197799682617,6.5165205001831055,7.517526626586914,13.274994850158691
shuffle,1,0.95,1.0,1.0,5.501226902008057,8.181012153625488,9.400103569030762,21.332067489624023
shuffle,1,0.95,1.0,1.5,4.537904739379883,5.994889736175537,11.093463897705078,27.657678604125977
shuffle,1,1.05,0.6,0.1,3.563392400741577,4.793081760406494,4.069095611572266,4.9030070304870605
shuffle,1,1.05,0.6,0.5,1.9952991008758545,1.9863026142120361,6.323019981384277,9.956414222717285
shuffle,1,1.05,0.6,1.0,1.992302656173706,2.725524425506592,7.839824676513672,16.215023040771484
shuffle,1,1.05,0.6,1.5,1.2940951585769653,1.4350225925445557,7.6616129875183105,17.873512268066406
shuffle,1,1.05,0.8,0.1,5.4063215255737305,7.916506767272949,5.8098530769348145,7.026362895965576
shuffle,1,1.05,0.8,0.5,4.509652137756348,4.891605377197266,7.68587064743042,12.504841804504395
shuffle,1,1.05,0.8,1.0,3.335988759994507,3.4200735092163086,9.4716215133667,20.52659034729004
shuffle,1,1.05,0.8,1.5,2.477865219116211,3.941143751144409,8.845114707946777,22.27667999267578
shuffle,1,1.05,1.0,0.1,6.80319881439209,11.012782096862793,6.318601608276367,7.581960678100586
shuffle,1,1.05,1.0,0.5,5.410418510437012,6.360468864440918,12.317243576049805,22.55422592163086
shuffle,1,1.05,1.0,1.0,6.775976181030273,7.8746466636657715,12.48735237121582,29.42513656616211
shuffle,1,1.05,1.0,1.5,3.67138671875,6.138076305389404,13.957385063171387,35.407127380371094
