mode,series_kind,metric,raw_rho,raw_rho_sd,performance,performance_sd,cv,cv_sd,n_groups,n_hparams,series,series_key,color,marker,normalization,sign_frac,dataset
global_sign_pres,shuffle,GR,8.590193328857422,0.308820002318291,8.842944308264801,0.9276362922764251,0.6205444785327314,0.019302761568066585,200,96.0,PM1 controls,PM1 controls,#009e73,D,,,
global_sign_pres,shuffle,IPC,8.590193328857422,0.308820002318291,8.499000972627359,0.6141146142362676,0.30470621827177813,0.021614839502851552,200,96.0,PM1 controls,PM1 controls,#009e73,D,,,
global_sign_pres,shuffle,KR,8.590193328857422,0.308820002318291,4.780758766314636,0.45048385606443136,0.41259988231926537,0.021703458762428064,200,96.0,PM1 controls,PM1 controls,#009e73,D,,,
global_sign_pres,shuffle,MC,8.590193328857422,0.308820002318291,4.868401052234694,0.2668662220640243,0.3690115135388728,0.025151544416823088,200,96.0,PM1 controls,PM1 controls,#009e73,D,,,
local_sign+binary,shuffle,GR,6.787183783054352,0.4695355817153915,14.620760443937034,2.763382673681075,0.7065783307576082,0.02537600419448637,200,96.0,PM1 controls,PM1 controls,#009e73,D,,,
local_sign+binary,shuffle,IPC,6.787183783054352,0.4695355817153915,9.95171355261844,0.958432352563893,0.36040918689407114,0.023227177209420448,200,96.0,PM1 controls,PM1 controls,#009e73,D,,,
local_sign+binary,shuffle,KR,6.787183783054352,0.4695355817153915,7.433403828715285,1.2741023956176236,0.5236069373798545,0.038651702847865024,200,96.0,PM1 controls,PM1 controls,#009e73,D,,,
local_sign+binary,shuffle,MC,6.787183783054352,0.4695355817153915,5.825792153583219,0.442545365711869,0.41859129690094865,0.03132099307023821,200,96.0,PM1 controls,PM1 controls,#009e73,D,,,
celW+connShuf,shuffle,GR,48.790896835327146,3.490464970054904,17.474974433680373,3.324741945551505,0.7295834530416317,0.019274411909128538,200,96.0,C. elegans shuffle controls,C. elegans shuffle controls,#0072b2,^,,,
celW+connShuf,shuffle,IPC,48.790896835327146,3.490464970054904,11.263139629013553,1.1590174222844107,0.37244430704452874,0.025357249932250022,200,96.0,C. elegans shuffle controls,C. elegans shuffle controls,#0072b2,^,,,
celW+connShuf,shuffle,KR,48.790896835327146,3.490464970054904,8.697108769019446,1.5952861652827317,0.5626393945659647,0.03395601358520572,200,96.0,C. elegans shuffle controls,C. elegans shuffle controls,#0072b2,^,,,
celW+connShuf,shuffle,MC,48.790896835327146,3.490464970054904,6.597778938716898,0.613116190874468,0.44480888503599786,0.030758304361686147,200,96.0,C. elegans shuffle controls,C. elegans shuffle controls,#0072b2,^,,,
conn_shuf_only,shuffle,GR,44.224466381073,4.860958473778801,22.144385181826852,6.05704558871985,0.7381135329743297,0.0220018156671613,200,96.0,C. elegans shuffle controls,C. elegans shuffle controls,#0072b2,^,,,
conn_shuf_only,shuffle,IPC,44.224466381073,4.860958473778801,11.904961106474234,1.3095887681248888,0.37167244265180777,0.03129349863335976,200,96.0,C. elegans shuffle controls,C. elegans shuffle controls,#0072b2,^,,,
conn_shuf_only,shuffle,KR,44.224466381073,4.860958473778801,10.953271325218182,2.9744803998380474,0.5982320424369908,0.046911558210492636,200,96.0,C. elegans shuffle controls,C. elegans shuffle controls,#0072b2,^,,,
conn_shuf_only,shuffle,MC,44.224466381073,4.860958473778801,7.081974897241841,0.7992594987310312,0.45491381884455484,0.03868183772088471,200,96.0,C. elegans shuffle controls,C. elegans shuffle controls,#0072b2,^,,,
real,shuffle,GR,68.21870128631592,2.709734197414889,9.37726298669974,0.9701453570321593,0.5817136503642799,0.016097053019641223,200,96.0,C. elegans shuffle controls,C. elegans shuffle controls,#0072b2,^,,,
real,shuffle,IPC,68.21870128631592,2.709734197414889,8.985029059053462,0.5234958722599631,0.28634147757244593,0.025095377630536035,200,96.0,C. elegans shuffle controls,C. elegans shuffle controls,#0072b2,^,,,
real,shuffle,KR,68.21870128631592,2.709734197414889,5.258548982584228,0.48949281062048244,0.3985422827566271,0.01763098735905849,200,96.0,C. elegans shuffle controls,C. elegans shuffle controls,#0072b2,^,,,
real,shuffle,MC,68.21870128631592,2.709734197414889,5.441410247214759,0.2976328967459635,0.3828534283362292,0.03426964806122774,200,96.0,C. elegans shuffle controls,C. elegans shuffle controls,#0072b2,^,,,
shuffle,shuffle,GR,49.02570676803589,3.866937385024224,17.38248132556056,3.363883689567307,0.7171503417068078,0.022074001597880293,200,96.0,C. elegans shuffle controls,C. elegans shuffle controls,#0072b2,^,,,
shuffle,shuffle,IPC,49.02570676803589,3.866937385024224,10.975132950715103,1.0976216609185714,0.3638149725083561,0.025890113319928687,200,96.0,C. elegans shuffle controls,C. elegans shuffle controls,#0072b2,^,,,
shuffle,shuffle,KR,49.02570676803589,3.866937385024224,8.700173189702133,1.6106576578101688,0.5531936170764535,0.03868504021764256,200,96.0,C. elegans shuffle controls,C. elegans shuffle controls,#0072b2,^,,,
shuffle,shuffle,MC,49.02570676803589,3.866937385024224,6.451877048658207,0.5654769166729567,0.44177282196633816,0.03250279557902899,200,96.0,C. elegans shuffle controls,C. elegans shuffle controls,#0072b2,^,,,
sign_test_og_cel0.0__norm_spectral_radius,sign_sweep,GR,100.5592269897461,0.0,6.075815597524246,0.6190138001147811,0.4912672619184459,0.014511017494658177,100,96.0,Matched C. elegans sweep,Matched C. elegans sweep,#d55e00,o,spectral_radius,0.0,Matched C. elegans sweep
