mode,metric,mean_v11,n_groups_v11,mean_frac025,n_groups_frac025,delta,pct_delta,drop_from_a_to_b,pct_drop_from_a_to_b
local_sign+binary,IPC,0.3122265519944162,500.0,0.2948017088657455,100,-0.017424843128670653,-5.5808332178559485,0.017424843128670653,5.5808332178559485
local_sign+flat,IPC,0.32982854106366866,500.0,0.30840199121459577,100,-0.021426549849072885,-6.496269176698325,0.021426549849072885,6.496269176698325
local_sign+sample,IPC,0.36910054866161346,500.0,0.31933102461815244,100,-0.04976952404346102,-13.48400164235168,0.04976952404346102,13.48400164235168
real,IPC,0.32724645869695085,500.0,0.27488965162200524,100,-0.05235680707494561,-15.999197449965697,0.05235680707494561,15.999197449965697
shuffle,IPC,0.3755015366171186,500.0,0.3207051255141573,100,-0.054796411102961295,-14.592859351953768,0.054796411102961295,14.592859351953768
ws_p0.1+randN,IPC,0.49819739773967936,500.0,0.5785092294807062,100,0.0803118317410268,16.120483989960892,-0.0803118317410268,-16.120483989960892
binary+shuffle,KR,,,0.2579473704398347,100,,,,
cel+randN,KR,0.6836553822907963,500.0,0.6603617160575788,100,-0.02329366623321749,-3.4072234105968633,0.02329366623321749,3.4072234105968633
celW+connShuf,KR,0.35370033160620595,500.0,0.34461001470767877,100,-0.009090316898527184,-2.5700617404701602,0.009090316898527184,2.5700617404701602
cel_sample,KR,0.35052991737758316,500.0,0.3424125864310963,100,-0.008117330946486867,-2.315731281145699,0.008117330946486867,2.315731281145699
conn_shuf_only,KR,0.356855418389458,500.0,0.3480146304013285,100,-0.008840787988129484,-2.4774145305203112,0.008840787988129484,2.4774145305203112
er+randN,KR,0.7877562021556744,500.0,0.764747212862205,100,-0.023008989293469395,-2.920826168109612,0.023008989293469395,2.920826168109612
global_sign_pres,KR,0.26618384847832416,500.0,0.26097830177059245,100,-0.005205546707731712,-1.955620800243862,0.005205546707731712,1.955620800243862
local_sign,KR,0.30227209845375264,500.0,0.2907092887418993,100,-0.011562809711853361,-3.8252983887702294,0.011562809711853361,3.8252983887702294
local_sign+binary,KR,0.2601323490494241,500.0,0.25263992962814275,100,-0.007492419421281371,-2.8802336382461378,0.007492419421281371,2.8802336382461378
local_sign+flat,KR,0.2835100355204439,500.0,0.2762799461464964,100,-0.007230089373947479,-2.5502058015953786,0.007230089373947479,2.5502058015953786
local_sign+sample,KR,0.34123283297143475,500.0,0.33473861884030653,100,-0.0064942141311282175,-1.903162153119029,0.0064942141311282175,1.903162153119029
real,KR,0.26275500348975567,500.0,0.2610748120173084,100,-0.0016801914724472455,-0.639451751681963,0.0016801914724472455,0.639451751681963
shuffle,KR,0.35130399791516975,500.0,0.34067978235472685,100,-0.010624215560442907,-3.0242227880960133,0.010624215560442907,3.0242227880960133
ws_p0.1+randN,KR,0.8006179305816721,500.0,0.7778969080822197,100,-0.022721022499452403,-2.837935753318056,0.022721022499452403,2.837935753318056
binary+shuffle,MC,,,0.3017439868817433,100,,,,
cel+randN,MC,0.6027243459679738,500.0,0.5639937264011996,100,-0.03873061956677415,-6.425925852484501,0.03873061956677415,6.425925852484501
celW+connShuf,MC,0.4258349422873893,500.0,0.33911289271788175,100,-0.08672204956950752,-20.36517931188939,0.08672204956950752,20.36517931188939
cel_sample,MC,0.43291587463418657,500.0,0.34062385881617957,100,-0.092292015818007,-21.318695207468114,0.092292015818007,21.318695207468114
conn_shuf_only,MC,0.4333945382710065,500.0,0.34372971986168316,100,-0.08966481840932333,-20.688959018042567,0.08966481840932333,20.688959018042567
er+randN,MC,0.6329946368031679,500.0,0.6760044847654261,100,0.04300984796225815,6.794662302270379,-0.04300984796225815,-6.794662302270379
global_sign_pres,MC,0.3778058847314385,500.0,0.2998093685992851,100,-0.07799651613215342,-20.644600649245277,0.07799651613215342,20.644600649245277
local_sign,MC,0.4005810848223941,500.0,0.31801051931362,100,-0.08257056550877406,-20.61269706366276,0.08257056550877406,20.61269706366276
local_sign+binary,MC,0.3730106840130114,500.0,0.3001068263695578,100,-0.07290385764345358,-19.54471031744242,0.07290385764345358,19.54471031744242
local_sign+flat,MC,0.3893251043784771,500.0,0.31308605705456316,100,-0.07623904732391396,-19.582360979681187,0.07623904732391396,19.582360979681187
local_sign+sample,MC,0.42599453162768997,500.0,0.3417759523727425,100,-0.08421857925494747,-19.769873320475554,0.08421857925494747,19.769873320475554
real,MC,0.38619650997526045,500.0,0.2994856545249282,100,-0.08671085545033225,-22.45252176304931,0.08671085545033225,22.45252176304931
shuffle,MC,0.434667536180857,500.0,0.3440994371757713,100,-0.09056809900508572,-20.83617741523766,0.09056809900508572,20.83617741523766
ws_p0.1+randN,MC,0.6433091962193,500.0,0.6884735571039935,100,0.045164360884693444,7.020630382733904,-0.045164360884693444,-7.020630382733904
