chunk,dataset,job,unknown_sign_policy,normalization,rho_target,repeat_id,seed,sign_frac,sign_frac_source,n_nodes,n_edges,negative_edges,negative_edge_fraction,raw_rho,ref_rho,post_rho,scale_factor,activation_steps,activation_washout,activation_threshold_abs_state,activation_leak,active_state_count,active_state_fraction,active_neurons_per_step_mean,active_neurons_per_step_std,neurons_active_at_least_once,activation_onset_count,activation_onset_rate,triad_scope,triad_count,triad_edge_count_mean,triad_edge_count_std,triad_avg_abs_w_mean,triad_avg_abs_w_std,triad_avg_abs_w_min,triad_avg_abs_w_max,triad_cv_abs_w_mean,triad_cv_abs_w_std,triad_cv_abs_w_min,triad_cv_abs_w_max
chunk_14,new_cel_sign_matched,sign_test_og_cel,random_unknown_sign_matched,spectral_radius,0.8,38,3812345,0.0,requested,297,3604,0,0.0,106.5088882446289,73.18379974365234,0.7999996542930603,0.0075111102292473,1000,100,0.5,1.0,79271,0.2669057239057239,79.271,63.10292812967191,198,39238,0.1321144781144781,closed,6527,3.8929063888463302,0.818883549422692,0.0489029231087245,0.0388156771066461,0.0075111100450158,0.3630369901657104,0.717581997325698,0.3127051428218198,0.0,1.7674418557709644
chunk_14,new_cel_sign_matched,sign_test_og_cel,random_unknown_sign_matched,spectral_radius,0.8,38,3812345,0.5,requested,297,3604,1802,0.5,39.48732376098633,73.18379974365234,0.7999986410140991,0.0202596662372547,1000,100,0.5,1.0,93868,0.316053872053872,93.868,57.82001149887234,240,45132,0.1519595959595959,closed,6527,3.8929063888463302,0.818883549422692,0.1319055172277201,0.1046972581530933,0.020259665325284,0.9792171716690063,0.7175819977016789,0.3127051436132225,0.0,1.7674418530066038
chunk_14,new_cel_sign_matched,sign_test_og_cel,random_unknown_sign_matched,spectral_radius,0.95,38,3812345,0.0,requested,297,3604,0,0.0,106.5088882446289,73.18379974365234,0.9500000476837158,0.0089194433972312,1000,100,0.5,1.0,80951,0.2725622895622895,80.951,62.614352637044455,201,40084,0.1349629629629629,closed,6527,3.8929063888463302,0.818883549422692,0.0580722195699026,0.0460936154560458,0.0089194430038332,0.4311064183712005,0.7175819976717622,0.3127051455794785,0.0,1.7674418621592465
chunk_14,new_cel_sign_matched,sign_test_og_cel,random_unknown_sign_matched,spectral_radius,0.95,38,3812345,0.5,requested,297,3604,1802,0.5,39.48732376098633,73.18379974365234,0.9499979615211488,0.0240583536567399,1000,100,0.5,1.0,100297,0.3377003367003367,100.297,55.73682251783272,251,47444,0.1597441077441077,closed,6527,3.8929063888463302,0.818883549422692,0.1566378043078414,0.1243279964325081,0.0240583531558513,1.1628204385439556,0.7175819986933939,0.3127051461087955,0.0,1.7674418562778813
chunk_14,new_cel_sign_matched,sign_test_og_cel,random_unknown_sign_matched,spectral_radius,1.05,38,3812345,0.0,requested,297,3604,0,0.0,106.5088882446289,73.18379974365234,1.049998760223389,0.0098583321758872,1000,100,0.5,1.0,82266,0.276989898989899,82.266,62.19998458265148,208,40674,0.1369494949494949,closed,6527,3.8929063888463302,0.818883549422692,0.0641850907626843,0.0509455794961768,0.0098583325743675,0.4764860769112904,0.7175819991091736,0.3127051450570485,0.0,1.7674418563776917
chunk_14,new_cel_sign_matched,sign_test_og_cel,random_unknown_sign_matched,spectral_radius,1.05,38,3812345,0.5,requested,297,3604,1802,0.5,39.48732376098633,73.18379974365234,1.0499992370605469,0.0265908119363967,1000,100,0.5,1.0,104898,0.3531919191919191,104.898,54.27014690273875,256,48914,0.1646936026936027,closed,6527,3.8929063888463302,0.818883549422692,0.1731259942738222,0.1374151529323069,0.0265908110886812,1.285222550233205,0.7175819988618969,0.3127051428373668,0.0,1.767441866905482
chunk_14,new_cel_sign_matched,sign_test_og_cel,random_unknown_sign_matched,spectral_radius,0.6,39,3912345,0.0,requested,297,3604,0,0.0,106.5088882446289,75.05838012695312,0.5999988317489624,0.0056333326719355,1000,100,0.5,1.0,76677,0.2581717171717171,76.677,62.95879987326221,188,35018,0.1179057239057239,closed,6527,3.8929063888463302,0.818883549422692,0.0366771940850455,0.0291117592253385,0.0056333327665925,0.2722777525583903,0.7175819986832869,0.312705143100599,0.0,1.7674418613592404
chunk_14,new_cel_sign_matched,sign_test_og_cel,random_unknown_sign_matched,spectral_radius,0.6,39,3912345,0.5,requested,297,3604,1802,0.5,63.954627990722656,75.05838012695312,0.6000003814697266,0.0093816510055697,1000,100,0.5,1.0,79672,0.2682558922558922,79.672,62.02779912155407,200,36580,0.1231649831649831,closed,6527,3.8929063888463302,0.818883549422692,0.0610815379471867,0.0484821991647743,0.0093816509470343,0.4534464577833811,0.7175819991940602,0.3127051458126891,0.0,1.7674418642233345
chunk_14,new_cel_sign_matched,sign_test_og_cel,random_unknown_sign_matched,spectral_radius,0.8,39,3912345,0.0,requested,297,3604,0,0.0,106.5088882446289,75.05838012695312,0.7999996542930603,0.0075111102292473,1000,100,0.5,1.0,77888,0.2622491582491582,77.888,62.65709351196692,194,35751,0.1203737373737373,closed,6527,3.8929063888463302,0.818883549422692,0.0489029231087245,0.0388156771066461,0.0075111100450158,0.3630369901657104,0.717581997325698,0.3127051428218198,0.0,1.7674418557709644
chunk_14,new_cel_sign_matched,sign_test_og_cel,random_unknown_sign_matched,spectral_radius,0.8,39,3912345,0.5,requested,297,3604,1802,0.5,63.954627990722656,75.05838012695312,0.8000005483627319,0.0125088680074262,1000,100,0.5,1.0,82636,0.2782356902356902,82.636,60.36420579566455,209,38025,0.128030303030303,closed,6527,3.8929063888463302,0.818883549422692,0.08144205159528,0.0646429329579985,0.01250886823982,0.604595293601354,0.7175819956976687,0.3127051451801674,0.0,1.7674418632837796
chunk_14,new_cel_sign_matched,sign_test_og_cel,random_unknown_sign_matched,spectral_radius,0.95,39,3912345,0.0,requested,297,3604,0,0.0,106.5088882446289,75.05838012695312,0.9500000476837158,0.0089194433972312,1000,100,0.5,1.0,79635,0.2681313131313131,79.635,62.090135770184624,199,36709,0.1235993265993266,closed,6527,3.8929063888463302,0.818883549422692,0.0580722195699026,0.0460936154560458,0.0089194430038332,0.4311064183712005,0.7175819976717622,0.3127051455794785,0.0,1.7674418621592465
chunk_14,new_cel_sign_matched,sign_test_og_cel,random_unknown_sign_matched,spectral_radius,0.95,39,3912345,0.5,requested,297,3604,1802,0.5,63.954627990722656,75.05838012695312,0.9500017166137696,0.0148542807588187,1000,100,0.5,1.0,85305,0.2872222222222222,85.305,59.048189334336605,213,39190,0.1319528619528619,closed,6527,3.8929063888463302,0.818883549422692,0.0967124371987446,0.0767634840290091,0.0148542812094092,0.7179569204648336,0.7175819944536482,0.3127051447762911,0.0,1.7674418628387278
chunk_14,new_cel_sign_matched,sign_test_og_cel,random_unknown_sign_matched,spectral_radius,1.05,39,3912345,0.0,requested,297,3604,0,0.0,106.5088882446289,75.05838012695312,1.049998760223389,0.0098583321758872,1000,100,0.5,1.0,81412,0.2741144781144781,81.412,61.443955077905066,202,37456,0.1261144781144781,closed,6527,3.8929063888463302,0.818883549422692,0.0641850907626843,0.0509455794961768,0.0098583325743675,0.4764860769112904,0.7175819991091736,0.3127051450570485,0.0,1.7674418563776917
chunk_14,new_cel_sign_matched,sign_test_og_cel,random_unknown_sign_matched,spectral_radius,1.05,39,3912345,0.5,requested,297,3604,1802,0.5,63.954627990722656,75.05838012695312,1.0500000715255735,0.0164178892597469,1000,100,0.5,1.0,87143,0.2934107744107744,87.143,58.073169743385314,216,39872,0.1342491582491582,closed,6527,3.8929063888463302,0.818883549422692,0.1068926894816983,0.0848438466867135,0.0164178889244794,0.7935312688350677,0.7175819984229681,0.3127051450983685,0.0,1.7674418549428363
chunk_15,new_cel_sign_matched,sign_test_og_cel,random_unknown_sign_matched,spectral_radius,0.6,40,4012345,0.0,requested,297,3604,0,0.0,106.5088882446289,69.9138412475586,0.5999988317489624,0.0056333326719355,1000,100,0.5,1.0,86895,0.2925757575757576,86.895,67.25242645335456,206,39345,0.1324747474747474,closed,6527,3.8929063888463302,0.818883549422692,0.0366771940850455,0.0291117592253385,0.0056333327665925,0.2722777525583903,0.7175819986832869,0.312705143100599,0.0,1.7674418613592404
