dataset,job,unknown_sign_policy,normalization,rho_target,repeat_id,seed,sign_frac,sign_frac_source,n_nodes,n_edges,negative_edges,negative_edge_fraction,raw_rho,ref_rho,post_rho,scale_factor,census_003,census_012,census_102,census_021D,census_021U,census_021C,census_111D,census_111U,census_030T,census_030C,census_201,census_120D,census_120U,census_120C,census_210,census_300,triad_scope,triad_count,triad_edge_count_mean,triad_edge_count_std,triad_avg_abs_w_mean,triad_avg_abs_w_std,triad_avg_abs_w_min,triad_avg_abs_w_max,triad_cv_abs_w_mean,triad_cv_abs_w_std,triad_cv_abs_w_min,triad_cv_abs_w_max
new_cel_4to1,sign_test_og_cel,random_unknown_4to1,spectral_radius,0.8,32,3212345,0.4,requested,297,3604,1441,0.3998335183129856,51.886474609375,65.18519592285156,0.8000013828277588,0.01541827626607443,3528889,559407,169082,9402,11551,16683,9402,8866,2144,158,2531,996,1255,644,1057,273,closed,6527,3.8929063888463307,0.818883549422692,0.09379774198487023,0.06418014433594425,0.015418276190757751,0.4471300095319748,0.7041641680844143,0.2998122449195358,0.0,1.7058823529411764
new_cel_4to1,sign_test_og_cel,random_unknown_4to1,spectral_radius,0.8,32,3212345,0.6,requested,297,3604,2162,0.5998890122086571,40.15236282348633,65.18519592285156,0.7999985814094543,0.019924107667508323,3528889,559407,169082,9402,11551,16683,9402,8866,2144,158,2531,996,1255,644,1057,273,any_edge,793451,1.3399441175321476,0.583206722736065,0.10602520399785521,0.12043079313806579,0.019924107939004898,0.5977232456207275,0.13599438351532897,0.2634429842041352,0.0,1.7058823561760206
new_cel_4to1,sign_test_og_cel,random_unknown_4to1,spectral_radius,0.8,32,3212345,0.6,requested,297,3604,2162,0.5998890122086571,40.15236282348633,65.18519592285156,0.7999985814094543,0.019924107667508323,3528889,559407,169082,9402,11551,16683,9402,8866,2144,158,2531,996,1255,644,1057,273,weak_connected,64962,2.549321141590468,0.7501222435163757,0.11039220058305273,0.09061581660790553,0.019924107939004898,0.5977232456207275,0.5259102676384946,0.3109101766855704,0.0,1.7058823561760206
new_cel_4to1,sign_test_og_cel,random_unknown_4to1,spectral_radius,0.8,32,3212345,0.6,requested,297,3604,2162,0.5998890122086571,40.15236282348633,65.18519592285156,0.7999985814094543,0.019924107667508323,3528889,559407,169082,9402,11551,16683,9402,8866,2144,158,2531,996,1255,644,1057,273,closed,6527,3.8929063888463307,0.818883549422692,0.12120916213834347,0.08293612850404496,0.019924107939004898,0.5777991414070129,0.7041641685565209,0.29981224628950365,0.0,1.7058823561760206
new_cel_4to1,sign_test_og_cel,random_unknown_4to1,spectral_radius,0.8,32,3212345,0.8,requested,297,3604,2883,0.7999445061043285,69.67233276367188,65.18519592285156,0.7999998331069946,0.011482319713818039,3528889,559407,169082,9402,11551,16683,9402,8866,2144,158,2531,996,1255,644,1057,273,any_edge,793451,1.3399441175321476,0.583206722736065,0.06110262538646249,0.0694046076978564,0.011482319794595242,0.3444696068763733,0.13599438375473677,0.2634429845637542,0.0,1.7058823627640982
new_cel_4to1,sign_test_og_cel,random_unknown_4to1,spectral_radius,0.8,32,3212345,0.8,requested,297,3604,2883,0.7999445061043285,69.67233276367188,65.18519592285156,0.7999998331069946,0.011482319713818039,3528889,559407,169082,9402,11551,16683,9402,8866,2144,158,2531,996,1255,644,1057,273,weak_connected,64962,2.549321141590468,0.7501222435163757,0.06361933787428609,0.05222215215093647,0.011482319794595242,0.3444696068763733,0.525910268478427,0.3109101774189158,0.0,1.7058823627640982
new_cel_4to1,sign_test_og_cel,random_unknown_4to1,spectral_radius,0.8,32,3212345,0.8,requested,297,3604,2883,0.7999445061043285,69.67233276367188,65.18519592285156,0.7999998331069946,0.011482319713818039,3528889,559407,169082,9402,11551,16683,9402,8866,2144,158,2531,996,1255,644,1057,273,closed,6527,3.8929063888463307,0.818883549422692,0.06985318348722332,0.04779632619116818,0.011482319794595242,0.3329872861504555,0.7041641703502417,0.2998122473366086,0.0,1.7058823627640982
new_cel_4to1,sign_test_og_cel,random_unknown_4to1,spectral_radius,0.8,32,3212345,1.0,requested,297,3604,3604,1.0,100.55933380126953,65.18519592285156,0.7999999523162842,0.007955502187206219,3528889,559407,169082,9402,11551,16683,9402,8866,2144,158,2531,996,1255,644,1057,273,any_edge,793451,1.3399441175321476,0.583206722736065,0.04233482869290614,0.0480868399355485,0.007955501787364483,0.23866505920886993,0.13599438345424533,0.2634429839110205,0.0,1.7058823590172911
new_cel_4to1,sign_test_og_cel,random_unknown_4to1,spectral_radius,0.8,32,3212345,1.0,requested,297,3604,3604,1.0,100.55933380126953,65.18519592285156,0.7999999523162842,0.007955502187206219,3528889,559407,169082,9402,11551,16683,9402,8866,2144,158,2531,996,1255,644,1057,273,weak_connected,64962,2.549321141590468,0.7501222435163757,0.04407852777107775,0.03618201088459372,0.007955501787364483,0.23866505920886993,0.5259102670155101,0.3109101768452598,0.0,1.7058823590172911
new_cel_4to1,sign_test_og_cel,random_unknown_4to1,spectral_radius,0.8,32,3212345,1.0,requested,297,3604,3604,1.0,100.55933380126953,65.18519592285156,0.7999999523162842,0.007955502187206219,3528889,559407,169082,9402,11551,16683,9402,8866,2144,158,2531,996,1255,644,1057,273,closed,6527,3.8929063888463307,0.818883549422692,0.048397634918269025,0.03311558644290123,0.007955501787364483,0.23070955649018288,0.7041641685266994,0.2998122469318341,0.0,1.7058823590172911
new_cel_4to1,sign_test_og_cel,random_unknown_4to1,spectral_radius,0.95,32,3212345,0.22058823529411764,empirical,297,3604,795,0.22058823529411764,77.61618041992188,65.18519592285156,0.9500004053115845,0.012239715931140588,3528889,559407,169082,9402,11551,16683,9402,8866,2144,158,2531,996,1255,644,1057,273,any_edge,793451,1.3399441175321476,0.583206722736065,0.06513307377564029,0.07398267097214188,0.01223971601575613,0.36719149351119995,0.1359943837452599,0.2634429845379278,0.0,1.7058823621562536
new_cel_4to1,sign_test_og_cel,random_unknown_4to1,spectral_radius,0.95,32,3212345,0.22058823529411764,empirical,297,3604,795,0.22058823529411764,77.61618041992188,65.18519592285156,0.9500004053115845,0.012239715931140588,3528889,559407,169082,9402,11551,16683,9402,8866,2144,158,2531,996,1255,644,1057,273,weak_connected,64962,2.549321141590468,0.7501222435163757,0.06781579352620248,0.05566682714221993,0.01223971601575613,0.36719149351119995,0.525910268421283,0.3109101773358757,0.0,1.7058823621562536
new_cel_4to1,sign_test_og_cel,random_unknown_4to1,spectral_radius,0.95,32,3212345,0.22058823529411764,empirical,297,3604,795,0.22058823529411764,77.61618041992188,65.18519592285156,0.9500004053115845,0.012239715931140588,3528889,559407,169082,9402,11551,16683,9402,8866,2144,158,2531,996,1255,644,1057,273,closed,6527,3.8929063888463307,0.818883549422692,0.07446083575460977,0.050949065066148484,0.01223971601575613,0.35495177656412125,0.7041641701855151,0.2998122471766209,0.0,1.7058823621562536
new_cel_4to1,sign_test_og_cel,random_unknown_4to1,spectral_radius,0.95,32,3212345,0.0,requested,297,3604,0,0.0,100.5592269897461,65.18519592285156,0.9500007629394531,0.009447168881845823,3528889,559407,169082,9402,11551,16683,9402,8866,2144,158,2531,996,1255,644,1057,273,any_edge,793451,1.3399441175321476,0.583206722736065,0.050272663146842214,0.05710318284315747,0.009447168558835983,0.2834150493144989,0.13599438341695302,0.2634429837334938,0.0,1.7058823461188792
new_cel_4to1,sign_test_og_cel,random_unknown_4to1,spectral_radius,0.95,32,3212345,0.0,requested,297,3604,0,0.0,100.5592269897461,65.18519592285156,0.9500007629394531,0.009447168881845823,3528889,559407,169082,9402,11551,16683,9402,8866,2144,158,2531,996,1255,644,1057,273,weak_connected,64962,2.549321141590468,0.7501222435163757,0.052343307984558274,0.042966183300621574,0.009447168558835983,0.2834150493144989,0.5259102667185396,0.3109101755580076,0.0,1.7058823461188792
