model,neuron_bias,capacity_threshold,order,parity,mean_ipc_contrib,std_ipc_contrib,median_ipc_contrib,ratio_to_order3
er_randN,0.0,0.01,2,even,0.04503957745619118,0.038553401804289775,0.03420592052862048,0.011602876125446674
er_randN,0.0,0.01,3,odd,3.8817597438115627,0.24517026570690953,3.890035883523524,1.0
er_randN,0.0,0.01,4,even,0.045406844653189185,0.05179392302097553,0.024929021950811148,0.011697489708263982
er_randN,0.0,0.01,5,odd,0.9446282687596976,0.2504714544846401,0.915680377278477,0.24335052427334203
er_randN,0.0,0.01,6,even,0.04257814045995474,0.02267199788012058,0.04550661984831095,0.010968772739692172
er_randN,0.0,0.01,7,odd,0.1349206102080643,0.06664392035898387,0.12038970785215497,0.03475758911229874
er_randN,0.0,0.01,8,even,0.037140313908457755,0.020130676272639324,0.03621325083076954,0.009567906403189467
er_randN,0.0,0.01,9,odd,0.04362239949405193,0.028882755497483314,0.047584474086761475,0.01123778965547682
er_randN,0.0,0.01,10,even,0.0368479248136282,0.02197008809868212,0.033451170194894075,0.009492582551604964
er_randN,0.1,0.0,1,odd,8.9556438271243,0.40485284640729174,8.90183183667117,2.315153591196879
er_randN,0.1,0.0,2,even,3.117628135320668,0.2797724543572813,3.030299718538945,0.8059485295343349
er_randN,0.1,0.0,3,odd,3.868272006305399,0.25359029199373384,3.8332659942663696,1.0
er_randN,0.1,0.0,4,even,0.6436221272543388,0.17007722795984234,0.6218154164274754,0.16638491972777908
er_randN,0.1,0.0,5,odd,0.9730145841057973,0.23691024983044898,0.9122616755587671,0.25153727103982204
er_randN,0.1,0.0,6,even,0.22616503722245218,0.06777994674968607,0.21969590062388278,0.058466684052671684
er_randN,0.1,0.0,7,odd,0.27589171703730114,0.05626689240216455,0.2715300849024105,0.07132169521367407
er_randN,0.1,0.0,8,even,0.17984572999284604,0.026659997572794514,0.18051520727851766,0.04649252423296297
er_randN,0.1,0.0,9,odd,0.17955824883968433,0.03329930247685368,0.17252973787532433,0.04641820651365752
er_randN,0.1,0.0,10,even,0.17738008115098686,0.031063647937870264,0.1677986002720429,0.04585512106228622
er_randN,0.1,0.001,1,odd,8.945874760439619,0.40512651988160375,8.893204370106105,2.318852118040483
er_randN,0.1,0.001,2,even,3.106694311159663,0.280179197862321,3.016612829407677,0.8052834268812059
er_randN,0.1,0.001,3,odd,3.85788929394912,0.2531047519148854,3.821489313559141,1.0
er_randN,0.1,0.001,4,even,0.6321379175700713,0.17046474996126146,0.6083412742009386,0.16385589875830386
er_randN,0.1,0.001,5,odd,0.9614273350685835,0.23660858777724228,0.9021968254819512,0.24921071130178038
er_randN,0.1,0.001,6,even,0.21521886157570408,0.06866121196279511,0.20966167229926214,0.0557866867546621
er_randN,0.1,0.001,7,odd,0.2640069564804435,0.056265547961180364,0.26012208964675665,0.0684330047766076
er_randN,0.1,0.001,8,even,0.1680243421229534,0.027662587903656135,0.16931595973437652,0.04355343798654099
er_randN,0.1,0.001,9,odd,0.16701541630900466,0.03444625039392481,0.16029463236918673,0.0432919152374224
er_randN,0.1,0.001,10,even,0.16551732233492658,0.03270505173003774,0.15498970437329262,0.042903595651262234
er_randN,0.1,0.005,1,odd,8.891551554831675,0.40527949621333914,8.843344826251268,2.3463783475447806
er_randN,0.1,0.005,2,even,3.0487861461238936,0.27886550530526133,2.955770367756486,0.8045396526630187
er_randN,0.1,0.005,3,odd,3.789479034417309,0.25061218844778876,3.7596526090055704,1.0
er_randN,0.1,0.005,4,even,0.5623807861469686,0.17152550577839612,0.5451679527759552,0.1484058312605082
er_randN,0.1,0.005,5,odd,0.89443237145897,0.23662091393753665,0.843269964447245,0.2360304314486075
er_randN,0.1,0.005,6,even,0.13731534951366484,0.06484934382056812,0.13055267021991313,0.036235943850466294
er_randN,0.1,0.005,7,odd,0.193282361025922,0.0597965743604239,0.18976757116615772,0.051004995481032434
er_randN,0.1,0.005,8,even,0.08606789340265095,0.023410415923166183,0.08227022341452539,0.022712328692401702
er_randN,0.1,0.005,9,odd,0.09002937630284577,0.025582882395356422,0.08635438187047839,0.023757718537342213
