model,seed,rho_target,leak,input_scale,d_max,ipc_kset,capture_pct_vs_ref
cel_sample,2,0.95,0.8,1.0,30,4.319887340068817,100.0
cel_sample,2,0.95,0.8,1.0,50,4.319887340068817,100.0
cel_sample,2,0.95,0.8,1.0,80,4.319887340068817,100.0
local_sign+flat,2,0.95,0.8,1.0,30,4.138046979904175,100.0
local_sign+flat,2,0.95,0.8,1.0,50,4.138046979904175,100.0
local_sign+flat,2,0.95,0.8,1.0,80,4.138046979904175,100.0
local_sign+sample,2,0.95,0.8,1.0,30,6.072665870189667,100.0
local_sign+sample,2,0.95,0.8,1.0,50,6.072665870189667,100.0
local_sign+sample,2,0.95,0.8,1.0,80,6.072665870189667,100.0
local_sign+binary,2,0.95,0.8,1.0,30,4.420543313026428,100.0
local_sign+binary,2,0.95,0.8,1.0,50,4.420543313026428,100.0
local_sign+binary,2,0.95,0.8,1.0,80,4.420543313026428,100.0
global_sign_pres,2,0.95,0.8,1.0,30,4.258509635925293,100.0
global_sign_pres,2,0.95,0.8,1.0,50,4.258509635925293,100.0
global_sign_pres,2,0.95,0.8,1.0,80,4.258509635925293,100.0
binary+shuffle,2,0.95,0.8,1.0,30,5.033302962779999,99.50509170973969
binary+shuffle,2,0.95,0.8,1.0,50,5.033302962779999,99.50509170973969
binary+shuffle,2,0.95,0.8,1.0,80,5.058337092399597,100.0
real,3,0.95,0.8,1.0,30,5.196063041687012,100.0
real,3,0.95,0.8,1.0,50,5.196063041687012,100.0
real,3,0.95,0.8,1.0,80,5.196063041687012,100.0
shuffle_weights,3,0.95,0.8,1.0,30,5.790041267871857,100.0
shuffle_weights,3,0.95,0.8,1.0,50,5.790041267871857,100.0
shuffle_weights,3,0.95,0.8,1.0,80,5.790041267871857,100.0
cel_randN,3,0.95,0.8,1.0,30,13.289400339126587,100.0
cel_randN,3,0.95,0.8,1.0,50,13.289400339126587,100.0
cel_randN,3,0.95,0.8,1.0,80,13.289400339126587,100.0
er_randN,3,0.95,0.8,1.0,30,12.89885026216507,100.0
er_randN,3,0.95,0.8,1.0,50,12.89885026216507,100.0
er_randN,3,0.95,0.8,1.0,80,12.89885026216507,100.0
ws_p01_randN,3,0.95,0.8,1.0,30,14.273390471935272,100.0
ws_p01_randN,3,0.95,0.8,1.0,50,14.273390471935272,100.0
ws_p01_randN,3,0.95,0.8,1.0,80,14.273390471935272,100.0
conn_shuf,3,0.95,0.8,1.0,30,5.2340680956840515,100.0
conn_shuf,3,0.95,0.8,1.0,50,5.2340680956840515,100.0
conn_shuf,3,0.95,0.8,1.0,80,5.2340680956840515,100.0
local_sign,3,0.95,0.8,1.0,30,2.8825291991233826,100.0
local_sign,3,0.95,0.8,1.0,50,2.8825291991233826,100.0
local_sign,3,0.95,0.8,1.0,80,2.8825291991233826,100.0
conn_shuf_only,3,0.95,0.8,1.0,30,6.5374977588653564,100.0
conn_shuf_only,3,0.95,0.8,1.0,50,6.5374977588653564,100.0
conn_shuf_only,3,0.95,0.8,1.0,80,6.5374977588653564,100.0
cel_sample,3,0.95,0.8,1.0,30,6.915704727172852,100.0
cel_sample,3,0.95,0.8,1.0,50,6.915704727172852,100.0
cel_sample,3,0.95,0.8,1.0,80,6.915704727172852,100.0
local_sign+flat,3,0.95,0.8,1.0,30,2.899729907512665,100.0
local_sign+flat,3,0.95,0.8,1.0,50,2.899729907512665,100.0
local_sign+flat,3,0.95,0.8,1.0,80,2.899729907512665,100.0
local_sign+sample,3,0.95,0.8,1.0,30,7.14172625541687,100.0
local_sign+sample,3,0.95,0.8,1.0,50,7.14172625541687,100.0
local_sign+sample,3,0.95,0.8,1.0,80,7.14172625541687,100.0
local_sign+binary,3,0.95,0.8,1.0,30,3.3845320343971252,99.99834284206214
local_sign+binary,3,0.95,0.8,1.0,50,3.3845320343971252,99.99834284206214
local_sign+binary,3,0.95,0.8,1.0,80,3.384588122367859,100.0
global_sign_pres,3,0.95,0.8,1.0,30,5.779435396194458,100.0
global_sign_pres,3,0.95,0.8,1.0,50,5.779435396194458,100.0
global_sign_pres,3,0.95,0.8,1.0,80,5.779435396194458,100.0
binary+shuffle,3,0.95,0.8,1.0,30,4.1533322930336,100.0
binary+shuffle,3,0.95,0.8,1.0,50,4.1533322930336,100.0
binary+shuffle,3,0.95,0.8,1.0,80,4.1533322930336,100.0
real,4,0.95,0.8,1.0,30,5.619538128376007,100.0
real,4,0.95,0.8,1.0,50,5.619538128376007,100.0
real,4,0.95,0.8,1.0,80,5.619538128376007,100.0
shuffle_weights,4,0.95,0.8,1.0,30,4.252299726009369,100.0
shuffle_weights,4,0.95,0.8,1.0,50,4.252299726009369,100.0
shuffle_weights,4,0.95,0.8,1.0,80,4.252299726009369,100.0
cel_randN,4,0.95,0.8,1.0,30,11.176478445529938,100.0
cel_randN,4,0.95,0.8,1.0,50,11.176478445529938,100.0
cel_randN,4,0.95,0.8,1.0,80,11.176478445529938,100.0
er_randN,4,0.95,0.8,1.0,30,12.854460895061493,100.0
er_randN,4,0.95,0.8,1.0,50,12.854460895061493,100.0
er_randN,4,0.95,0.8,1.0,80,12.854460895061493,100.0
ws_p01_randN,4,0.95,0.8,1.0,30,13.071701765060425,100.0
ws_p01_randN,4,0.95,0.8,1.0,50,13.071701765060425,100.0
ws_p01_randN,4,0.95,0.8,1.0,80,13.071701765060425,100.0
conn_shuf,4,0.95,0.8,1.0,30,5.228224694728851,100.0
conn_shuf,4,0.95,0.8,1.0,50,5.228224694728851,100.0
conn_shuf,4,0.95,0.8,1.0,80,5.228224694728851,100.0
local_sign,4,0.95,0.8,1.0,30,5.918472528457642,100.0
local_sign,4,0.95,0.8,1.0,50,5.918472528457642,100.0
local_sign,4,0.95,0.8,1.0,80,5.918472528457642,100.0
conn_shuf_only,4,0.95,0.8,1.0,30,4.763063549995422,100.0
conn_shuf_only,4,0.95,0.8,1.0,50,4.763063549995422,100.0
conn_shuf_only,4,0.95,0.8,1.0,80,4.763063549995422,100.0
cel_sample,4,0.95,0.8,1.0,30,3.4186125993728638,100.0
cel_sample,4,0.95,0.8,1.0,50,3.4186125993728638,100.0
cel_sample,4,0.95,0.8,1.0,80,3.4186125993728638,100.0
local_sign+flat,4,0.95,0.8,1.0,30,3.989098012447357,100.0
local_sign+flat,4,0.95,0.8,1.0,50,3.989098012447357,100.0
local_sign+flat,4,0.95,0.8,1.0,80,3.989098012447357,100.0
local_sign+sample,4,0.95,0.8,1.0,30,5.806737184524536,100.0
