mode,shuffle_id,rho_target,leak,input_scale,MC,IPC,KR,GR,src,wt_mean,cosine_similarity,seed
sign_test0.2,0,1.05,0.6,0.5,7.524236679077148,11.03569757938385,5.105632305145264,7.861302852630615,chunk_0,0.0017704970669001,0.3206173181533813,48345
sign_test0.2,0,1.05,0.6,1.0,3.4828484058380127,5.779362440109253,5.904108047485352,11.52609920501709,chunk_0,0.0017704970669001,0.3206173181533813,48345
sign_test0.2,0,1.05,0.6,1.5,1.1976830959320068,1.9453803896903992,6.339701175689697,14.066089630126951,chunk_0,0.0017704970669001,0.3206173181533813,48345
sign_test0.2,0,1.05,0.8,0.1,10.336244583129885,15.081627070903778,4.980203151702881,5.7871575355529785,chunk_0,0.0017704970669001,0.3206173181533813,48345
sign_test0.2,0,1.05,0.8,0.5,8.064728736877441,11.03131878376007,6.590842247009277,10.68679141998291,chunk_0,0.0017704970669001,0.3206173181533813,48345
sign_test0.2,0,1.05,0.8,1.0,3.794522285461426,5.751444756984711,7.820411682128906,16.239383697509766,chunk_0,0.0017704970669001,0.3206173181533813,48345
sign_test0.2,0,1.05,0.8,1.5,3.5512945652008057,5.578844666481018,8.394204139709473,19.803857803344727,chunk_0,0.0017704970669001,0.3206173181533813,48345
sign_test0.2,0,1.05,1.0,0.1,11.079879760742188,16.823427081108093,7.901254653930664,9.226300239562988,chunk_0,0.0017704970669001,0.3206173181533813,48345
sign_test0.2,0,1.05,1.0,0.5,8.673164367675781,11.782368123531342,9.708500862121582,16.595041275024414,chunk_0,0.0017704970669001,0.3206173181533813,48345
sign_test0.2,0,1.05,1.0,1.0,5.256853103637695,6.825016498565674,11.407329559326172,24.68343162536621,chunk_0,0.0017704970669001,0.3206173181533813,48345
sign_test0.2,0,1.05,1.0,1.5,4.493666172027588,6.823328495025635,11.993590354919434,29.18351173400879,chunk_0,0.0017704970669001,0.3206173181533813,48345
sign_test0.3,0,0.6,0.6,0.1,6.627321243286133,7.1333810687065125,2.1616313457489014,2.246110439300537,chunk_0,0.0006775496876798,0.21957428753376,48345
sign_test0.3,0,0.6,0.6,0.5,5.782694816589356,7.818245112895966,2.6279163360595703,3.6237428188323975,chunk_0,0.0006775496876798,0.21957428753376,48345
sign_test0.3,0,0.6,0.6,1.0,3.3722527027130127,4.788401007652283,3.118794679641724,5.351782321929932,chunk_0,0.0006775496876798,0.21957428753376,48345
sign_test0.3,0,0.6,0.6,1.5,1.7805564403533936,2.728873133659363,3.395573139190674,6.585561752319336,chunk_0,0.0006775496876798,0.21957428753376,48345
sign_test0.3,0,0.6,0.8,0.1,7.522009372711182,8.168725609779358,2.449469804763794,2.55189061164856,chunk_0,0.0006775496876798,0.21957428753376,48345
sign_test0.3,0,0.6,0.8,0.5,4.140311241149902,6.141343116760254,3.055901288986206,4.3346710205078125,chunk_0,0.0006775496876798,0.21957428753376,48345
sign_test0.3,0,0.6,0.8,1.0,3.673346757888794,6.071587026119232,3.67837905883789,6.598070621490479,chunk_0,0.0006775496876798,0.21957428753376,48345
sign_test0.3,0,0.6,0.8,1.5,2.66797947883606,4.036168158054352,4.005805969238281,8.188610076904297,chunk_0,0.0006775496876798,0.21957428753376,48345
sign_test0.3,0,0.6,1.0,0.1,8.646242141723633,9.529265522956848,2.968564510345459,3.109971523284912,chunk_0,0.0006775496876798,0.21957428753376,48345
sign_test0.3,0,0.6,1.0,0.5,6.353989601135254,8.792820274829865,3.813207864761353,5.610690593719482,chunk_0,0.0006775496876798,0.21957428753376,48345
sign_test0.3,0,0.6,1.0,1.0,3.9416229724884033,6.629623115062714,4.63429069519043,8.694707870483398,chunk_0,0.0006775496876798,0.21957428753376,48345
sign_test0.3,0,0.6,1.0,1.5,2.941392660140991,3.689950704574585,5.035926342010498,10.805700302124023,chunk_0,0.0006775496876798,0.21957428753376,48345
sign_test0.3,0,0.8,0.6,0.1,8.332712173461914,8.995130062103271,2.9288330078125,3.054036855697632,chunk_0,0.0009033994283527,0.2195743024349212,48345
sign_test0.3,0,0.8,0.6,0.5,6.974830627441406,9.375993490219116,3.5709259510040283,5.128182411193848,chunk_0,0.0009033994283527,0.2195743024349212,48345
sign_test0.3,0,0.8,0.6,1.0,3.915395736694336,5.682586133480072,4.227693557739258,7.721828460693359,chunk_0,0.0009033994283527,0.2195743024349212,48345
sign_test0.3,0,0.8,0.6,1.5,2.607352495193481,3.3899168968200684,4.579982280731201,9.546408653259276,chunk_0,0.0009033994283527,0.2195743024349212,48345
sign_test0.3,0,0.8,0.8,0.1,9.499218940734863,10.385897040367126,3.457152843475342,3.627031087875366,chunk_0,0.0009033994283527,0.2195743024349212,48345
sign_test0.3,0,0.8,0.8,0.5,6.0909199714660645,8.215960502624512,4.402833461761475,6.587059497833252,chunk_0,0.0009033994283527,0.2195743024349212,48345
sign_test0.3,0,0.8,0.8,1.0,3.601539373397827,4.965988993644714,5.305905342102051,10.20330810546875,chunk_0,0.0009033994283527,0.2195743024349212,48345
sign_test0.3,0,0.8,0.8,1.5,2.361023426055908,2.932488799095154,5.734943389892578,12.66120147705078,chunk_0,0.0009033994283527,0.2195743024349212,48345
sign_test0.3,0,0.8,1.0,0.1,11.116660118103027,12.374216377735138,4.529299259185791,4.825772762298584,chunk_0,0.0009033994283527,0.2195743024349212,48345
sign_test0.3,0,0.8,1.0,0.5,6.460983276367188,9.38450962305069,5.960752964019775,9.42061710357666,chunk_0,0.0009033994283527,0.2195743024349212,48345
sign_test0.3,0,0.8,1.0,1.0,5.371349811553955,7.207118690013885,7.167591571807861,14.508134841918944,chunk_0,0.0009033994283527,0.2195743024349212,48345
sign_test0.3,0,0.8,1.0,1.5,4.584953308105469,5.14434540271759,7.687485218048096,17.767311096191406,chunk_0,0.0009033994283527,0.2195743024349212,48345
