mode,shuffle_id,rho_target,leak,input_scale,neuron_bias,MC,IPC,KR,GR,src,normalization,wt_mean,cosine_similarity,kl_to_gaussian,seed,raw_rho,ref_rho,post_rho,scale_factor
real,0,0.6,0.8,0.5,0.0,5.526463508605957,9.486766930173394,2.415019989013672,3.359809398651123,chunk_0,spectral_radius,0.0010998402722179,0.3826737999916076,1.1599982532302633,12346,73.237548828125,73.237548828125,0.600000262260437,0.0081925188595277
real,0,0.6,0.8,0.5,0.1,5.143035411834717,11.161835514243675,2.707873106002808,4.017146587371826,chunk_0,spectral_radius,0.0010998402722179,0.3826737999916076,1.1599982532302633,12346,73.237548828125,73.237548828125,0.600000262260437,0.0081925188595277
real,0,0.6,0.8,1.0,0.0,4.76162576675415,8.05109882239686,2.8698580265045166,5.014384746551514,chunk_0,spectral_radius,0.0010998402722179,0.3826737999916076,1.1599982532302633,12346,73.237548828125,73.237548828125,0.600000262260437,0.0081925188595277
real,0,0.6,0.8,1.0,0.1,4.019711017608643,9.237910762861643,3.2910475730896,6.134119510650635,chunk_0,spectral_radius,0.0010998402722179,0.3826737999916076,1.1599982532302633,12346,73.237548828125,73.237548828125,0.600000262260437,0.0081925188595277
real,0,0.6,0.8,1.5,0.0,3.449392080307007,5.88739462715165,3.126126527786255,6.178205490112305,chunk_0,spectral_radius,0.0010998402722179,0.3826737999916076,1.1599982532302633,12346,73.237548828125,73.237548828125,0.600000262260437,0.0081925188595277
real,0,0.6,0.8,1.5,0.1,3.811610460281372,8.54187129520551,3.598632335662842,7.579571723937988,chunk_0,spectral_radius,0.0010998402722179,0.3826737999916076,1.1599982532302633,12346,73.237548828125,73.237548828125,0.600000262260437,0.0081925188595277
real,0,0.6,1.0,0.1,0.0,7.241684913635254,9.248388166552363,2.2308380603790283,2.322951555252075,chunk_0,spectral_radius,0.0010998402722179,0.3826737999916076,1.1599982532302633,12346,73.237548828125,73.237548828125,0.600000262260437,0.0081925188595277
real,0,0.6,1.0,0.1,0.1,7.131670951843262,10.957678758231143,2.325784206390381,2.500467300415039,chunk_0,spectral_radius,0.0010998402722179,0.3826737999916076,1.1599982532302633,12346,73.237548828125,73.237548828125,0.600000262260437,0.0081925188595277
real,0,0.6,1.0,0.5,0.0,5.744829654693604,9.798727318158797,2.793218851089477,3.982845306396485,chunk_0,spectral_radius,0.0010998402722179,0.3826737999916076,1.1599982532302633,12346,73.237548828125,73.237548828125,0.600000262260437,0.0081925188595277
real,0,0.6,1.0,0.5,0.1,6.140158176422119,12.158356829659112,3.142841339111328,4.753572940826416,chunk_0,spectral_radius,0.0010998402722179,0.3826737999916076,1.1599982532302633,12346,73.237548828125,73.237548828125,0.600000262260437,0.0081925188595277
real,0,0.6,1.0,1.0,0.0,4.154305458068848,8.647046175178032,3.3595876693725586,6.121956825256348,chunk_0,spectral_radius,0.0010998402722179,0.3826737999916076,1.1599982532302633,12346,73.237548828125,73.237548828125,0.600000262260437,0.0081925188595277
real,0,0.6,1.0,1.0,0.1,3.388282060623169,7.928024575444745,3.858986139297485,7.433651924133301,chunk_0,spectral_radius,0.0010998402722179,0.3826737999916076,1.1599982532302633,12346,73.237548828125,73.237548828125,0.600000262260437,0.0081925188595277
real,0,0.6,1.0,1.5,0.0,4.071753978729248,7.133036462611706,3.671300888061523,7.624598979949951,chunk_0,spectral_radius,0.0010998402722179,0.3826737999916076,1.1599982532302633,12346,73.237548828125,73.237548828125,0.600000262260437,0.0081925188595277
real,0,0.6,1.0,1.5,0.1,4.219363689422607,8.917188444639162,4.227339744567871,9.25731086730957,chunk_0,spectral_radius,0.0010998402722179,0.3826737999916076,1.1599982532302633,12346,73.237548828125,73.237548828125,0.600000262260437,0.0081925188595277
real,0,0.8,0.6,0.1,0.0,6.800410270690918,8.012735836742875,2.203088521957397,2.294973373413086,chunk_0,spectral_radius,0.0014664536574855,0.3826738595962524,1.159998086497552,12346,73.237548828125,73.237548828125,0.7999998331069946,0.0109233584793703
real,0,0.8,0.6,0.1,0.1,6.655612468719482,9.387826093191023,2.2943036556243896,2.4725382328033447,chunk_0,spectral_radius,0.0014664536574855,0.3826738595962524,1.159998086497552,12346,73.237548828125,73.237548828125,0.7999998331069946,0.0109233584793703
real,0,0.8,0.6,0.5,0.0,5.732595920562744,8.817182292369694,2.720897674560547,3.841495275497437,chunk_0,spectral_radius,0.0014664536574855,0.3826738595962524,1.159998086497552,12346,73.237548828125,73.237548828125,0.7999998331069946,0.0109233584793703
real,0,0.8,0.6,0.5,0.1,4.946112632751465,10.946099493521132,3.056894302368164,4.59746789932251,chunk_0,spectral_radius,0.0014664536574855,0.3826738595962524,1.159998086497552,12346,73.237548828125,73.237548828125,0.7999998331069946,0.0109233584793703
real,0,0.8,0.6,1.0,0.0,4.901771545410156,8.627952646703505,3.226658582687378,5.7482590675354,chunk_0,spectral_radius,0.0014664536574855,0.3826738595962524,1.159998086497552,12346,73.237548828125,73.237548828125,0.7999998331069946,0.0109233584793703
real,0,0.8,0.6,1.0,0.1,3.9135801792144775,9.228472420214922,3.7033355236053462,7.011576652526856,chunk_0,spectral_radius,0.0014664536574855,0.3826738595962524,1.159998086497552,12346,73.237548828125,73.237548828125,0.7999998331069946,0.0109233584793703
real,0,0.8,0.6,1.5,0.0,3.321969509124756,6.178446962834073,3.497732400894165,7.053495407104492,chunk_0,spectral_radius,0.0014664536574855,0.3826738595962524,1.159998086497552,12346,73.237548828125,73.237548828125,0.7999998331069946,0.0109233584793703
real,0,0.8,0.6,1.5,0.1,3.394975423812866,6.741914711924778,4.025326251983643,8.613872528076172,chunk_0,spectral_radius,0.0014664536574855,0.3826738595962524,1.159998086497552,12346,73.237548828125,73.237548828125,0.7999998331069946,0.0109233584793703
real,0,0.8,0.8,0.1,0.0,7.746687412261963,9.30861786595819,2.5030081272125244,2.6154627799987797,chunk_0,spectral_radius,0.0014664536574855,0.3826738595962524,1.159998086497552,12346,73.237548828125,73.237548828125,0.7999998331069946,0.0109233584793703
real,0,0.8,0.8,0.1,0.1,7.601142883300781,10.981949621885844,2.6129069328308105,2.822526454925537,chunk_0,spectral_radius,0.0014664536574855,0.3826738595962524,1.159998086497552,12346,73.237548828125,73.237548828125,0.7999998331069946,0.0109233584793703
real,0,0.8,0.8,0.5,0.0,5.87432861328125,9.783905904218138,3.1688601970672607,4.598093032836914,chunk_0,spectral_radius,0.0014664536574855,0.3826738595962524,1.159998086497552,12346,73.237548828125,73.237548828125,0.7999998331069946,0.0109233584793703
real,0,0.8,0.8,0.5,0.1,6.168987274169922,10.890975087489478,3.573059320449829,5.49420976638794,chunk_0,spectral_radius,0.0014664536574855,0.3826738595962524,1.159998086497552,12346,73.237548828125,73.237548828125,0.7999998331069946,0.0109233584793703
real,0,0.8,0.8,1.0,0.0,4.405997753143311,7.671668759966508,3.805735349655152,7.094204425811768,chunk_0,spectral_radius,0.0014664536574855,0.3826738595962524,1.159998086497552,12346,73.237548828125,73.237548828125,0.7999998331069946,0.0109233584793703
real,0,0.8,0.8,1.0,0.1,4.233259201049805,9.97404583871753,4.372420787811279,8.588388442993164,chunk_0,spectral_radius,0.0014664536574855,0.3826738595962524,1.159998086497552,12346,73.237548828125,73.237548828125,0.7999998331069946,0.0109233584793703
real,0,0.8,0.8,1.5,0.0,3.899778366088867,6.448459460301804,4.139031887054443,8.802148818969727,chunk_0,spectral_radius,0.0014664536574855,0.3826738595962524,1.159998086497552,12346,73.237548828125,73.237548828125,0.7999998331069946,0.0109233584793703
real,0,0.8,0.8,1.5,0.1,3.4743435382843018,6.068918403084638,4.760463237762451,10.631020545959473,chunk_0,spectral_radius,0.0014664536574855,0.3826738595962524,1.159998086497552,12346,73.237548828125,73.237548828125,0.7999998331069946,0.0109233584793703
real,0,0.8,1.0,0.1,0.0,9.078381538391112,11.334804041303473,3.076735019683838,3.223414659500122,chunk_0,spectral_radius,0.0014664536574855,0.3826738595962524,1.159998086497552,12346,73.237548828125,73.237548828125,0.7999998331069946,0.0109233584793703
real,0,0.8,1.0,0.1,0.1,8.957090377807617,13.409742816394122,3.2176506519317627,3.47924542427063,chunk_0,spectral_radius,0.0014664536574855,0.3826738595962524,1.159998086497552,12346,73.237548828125,73.237548828125,0.7999998331069946,0.0109233584793703
real,0,0.8,1.0,0.5,0.0,7.965078353881836,11.848086930672965,3.980118751525879,5.9541096687316895,chunk_0,spectral_radius,0.0014664536574855,0.3826738595962524,1.159998086497552,12346,73.237548828125,73.237548828125,0.7999998331069946,0.0109233584793703
real,0,0.8,1.0,0.5,0.1,6.178810119628906,12.123812936132664,4.490190505981445,7.050287246704102,chunk_0,spectral_radius,0.0014664536574855,0.3826738595962524,1.159998086497552,12346,73.237548828125,73.237548828125,0.7999998331069946,0.0109233584793703
real,0,0.8,1.0,1.0,0.0,5.388694286346436,9.1710202547916,4.784252643585205,9.34591007232666,chunk_0,spectral_radius,0.0014664536574855,0.3826738595962524,1.159998086497552,12346,73.237548828125,73.237548828125,0.7999998331069946,0.0109233584793703
real,0,0.8,1.0,1.0,0.1,5.508194446563721,12.79675791570648,5.484219074249268,11.136837005615234,chunk_0,spectral_radius,0.0014664536574855,0.3826738595962524,1.159998086497552,12346,73.237548828125,73.237548828125,0.7999998331069946,0.0109233584793703
real,0,0.8,1.0,1.5,0.0,3.91573715209961,7.81990322070817,5.181031227111816,11.609447479248049,chunk_0,spectral_radius,0.0014664536574855,0.3826738595962524,1.159998086497552,12346,73.237548828125,73.237548828125,0.7999998331069946,0.0109233584793703
real,0,0.8,1.0,1.5,0.1,4.615396499633789,8.167055211681244,5.937250137329102,13.773276329040527,chunk_0,spectral_radius,0.0014664536574855,0.3826738595962524,1.159998086497552,12346,73.237548828125,73.237548828125,0.7999998331069946,0.0109233584793703
real,0,0.95,0.6,0.1,0.0,7.744226455688477,9.095951862652171,2.594467639923096,2.712231397628784,chunk_0,spectral_radius,0.00174141372554,0.3826736807823181,1.1599980686293363,12346,73.237548828125,73.237548828125,0.9500004053115844,0.0129714881942523
real,0,0.95,0.6,0.1,0.1,7.591137886047363,10.705262641943673,2.707588195800781,2.9297568798065186,chunk_0,spectral_radius,0.00174141372554,0.3826736807823181,1.1599980686293363,12346,73.237548828125,73.237548828125,0.9500004053115844,0.0129714881942523
