frac_replace,seed_id,rho_target,leak,input_scale,MC,IPC,KR,GR
0.0,0,0.95,0.6,1.5,1.8801381587982178,3.243208646774292,3.946798324584961,7.535690784454346
0.0,0,0.95,0.8,0.1,6.705160617828369,6.989603877067566,3.157092809677124,3.3440308570861816
0.0,0,0.95,0.8,0.5,5.753322601318359,8.537668704986572,3.4481301307678223,5.0802903175354
0.0,0,0.95,0.8,1.0,2.345740795135498,4.122931122779846,4.3383097648620605,7.839514255523682
0.0,0,0.95,0.8,1.5,2.842548131942749,4.499858260154724,3.8773488998413086,7.712212085723877
0.0,0,0.95,1.0,0.1,7.692992210388184,8.904456436634064,2.392699956893921,2.507554769515991
0.0,0,0.95,1.0,0.5,4.003017902374268,6.7965821623802185,3.902780055999756,5.797931671142578
0.0,0,0.95,1.0,1.0,3.9786343574523926,6.61250239610672,4.362936973571777,8.138951301574707
0.0,0,0.95,1.0,1.5,1.9968667030334473,2.971337616443634,5.70034646987915,12.73965072631836
0.0,0,1.05,0.6,0.1,3.4263017177581787,3.7040695548057556,2.756350040435791,3.050170660018921
0.0,0,1.05,0.6,0.5,4.735403537750244,6.812394380569458,3.7445545196533203,5.500096321105957
0.0,0,1.05,0.6,1.0,2.431147813796997,3.9532304406166077,5.370944023132324,10.019978523254395
0.0,0,1.05,0.6,1.5,1.7499642372131348,2.562685191631317,4.565359592437744,9.465137481689453
0.0,0,1.05,0.8,0.1,6.871730804443359,9.753382682800293,3.2378275394439697,3.6894137859344482
0.0,0,1.05,0.8,0.5,4.139744281768799,5.951376736164093,5.347436904907227,8.15951156616211
0.0,0,1.05,0.8,1.0,3.793905019760132,5.512365341186523,4.458108901977539,8.45669174194336
0.0,0,1.05,0.8,1.5,3.217833995819092,3.9651036858558655,4.6217474937438965,10.47891616821289
0.0,0,1.05,1.0,0.1,5.954864025115967,8.285578072071075,3.0701992511749268,3.491492986679077
0.0,0,1.05,1.0,0.5,5.601160049438477,8.688584506511688,3.9698307514190674,6.005906581878662
0.0,0,1.05,1.0,1.0,4.4615044593811035,6.3864341378211975,6.699817657470703,13.423171997070312
0.0,0,1.05,1.0,1.5,3.8181519508361816,4.133782267570496,6.062270164489746,14.273006439208984
0.0,1,0.6,0.6,0.1,4.318527698516846,4.567739844322205,1.6778043508529663,1.7331753969192505
0.0,1,0.6,0.6,0.5,5.143712520599365,7.470128774642944,1.9238090515136719,2.541618585586548
0.0,1,0.6,0.6,1.0,2.8626914024353027,3.941446900367737,2.353681802749634,3.799546241760254
0.0,1,0.6,0.6,1.5,3.0809202194213867,4.567541122436523,2.446329355239868,4.364388942718506
0.0,1,0.6,0.8,0.1,5.132246494293213,5.7615925669670105,1.7267476320266724,1.7975047826766968
0.0,1,0.6,0.8,0.5,4.642739295959473,5.676549911499023,2.1345207691192627,2.8712270259857178
0.0,1,0.6,0.8,1.0,3.6231071949005127,5.7607486844062805,2.7873523235321045,4.586483001708984
0.0,1,0.6,0.8,1.5,3.464672565460205,4.972367346286774,2.7549169063568115,5.007508277893066
0.0,1,0.6,1.0,0.1,6.0678253173828125,6.781115293502808,1.921388864517212,1.994856357574463
0.0,1,0.6,1.0,0.5,5.059317588806152,7.3679057359695435,2.20768666267395,2.9419710636138916
0.0,1,0.6,1.0,1.0,3.954751491546631,6.630849540233612,2.596874713897705,4.371060371398926
0.0,1,0.6,1.0,1.5,3.799332618713379,5.246609389781952,3.1065993309020996,6.115180969238281
0.0,1,0.8,0.6,0.1,5.603507995605469,6.646580457687378,2.4115474224090576,2.5053505897521973
0.0,1,0.8,0.6,0.5,5.5273661613464355,8.327484250068665,2.433994770050049,3.2643580436706543
0.0,1,0.8,0.6,1.0,3.1279852390289307,4.5519410371780396,2.6459782123565674,4.334867000579834
0.0,1,0.8,0.6,1.5,2.9728994369506836,4.831160366535187,2.9128823280334473,5.331700801849365
0.0,1,0.8,0.8,0.1,5.724335193634033,6.514507949352264,2.351264238357544,2.449014663696289
0.0,1,0.8,0.8,0.5,5.562974452972412,7.957356572151184,2.372959852218628,3.1161935329437256
0.0,1,0.8,0.8,1.0,3.5172324180603027,5.454371333122253,2.920793294906616,5.038539409637451
0.0,1,0.8,0.8,1.5,1.629721760749817,3.099951148033142,3.2164716720581055,6.43252420425415
0.0,1,0.8,1.0,0.1,7.436631679534912,8.350113928318024,2.5694639682769775,2.686391592025757
0.0,1,0.8,1.0,0.5,5.039618015289307,8.397548735141754,3.4122519493103027,4.930415630340576
0.0,1,0.8,1.0,1.0,2.9941329956054688,5.386106014251709,3.7744808197021484,6.773627758026123
0.0,1,0.8,1.0,1.5,4.146907806396484,6.546891987323761,3.762402057647705,7.694225788116455
0.0,1,0.95,0.6,0.1,5.794113636016846,6.910833716392517,2.7565464973449707,2.821425199508667
0.0,1,0.95,0.6,0.5,4.808814525604248,7.497155725955963,2.7918701171875,3.7240777015686035
0.0,1,0.95,0.6,1.0,2.7063426971435547,3.6661380529403687,3.2279369831085205,5.3174238204956055
0.0,1,0.95,0.6,1.5,2.3716275691986084,3.5531766414642334,4.272412300109863,8.060799598693848
0.0,1,0.95,0.8,0.1,6.873408317565918,7.955932259559631,3.363771438598633,3.540836811065674
0.0,1,0.95,0.8,0.5,3.8896985054016113,6.57300990819931,3.941157817840576,5.83432149887085
0.0,1,0.95,0.8,1.0,3.0806331634521484,4.657876253128052,3.8047640323638916,7.006596565246582
0.0,1,0.95,0.8,1.5,3.0701522827148438,4.114745497703552,3.442800998687744,6.860105514526367
0.0,1,0.95,1.0,0.1,7.679062366485596,8.779485583305359,3.518775224685669,3.705378770828247
0.0,1,0.95,1.0,0.5,5.712049961090088,8.291907489299774,4.130699157714844,6.005475997924805
0.0,1,0.95,1.0,1.0,4.801112174987793,7.3101261258125305,4.195744037628174,7.640279293060303
0.0,1,0.95,1.0,1.5,3.107698440551758,4.482990145683289,4.559679985046387,9.326080322265625
0.0,1,1.05,0.6,0.1,3.7851076126098633,5.449611127376556,3.454901933670044,3.7764077186584473
0.0,1,1.05,0.6,0.5,3.8769888877868652,6.241344749927521,4.112723350524902,5.864532947540283
0.0,1,1.05,0.6,1.0,1.9832425117492676,2.786258816719055,3.8498802185058594,6.935090065002441
0.0,1,1.05,0.6,1.5,1.769355297088623,2.163390576839447,4.085416793823242,8.148694038391113
0.0,1,1.05,0.8,0.1,5.21915340423584,7.614320337772369,3.4195380210876465,3.763929843902588
0.0,1,1.05,0.8,0.5,5.030519008636475,7.5838189125061035,5.623191833496094,8.908199310302734
0.0,1,1.05,0.8,1.0,3.3354835510253906,5.003487229347229,4.436385631561279,8.441052436828613
0.0,1,1.05,0.8,1.5,2.0862581729888916,2.7068166732788086,5.007224082946777,10.549328804016113
0.0,1,1.05,1.0,0.1,7.482945442199707,10.7768434882164,4.150439739227295,4.691312789916992
