frac_replace,seed_id,rho_target,leak,input_scale,MC,IPC,KR,GR
0.0,0,1.05,0.8,0.1,11.405525207519531,14.005369126796722,5.739471912384033,6.420163631439209
0.0,0,1.05,0.8,0.5,7.412186622619629,11.628909051418304,7.966361999511719,13.594956398010254
0.0,0,1.05,0.8,1.0,4.839558124542236,7.027248322963715,10.71374225616455,21.75278663635254
0.0,0,1.05,0.8,1.5,3.6306023597717285,5.4359933733940125,11.716703414916992,28.68244171142578
0.0,0,1.05,1.0,0.1,14.173649787902832,17.81532061100006,6.659374237060547,7.4495768547058105
0.0,0,1.05,1.0,0.5,9.87929916381836,14.439404368400574,13.284173965454102,24.953214645385742
0.0,0,1.05,1.0,1.0,7.955354690551758,11.784457683563232,14.859393119812012,33.374385833740234
0.0,0,1.05,1.0,1.5,5.285231590270996,6.103361546993256,11.689125061035156,30.43419647216797
0.0,1,0.6,0.6,0.1,5.560854434967041,6.1166632771492,2.352623224258423,2.4273266792297363
0.0,1,0.6,0.6,0.5,4.004058837890625,5.716245114803314,2.63930344581604,3.6023104190826416
0.0,1,0.6,0.6,1.0,2.768040895462036,3.026227295398712,3.285156488418579,5.865837574005127
0.0,1,0.6,0.6,1.5,0.9503626227378845,1.5456970930099487,3.8452839851379395,7.746611595153809
0.0,1,0.6,0.8,0.1,6.552279949188232,7.584448754787445,2.430809497833252,2.5528383255004883
0.0,1,0.6,0.8,0.5,5.501522064208984,7.880692362785339,3.2305777072906494,4.7243828773498535
0.0,1,0.6,0.8,1.0,4.27103853225708,6.457195997238159,3.8061702251434326,7.03764533996582
0.0,1,0.6,0.8,1.5,3.0325982570648193,4.705919325351715,4.099941253662109,8.835253715515137
0.0,1,0.6,1.0,0.1,7.82368278503418,9.181117355823517,2.608640193939209,2.7210803031921387
0.0,1,0.6,1.0,0.5,5.578888893127441,9.209668815135956,3.7691221237182617,5.741623878479004
0.0,1,0.6,1.0,1.0,4.55589485168457,6.673293352127075,4.61989688873291,8.776336669921875
0.0,1,0.6,1.0,1.5,3.8316361904144287,5.352940142154694,4.825675010681152,10.462706565856934
0.0,1,0.8,0.6,0.1,7.816562175750732,8.787230789661407,3.135547161102295,3.265993595123291
