mode,shuffle_id,rho_target,leak,input_scale,MC,IPC,KR,GR,src,wt_mean,cosine_similarity,kl_to_gaussian,seed
binary+conshuffle+wshuffle,85,1.05,0.6,1.0,4.683388710021973,8.86009942381429,2.282546281814575,5.092487335205078,chunk_3,0.0024502649903297,0.0514800362288951,0.0,8512346
binary+conshuffle+wshuffle,85,1.05,0.6,1.5,4.73932695388794,9.24585801219041,2.7902534008026123,5.745203495025635,chunk_3,0.0024502649903297,0.0514800362288951,0.0,8512346
binary+conshuffle+wshuffle,85,1.05,0.8,0.1,5.080597400665283,5.591747915423298,2.9626553058624268,3.3327176570892334,chunk_3,0.0024502649903297,0.0514800362288951,0.0,8512346
binary+conshuffle+wshuffle,85,1.05,0.8,0.5,5.408405303955078,8.616029143315188,3.6086208820343018,5.088688850402832,chunk_3,0.0024502649903297,0.0514800362288951,0.0,8512346
binary+conshuffle+wshuffle,85,1.05,0.8,1.0,5.361907482147217,9.977976857108978,2.7330522537231445,5.384842395782471,chunk_3,0.0024502649903297,0.0514800362288951,0.0,8512346
binary+conshuffle+wshuffle,85,1.05,0.8,1.5,5.586776256561279,10.567040641488733,3.390023946762085,6.47632360458374,chunk_3,0.0024502649903297,0.0514800362288951,0.0,8512346
binary+conshuffle+wshuffle,85,1.05,1.0,0.1,5.71479606628418,6.39082088966893,3.362736701965332,3.736778736114502,chunk_3,0.0024502649903297,0.0514800362288951,0.0,8512346
binary+conshuffle+wshuffle,85,1.05,1.0,0.5,6.277892112731934,10.014245184312582,4.237217426300049,5.920901775360107,chunk_3,0.0024502649903297,0.0514800362288951,0.0,8512346
binary+conshuffle+wshuffle,85,1.05,1.0,1.0,6.444617748260498,11.802178996560082,3.4802939891815186,6.2234978675842285,chunk_3,0.0024502649903297,0.0514800362288951,0.0,8512346
binary+conshuffle+wshuffle,85,1.05,1.0,1.5,6.637101173400879,12.203473619807085,4.321072101593018,7.683424472808838,chunk_3,0.0024502649903297,0.0514800362288951,0.0,8512346
binary+conshuffle+wshuffle,86,0.6,0.6,0.1,3.191183567047119,3.3887611112983222,1.6073683500289917,1.6465160846710205,chunk_3,0.0013647419400513,0.053088828921318,0.0,8612346
binary+conshuffle+wshuffle,86,0.6,0.6,0.5,3.988485097885132,5.592589329302427,1.878726601600647,2.316436767578125,chunk_3,0.0013647419400513,0.053088828921318,0.0,8612346
binary+conshuffle+wshuffle,86,0.6,0.6,1.0,4.054398059844971,6.794307387569475,2.176311492919922,3.079826593399048,chunk_3,0.0013647419400513,0.053088828921318,0.0,8612346
binary+conshuffle+wshuffle,86,0.6,0.6,1.5,3.846593856811523,6.819674204675039,2.3527591228485107,3.685943126678467,chunk_3,0.0013647419400513,0.053088828921318,0.0,8612346
binary+conshuffle+wshuffle,86,0.6,0.8,0.1,3.5849220752716064,3.9302155769335902,1.7115496397018433,1.7546539306640625,chunk_3,0.0013647419400513,0.053088828921318,0.0,8612346
binary+conshuffle+wshuffle,86,0.6,0.8,0.5,4.314801216125488,6.45309703139219,2.008005142211914,2.4881176948547363,chunk_3,0.0013647419400513,0.053088828921318,0.0,8612346
binary+conshuffle+wshuffle,86,0.6,0.8,1.0,4.428958892822266,7.618811055452909,2.339329719543457,3.3303887844085693,chunk_3,0.0013647419400513,0.053088828921318,0.0,8612346
binary+conshuffle+wshuffle,86,0.6,0.8,1.5,4.274364471435547,8.005301143852684,2.5366456508636475,3.987154722213745,chunk_3,0.0013647419400513,0.053088828921318,0.0,8612346
binary+conshuffle+wshuffle,86,0.6,1.0,0.1,4.281688213348389,4.92913206353764,1.8457655906677248,1.8916763067245483,chunk_3,0.0013647419400513,0.053088828921318,0.0,8612346
binary+conshuffle+wshuffle,86,0.6,1.0,0.5,4.974819660186768,7.876741924825581,2.1747725009918213,2.708585739135742,chunk_3,0.0013647419400513,0.053088828921318,0.0,8612346
