mode,shuffle_id,rho_target,leak,input_scale,MC,IPC,KR,GR,wt_mean,cosine_similarity,kl_to_gaussian,wt_mag_cv,seed,src
weight_test_cel_to_shuffled_cel0.0,39,0.8,1.0,1.0,5.968774795532227,10.30026739408163,2.828421115875244,3.8289544582366943,0.0012374025536701083,0.5628095865249634,0.8963917027065043,1.1959292888641357,3912346,cel_to_shuffled_cel_chunk_3
weight_test_cel_to_shuffled_cel0.0,39,0.8,1.0,1.5,5.831036567687988,10.434663019080176,3.0265445709228516,4.374927043914795,0.0012374025536701083,0.5628095865249634,0.8963917027065043,1.1959292888641357,3912346,cel_to_shuffled_cel_chunk_3
weight_test_cel_to_shuffled_cel0.0,39,0.95,0.6,0.1,3.8866846561431885,3.9669711462780697,2.537015914916992,2.5647566318511963,0.0014694154961034656,0.5628095865249634,0.8920824145035202,1.1959291696548462,3912346,cel_to_shuffled_cel_chunk_3
weight_test_cel_to_shuffled_cel0.0,39,0.95,0.6,0.5,4.746525287628174,6.6261451352962695,2.7405803203582764,3.1494174003601074,0.0014694154961034656,0.5628095865249634,0.8920824145035202,1.1959291696548462,3912346,cel_to_shuffled_cel_chunk_3
weight_test_cel_to_shuffled_cel0.0,39,0.95,0.6,1.0,4.8541646003723145,8.325402912169238,3.012324094772339,3.881150722503662,0.0014694154961034656,0.5628095865249634,0.8920824145035202,1.1959291696548462,3912346,cel_to_shuffled_cel_chunk_3
weight_test_cel_to_shuffled_cel0.0,39,0.95,0.6,1.5,4.847292900085449,8.498203856257021,3.1808207035064697,4.361982345581055,0.0014694154961034656,0.5628095865249634,0.8920824145035202,1.1959291696548462,3912346,cel_to_shuffled_cel_chunk_3
weight_test_cel_to_shuffled_cel0.0,39,0.95,0.8,0.1,4.520281791687012,4.598990418285295,2.6492576599121094,2.6700856685638428,0.0014694154961034656,0.5628095865249634,0.8920824145035202,1.1959291696548462,3912346,cel_to_shuffled_cel_chunk_3
weight_test_cel_to_shuffled_cel0.0,39,0.95,0.8,0.5,5.541489124298096,7.84424331307536,2.8810529708862305,3.3383872509002686,0.0014694154961034656,0.5628095865249634,0.8920824145035202,1.1959291696548462,3912346,cel_to_shuffled_cel_chunk_3
weight_test_cel_to_shuffled_cel0.0,39,0.95,0.8,1.0,5.5779643058776855,9.438111119033863,3.190361261367798,4.167123317718506,0.0014694154961034656,0.5628095865249634,0.8920824145035202,1.1959291696548462,3912346,cel_to_shuffled_cel_chunk_3
weight_test_cel_to_shuffled_cel0.0,39,0.95,0.8,1.5,5.498981475830078,9.650889085850395,3.380685806274414,4.706069469451904,0.0014694154961034656,0.5628095865249634,0.8920824145035202,1.1959291696548462,3912346,cel_to_shuffled_cel_chunk_3
weight_test_cel_to_shuffled_cel0.0,39,0.95,1.0,0.1,5.729211807250977,5.880392356155596,2.793842077255249,2.816854238510132,0.0014694154961034656,0.5628095865249634,0.8920824145035202,1.1959291696548462,3912346,cel_to_shuffled_cel_chunk_3
weight_test_cel_to_shuffled_cel0.0,39,0.95,1.0,0.5,6.680037021636963,9.450781183800347,3.0630455017089844,3.5947299003601074,0.0014694154961034656,0.5628095865249634,0.8920824145035202,1.1959291696548462,3912346,cel_to_shuffled_cel_chunk_3
weight_test_cel_to_shuffled_cel0.0,39,0.95,1.0,1.0,6.51104211807251,11.114060282179056,3.423523426055908,4.557729721069336,0.0014694154961034656,0.5628095865249634,0.8920824145035202,1.1959291696548462,3912346,cel_to_shuffled_cel_chunk_3
weight_test_cel_to_shuffled_cel0.0,39,0.95,1.0,1.5,6.277033805847168,11.294140678428235,3.64459228515625,5.182661533355713,0.0014694154961034656,0.5628095865249634,0.8920824145035202,1.1959291696548462,3912346,cel_to_shuffled_cel_chunk_3
weight_test_cel_to_shuffled_cel0.0,39,1.05,0.6,0.1,4.085196018218994,4.15516351627997,2.5026464462280273,2.587841272354126,0.0016240908298641443,0.5628097057342529,0.8963917266257883,1.1959291696548462,3912346,cel_to_shuffled_cel_chunk_3
weight_test_cel_to_shuffled_cel0.0,39,1.05,0.6,0.5,4.946444511413574,6.809264358643048,2.90928316116333,3.566253662109375,0.0016240908298641443,0.5628097057342529,0.8963917266257883,1.1959291696548462,3912346,cel_to_shuffled_cel_chunk_3
weight_test_cel_to_shuffled_cel0.0,39,1.05,0.6,1.0,4.794564723968506,8.131109404237186,3.3577399253845215,4.596129894256592,0.0016240908298641443,0.5628097057342529,0.8963917266257883,1.1959291696548462,3912346,cel_to_shuffled_cel_chunk_3
weight_test_cel_to_shuffled_cel0.0,39,1.05,0.6,1.5,4.6207709312438965,8.133362200721876,3.6288487911224365,5.205110549926758,0.0016240908298641443,0.5628097057342529,0.8963917266257883,1.1959291696548462,3912346,cel_to_shuffled_cel_chunk_3
weight_test_cel_to_shuffled_cel0.0,39,1.05,0.8,0.1,4.809542655944824,4.886387771523122,2.6177194118499756,2.698512077331543,0.0016240908298641443,0.5628097057342529,0.8963917266257883,1.1959291696548462,3912346,cel_to_shuffled_cel_chunk_3
weight_test_cel_to_shuffled_cel0.0,39,1.05,0.8,0.5,5.622971057891846,7.837620659991956,3.0729269981384277,3.788907766342163,0.0016240908298641443,0.5628097057342529,0.8963917266257883,1.1959291696548462,3912346,cel_to_shuffled_cel_chunk_3
weight_test_cel_to_shuffled_cel0.0,39,1.05,0.8,1.0,5.388800144195557,9.038654438424942,3.5764124393463135,4.955554485321045,0.0016240908298641443,0.5628097057342529,0.8963917266257883,1.1959291696548462,3912346,cel_to_shuffled_cel_chunk_3
weight_test_cel_to_shuffled_cel0.0,39,1.05,0.8,1.5,5.159915447235107,9.11364003736253,3.886521339416504,5.645086288452148,0.0016240908298641443,0.5628097057342529,0.8963917266257883,1.1959291696548462,3912346,cel_to_shuffled_cel_chunk_3
weight_test_cel_to_shuffled_cel0.0,39,1.05,1.0,0.1,5.870380401611328,6.026375090505667,2.7590951919555664,2.8550703525543213,0.0016240908298641443,0.5628097057342529,0.8963917266257883,1.1959291696548462,3912346,cel_to_shuffled_cel_chunk_3
weight_test_cel_to_shuffled_cel0.0,39,1.05,1.0,0.5,6.750900745391846,9.242467298820657,3.2791802883148193,4.0978569984436035,0.0016240908298641443,0.5628097057342529,0.8963917266257883,1.1959291696548462,3912346,cel_to_shuffled_cel_chunk_3
weight_test_cel_to_shuffled_cel0.0,39,1.05,1.0,1.0,6.404109477996826,10.548697755262765,3.8560798168182373,5.445765018463135,0.0016240908298641443,0.5628097057342529,0.8963917266257883,1.1959291696548462,3912346,cel_to_shuffled_cel_chunk_3
weight_test_cel_to_shuffled_cel0.0,39,1.05,1.0,1.5,5.9290242195129395,10.567573658427364,4.2227911949157715,6.258613109588623,0.0016240908298641443,0.5628097057342529,0.8963917266257883,1.1959291696548462,3912346,cel_to_shuffled_cel_chunk_3
weight_test_cel_to_shuffled_cel0.25,39,0.6,0.6,0.1,3.201420307159424,3.283072896705569,1.6706360578536987,1.6994576454162598,0.0010272320359945297,0.6370881199836731,0.42520204781136167,0.9424551725387573,3912346,cel_to_shuffled_cel_chunk_3
weight_test_cel_to_shuffled_cel0.25,39,0.6,0.6,0.5,3.9652278423309326,5.523937872865247,1.8937424421310425,2.270054340362549,0.0010272320359945297,0.6370881199836731,0.42520204781136167,0.9424551725387573,3912346,cel_to_shuffled_cel_chunk_3
weight_test_cel_to_shuffled_cel0.25,39,0.6,0.6,1.0,4.142627716064453,6.954455984107199,2.1776349544525146,2.9302608966827393,0.0010272320359945297,0.6370881199836731,0.42520204781136167,0.9424551725387573,3912346,cel_to_shuffled_cel_chunk_3
weight_test_cel_to_shuffled_cel0.25,39,0.6,0.6,1.5,4.151837348937988,7.037320234205936,2.3432679176330566,3.337197780609131,0.0010272320359945297,0.6370881199836731,0.42520204781136167,0.9424551725387573,3912346,cel_to_shuffled_cel_chunk_3
weight_test_cel_to_shuffled_cel0.25,39,0.6,0.8,0.1,3.5239157676696777,3.6257841180684522,1.7564042806625366,1.7841742038726807,0.0010272320359945297,0.6370881199836731,0.42520204781136167,0.9424551725387573,3912346,cel_to_shuffled_cel_chunk_3
weight_test_cel_to_shuffled_cel0.25,39,0.6,0.8,0.5,4.358000755310059,6.305226006899488,1.9927595853805542,2.399509906768799,0.0010272320359945297,0.6370881199836731,0.42520204781136167,0.9424551725387573,3912346,cel_to_shuffled_cel_chunk_3
