mode,shuffle_id,rho_target,leak,input_scale,neuron_bias,MC,IPC,KR,GR,wt_mean,cosine_similarity,kl_to_gaussian,seed,src
real,140,0.8,0.6,1.0,0.0,3.3352630138397217,5.993086387898273,2.9120843410491943,4.863077640533447,0.0008208871586248279,0.3294062614440918,0.6575650763509905,14012346,chunk_14
real,140,0.8,0.6,1.0,0.1,4.006297588348389,6.949326254674617,3.3571345806121826,5.9139604568481445,0.0008208871586248279,0.3294062614440918,0.6575650763509905,14012346,chunk_14
real,140,0.8,0.6,1.5,0.0,3.0164589881896973,5.510308296011999,3.117009162902832,5.852674961090088,0.0008208871586248279,0.3294062614440918,0.6575650763509905,14012346,chunk_14
real,140,0.8,0.6,1.5,0.1,1.9913684129714966,3.4414192288976437,3.6122827529907227,7.143178462982178,0.0008208871586248279,0.3294062614440918,0.6575650763509905,14012346,chunk_14
real,140,0.8,0.8,0.1,0.0,6.647629261016846,7.6916034399066575,2.468153238296509,2.5747756958007812,0.0008208871586248279,0.3294062614440918,0.6575650763509905,14012346,chunk_14
real,140,0.8,0.8,0.1,0.1,6.4805145263671875,7.368704850925553,2.5803380012512207,2.777177095413208,0.0008208871586248279,0.3294062614440918,0.6575650763509905,14012346,chunk_14
real,140,0.8,0.8,0.5,0.0,5.19376802444458,8.015226639084332,2.9250330924987793,4.060995101928711,0.0008208871586248279,0.3294062614440918,0.6575650763509905,14012346,chunk_14
real,140,0.8,0.8,0.5,0.1,5.356683254241943,7.416791497084461,3.2911689281463623,4.810596942901611,0.0008208871586248279,0.3294062614440918,0.6575650763509905,14012346,chunk_14
real,140,0.8,0.8,1.0,0.0,4.334537029266357,7.03252806837267,3.3284153938293457,5.7496538162231445,0.0008208871586248279,0.3294062614440918,0.6575650763509905,14012346,chunk_14
real,140,0.8,0.8,1.0,0.1,3.8436620235443115,6.980162705978728,3.836772918701172,6.943312168121338,0.0008208871586248279,0.3294062614440918,0.6575650763509905,14012346,chunk_14
real,140,0.8,0.8,1.5,0.0,2.6620278358459473,4.633363889834072,3.558289051055908,6.950411319732666,0.0008208871586248279,0.3294062614440918,0.6575650763509905,14012346,chunk_14
