model,seed,rho_target,leak,input_scale,neuron_bias,capacity_threshold,order,parity,ipc_contrib
local_sign+binary,1,0.95,0.8,1.0,0.0,0.0,6,even,0.14866492165782574
local_sign+binary,1,0.95,0.8,1.0,0.0,0.0,7,odd,0.45800229291830874
local_sign+binary,1,0.95,0.8,1.0,0.0,0.0,8,even,0.11235235203866978
local_sign+binary,1,0.95,0.8,1.0,0.0,0.0,9,odd,0.09991861624712328
local_sign+binary,1,0.95,0.8,1.0,0.0,0.0,10,even,0.10094750250736695
global_sign_pres,1,0.95,0.8,1.0,0.0,0.0,1,odd,3.9281948533903233
global_sign_pres,1,0.95,0.8,1.0,0.0,0.0,2,even,0.094324930399722
global_sign_pres,1,0.95,0.8,1.0,0.0,0.0,3,odd,2.8500113706131094
global_sign_pres,1,0.95,0.8,1.0,0.0,0.0,4,even,0.1026873202497427
global_sign_pres,1,0.95,0.8,1.0,0.0,0.0,5,odd,0.6731906771899503
global_sign_pres,1,0.95,0.8,1.0,0.0,0.0,6,even,0.12198090774811021
global_sign_pres,1,0.95,0.8,1.0,0.0,0.0,7,odd,0.24841233021788867
global_sign_pres,1,0.95,0.8,1.0,0.0,0.0,8,even,0.1342221344800123
global_sign_pres,1,0.95,0.8,1.0,0.0,0.0,9,odd,0.17823026277119425
global_sign_pres,1,0.95,0.8,1.0,0.0,0.0,10,even,0.11144128213931026
global_sign_pres_real_weight,1,0.95,0.8,1.0,0.0,0.0,1,odd,4.599824981997683
global_sign_pres_real_weight,1,0.95,0.8,1.0,0.0,0.0,2,even,0.1080966749383026
global_sign_pres_real_weight,1,0.95,0.8,1.0,0.0,0.0,3,odd,2.4319365237437296
global_sign_pres_real_weight,1,0.95,0.8,1.0,0.0,0.0,4,even,0.11768314592586648
global_sign_pres_real_weight,1,0.95,0.8,1.0,0.0,0.0,5,odd,0.9172910951344762
global_sign_pres_real_weight,1,0.95,0.8,1.0,0.0,0.0,6,even,0.11638935193195721
global_sign_pres_real_weight,1,0.95,0.8,1.0,0.0,0.0,7,odd,0.2858022624791374
global_sign_pres_real_weight,1,0.95,0.8,1.0,0.0,0.0,8,even,0.12294095758261392
global_sign_pres_real_weight,1,0.95,0.8,1.0,0.0,0.0,9,odd,0.18014545989473163
global_sign_pres_real_weight,1,0.95,0.8,1.0,0.0,0.0,10,even,0.1638349716022276
binary_base,1,0.95,0.8,1.0,0.0,0.0,1,odd,2.901390450642566
binary_base,1,0.95,0.8,1.0,0.0,0.0,2,even,0.11171052785192614
binary_base,1,0.95,0.8,1.0,0.0,0.0,3,odd,0.8630401379182615
binary_base,1,0.95,0.8,1.0,0.0,0.0,4,even,0.09844999583806668
binary_base,1,0.95,0.8,1.0,0.0,0.0,5,odd,0.5554983107067528
binary_base,1,0.95,0.8,1.0,0.0,0.0,6,even,0.09971689951044027
binary_base,1,0.95,0.8,1.0,0.0,0.0,7,odd,0.13370417749092667
binary_base,1,0.95,0.8,1.0,0.0,0.0,8,even,0.15172380349758896
binary_base,1,0.95,0.8,1.0,0.0,0.0,9,odd,0.14074512632682
binary_base,1,0.95,0.8,1.0,0.0,0.0,10,even,0.09651148930906572
real,2,0.95,0.8,1.0,0.0,0.0,1,odd,3.857188667486783
real,2,0.95,0.8,1.0,0.0,0.0,2,even,0.12936292454992326
real,2,0.95,0.8,1.0,0.0,0.0,3,odd,2.421220703536676
real,2,0.95,0.8,1.0,0.0,0.0,4,even,0.094566431022713
real,2,0.95,0.8,1.0,0.0,0.0,5,odd,0.8758848850893628
real,2,0.95,0.8,1.0,0.0,0.0,6,even,0.08403384063243635
real,2,0.95,0.8,1.0,0.0,0.0,7,odd,0.17451153175136302
real,2,0.95,0.8,1.0,0.0,0.0,8,even,0.13043313865455275
real,2,0.95,0.8,1.0,0.0,0.0,9,odd,0.11689935122535644
real,2,0.95,0.8,1.0,0.0,0.0,10,even,0.15089678767935766
cel_randN,2,0.95,0.8,1.0,0.0,0.0,1,odd,8.145649237739406
cel_randN,2,0.95,0.8,1.0,0.0,0.0,2,even,0.13531626146232156
cel_randN,2,0.95,0.8,1.0,0.0,0.0,3,odd,4.309894868669744
cel_randN,2,0.95,0.8,1.0,0.0,0.0,4,even,0.10741386281551968
cel_randN,2,0.95,0.8,1.0,0.0,0.0,5,odd,1.234354909824333
cel_randN,2,0.95,0.8,1.0,0.0,0.0,6,even,0.19676442608090383
cel_randN,2,0.95,0.8,1.0,0.0,0.0,7,odd,0.23534523873240687
cel_randN,2,0.95,0.8,1.0,0.0,0.0,8,even,0.1019094798681408
cel_randN,2,0.95,0.8,1.0,0.0,0.0,9,odd,0.10949789487111161
cel_randN,2,0.95,0.8,1.0,0.0,0.0,10,even,0.1675250310654519
er_randN,2,0.95,0.8,1.0,0.0,0.0,1,odd,8.177695337945352
er_randN,2,0.95,0.8,1.0,0.0,0.0,2,even,0.20536722921870876
er_randN,2,0.95,0.8,1.0,0.0,0.0,3,odd,4.164250284095576
er_randN,2,0.95,0.8,1.0,0.0,0.0,4,even,0.1002670380171935
er_randN,2,0.95,0.8,1.0,0.0,0.0,5,odd,0.948417491711357
er_randN,2,0.95,0.8,1.0,0.0,0.0,6,even,0.1729480339690781
er_randN,2,0.95,0.8,1.0,0.0,0.0,7,odd,0.12734702582953616
er_randN,2,0.95,0.8,1.0,0.0,0.0,8,even,0.08406121231769248
er_randN,2,0.95,0.8,1.0,0.0,0.0,9,odd,0.08839456291161696
er_randN,2,0.95,0.8,1.0,0.0,0.0,10,even,0.12455921154059979
ws_p01_randN,2,0.95,0.8,1.0,0.0,0.0,1,odd,9.046213677277592
ws_p01_randN,2,0.95,0.8,1.0,0.0,0.0,2,even,0.19075166126359022
ws_p01_randN,2,0.95,0.8,1.0,0.0,0.0,3,odd,3.9684461641114694
ws_p01_randN,2,0.95,0.8,1.0,0.0,0.0,4,even,0.14634381754694914
ws_p01_randN,2,0.95,0.8,1.0,0.0,0.0,5,odd,1.0044003491616422
ws_p01_randN,2,0.95,0.8,1.0,0.0,0.0,6,even,0.1510201248642602
ws_p01_randN,2,0.95,0.8,1.0,0.0,0.0,7,odd,0.13167724220484445
ws_p01_randN,2,0.95,0.8,1.0,0.0,0.0,8,even,0.12985611554904608
ws_p01_randN,2,0.95,0.8,1.0,0.0,0.0,9,odd,0.16364603833128122
ws_p01_randN,2,0.95,0.8,1.0,0.0,0.0,10,even,0.12611411775560555
local_sign,2,0.95,0.8,1.0,0.0,0.0,1,odd,7.339583552896556
local_sign,2,0.95,0.8,1.0,0.0,0.0,2,even,0.1481020794320287
local_sign,2,0.95,0.8,1.0,0.0,0.0,3,odd,3.6152466043313325
local_sign,2,0.95,0.8,1.0,0.0,0.0,4,even,0.13489260568337613
local_sign,2,0.95,0.8,1.0,0.0,0.0,5,odd,0.9799104691858247
local_sign,2,0.95,0.8,1.0,0.0,0.0,6,even,0.12364782531085439
local_sign,2,0.95,0.8,1.0,0.0,0.0,7,odd,0.15088685228693066
local_sign,2,0.95,0.8,1.0,0.0,0.0,8,even,0.10139895807685662
local_sign,2,0.95,0.8,1.0,0.0,0.0,9,odd,0.0675866308147306
local_sign,2,0.95,0.8,1.0,0.0,0.0,10,even,0.14863380754104583
local_sign+flat,2,0.95,0.8,1.0,0.0,0.0,1,odd,5.2092744704268625
local_sign+flat,2,0.95,0.8,1.0,0.0,0.0,2,even,0.09802198200873136
local_sign+flat,2,0.95,0.8,1.0,0.0,0.0,3,odd,2.4545914797934074
local_sign+flat,2,0.95,0.8,1.0,0.0,0.0,4,even,0.16912380067429522
local_sign+flat,2,0.95,0.8,1.0,0.0,0.0,5,odd,1.0305703820052587
